SampleID	Group
H001F	Healthy
H002F	Healthy
H003F	Healthy
H004F	Healthy
H005F	Healthy
H006F	Healthy
H007F	Healthy
H008F	Healthy
H009F	Healthy
H010F	Healthy
H011F	Healthy
H012F	Healthy
H013F	Healthy
H014F	Healthy
H015F	Healthy
H016F	Healthy
H017F	Healthy
H018F	Healthy
H019F	Healthy
H020F	Healthy
H021F	Healthy
H022F	Healthy
H023F	Healthy
H024F	Healthy
H025F	Healthy
H026F	Healthy
H027F	Healthy
H028F	Healthy
H029F	Healthy
H030F	Healthy
H031F	Healthy
H032F	Healthy
H033F	Healthy
H034F	Healthy
H035F	Healthy
H036F	Healthy
H037F	Healthy
H038F	Healthy
H039F	Healthy
H040F	Healthy
H041F	Healthy
H042F	Healthy
H043F	Healthy
H044F	Healthy
H045F	Healthy
H046F	Healthy
H047F	Healthy
H048F	Healthy
H049F	Healthy
H050F	Healthy
H051F	Healthy
H052F	Healthy
H053F	Healthy
H054F	Healthy
H055F	Healthy
H056F	Healthy
H057F	Healthy
H058F	Healthy
H059F	Healthy
H060F	Healthy
H061F	Healthy
H062F	Healthy
H063F	Healthy
H064F	Healthy
H065F	Healthy
H066F	Healthy
H067F	Healthy
H068F	Healthy
H069F	Healthy
H070F	Healthy
H071F	Healthy
H072F	Healthy
H073F	Healthy
H074F	Healthy
H075F	Healthy
H076F	Healthy
H077F	Healthy
H078F	Healthy
H079F	Healthy
H080F	Healthy
H081F	Healthy
H082F	Healthy
H083F	Healthy
H084F	Healthy
H085F	Healthy
H086F	Healthy
H087F	Healthy
H088F	Healthy
H089F	Healthy
H090F	Healthy
H091F	Healthy
H092F	Healthy
H093F	Healthy
H094F	Healthy
H095F	Healthy
H096F	Healthy
H097F	Healthy
H098F	Healthy
H099F	Healthy
H100F	Healthy
H101F	Healthy
H102F	Healthy
H103F	Healthy
H104F	Healthy
H105F	Healthy
H106F	Healthy
H107F	Healthy
H108F	Healthy
H109F	Healthy
H110F	Healthy
H111F	Healthy
H112V	Healthy
H113V	Healthy
H114V	Healthy
H115V	Healthy
H116V	Healthy
H117V	Healthy
H118V	Healthy
H119V	Healthy
H120V	Healthy
H121V	Healthy
H122V	Healthy
H123V	Healthy
H124V	Healthy
H125V	Healthy
H126V	Healthy
H127V	Healthy
H128V	Healthy
H129V	Healthy
H130V	Healthy
H131V	Healthy
H132V	Healthy
H133V	Healthy
H134V	Healthy
H135V	Healthy
H136V	Healthy
H137V	Healthy
H138V	Healthy
H139V	Healthy
H140V	Healthy
H141V	Healthy
H142V	Healthy
H143V	Healthy
H144V	Healthy
H145V	Healthy
H146V	Healthy
H147V	Healthy
H148V	Healthy
H149V	Healthy
H150V	Healthy
H151V	Healthy
H152V	Healthy
H153V	Healthy
H154V	Healthy
H155V	Healthy
H156V	Healthy
H157V	Healthy
H158V	Healthy
H159V	Healthy
H160V	Healthy
H161V	Healthy
H162V	Healthy
H163V	Healthy
H164V	Healthy
H165V	Healthy
H166V	Healthy
H167V	Healthy
H168V	Healthy
H169V	Healthy
H170V	Healthy
H171V	Healthy
H172V	Healthy
H173V	Healthy
H174V	Healthy
H175V	Healthy
H176V	Healthy
H177V	Healthy
H178V	Healthy
H179V	Healthy
H180V	Healthy
H181V	Healthy
H182V	Healthy
H183V	Healthy
H184V	Healthy
H185V	Healthy
H186V	Healthy
H187V	Healthy
H188V	Healthy
H189V	Healthy
H190V	Healthy
H191V	Healthy
H192V	Healthy
H193V	Healthy
H194V	Healthy
H195V	Healthy
H196V	Healthy
H197V	Healthy
H198V	Healthy
H199V	Healthy
H200V	Healthy
H201V	Healthy
H202V	Healthy
H203V	Healthy
H204V	Healthy
H205V	Healthy
H206V	Healthy
H207V	Healthy
H208V	Healthy
R001	Healthy
R002	Healthy
R003	Healthy
R004	Healthy
R005	Healthy
R006	Healthy
R007	Healthy
R008	Healthy
R009	Healthy
R010	Healthy
R012	Healthy
R013	Healthy
R014	Healthy
R015	Healthy
R016	Healthy
R017	Healthy
R018	Healthy
R019	Healthy
R020	Healthy
R021	Healthy
R022	Healthy
R023	Healthy
R024	Healthy
R025	Healthy
R026	Healthy
R027	Healthy
R028	Healthy
R029	Healthy
R030	Healthy
R031	Healthy
R032	Healthy
R033	Healthy
R034	Healthy
R035	Healthy
R036	Healthy
R037	Healthy
R038	Healthy
R039	Healthy
R040	Healthy
R041	Healthy
