Sample	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15
pH	7.13	7.67	7.89	7.38	7.63	8.02	8.04	7.96	7.67	7.69	6.49	7.27	6.43	6.37	6.01
SOC	22.8	26.2	3.2	22.6	12.2	11.2	8.5	14.7	40.5	42	17.1	17	25	16.7	13
F	2.96	0	2.14	1.05	3.08	14.56	0.59	1.01	0.79	0.82	0.65	0	1.3	0	0.63
Cl	214.5	54.75	35.69	18.76	30.53	58.77	10.42	10.39	9.28	9.47	9.73	20.95	15.49	12.12	7.05
Br	3.85	0	0.41	0	0.85	0	0.44	0	0	0.99	1.23	0.6	0	0	0
NO3	28.48	6.43	23.4	17.44	30.02	21.77	48.44	8.7	6.67	12.2	19.92	13.55	13.8	34.24	38.07
PO4	0	0	0	0	0	0	0	0	0	9.6	0	0	0.1	8.31	0.19
SO4	88	7377.22	1084.34	38.74	176.13	6921.94	189.73	134.49	294.68	224.56	3078.87	1863.65	16.2	14.39	16.51
Cr	18	23	36	15	27	42	41	26	33	24	22	19	26	21	18
Cu	83.8	96.1	12.9	65.3	53.8	26	41.7	28.5	59.7	68	6.6	5.8	9.4	6.5	4.3
Cd	99.1	90.4	9.42	151	48.2	32.9	70.5	88.6	138.5	227	1.01	0.69	0.87	0.57	0.12
Pb	2380	2500	101	2710	1295	792	1655	1220	4040	3720	33.8	29.3	35.4	20.3	11.2
Zn	9460	7960	977	10000	4360	3890	7640	8710	10000	10000	152	115	114	83	32
As	570	622	92.8	556	425	163	249	232	551	592	13.7	11.4	15.6	11.8	9.6
Sb	493	97.8	3470	1270	890	29	50.4	32.1	61.4	69.8	1.31	1.17	2	1.16	0.79
Ni	19.1	21.7	11.9	16.6	15.9	21.5	26	14.6	22.6	17.9	7.3	6.3	10	7.6	5.3
Th	3.9	5.06	10.35	2.92	6.5	12.2	11.65	8.04	8.36	5.17	8.24	7.32	9.81	7.17	6.99
Tl	2.45	2.47	0.7	2.46	1.61	2.06	3.89	2.69	10.7	9.85	0.33	0.27	0.43	0.34	0.26
U	6.4	12.5	2	5.7	8.1	8.2	9.9	6.9	13.5	16.6	2.7	2.4	3.2	2.5	2.4
Mo	7.38	18.1	1.18	5.82	7.55	6.48	7.46	5.94	8.62	9.39	0.98	0.75	1.18	0.79	0.64
Co	5.3	5.7	5.4	4.1	5.1	5.8	7.5	4.3	5.4	5.1	3.9	3.1	4.8	3.5	2.5
Se	3	3	1	3	2	2	3	2	3	5	0	0	1	1	1
