Id	Kingdom	Phylum	Class	Order	Family	Genus	Species
pH	Ev	Ev	Ev	Ev	Ev	Ev	Ev
SOC	Ev	Ev	Ev	Ev	Ev	Ev	Ev
F	Ev	Ev	Ev	Ev	Ev	Ev	Ev
Cl	Ev	Ev	Ev	Ev	Ev	Ev	Ev
Br	Ev	Ev	Ev	Ev	Ev	Ev	Ev
NO3	Ev	Ev	Ev	Ev	Ev	Ev	Ev
PO4	Ev	Ev	Ev	Ev	Ev	Ev	Ev
SO4	Ev	Ev	Ev	Ev	Ev	Ev	Ev
Cr	Ev	Ev	Ev	Ev	Ev	Ev	Ev
Cu	Ev	Ev	Ev	Ev	Ev	Ev	Ev
Cd	Ev	Ev	Ev	Ev	Ev	Ev	Ev
Pb	Ev	Ev	Ev	Ev	Ev	Ev	Ev
Zn	Ev	Ev	Ev	Ev	Ev	Ev	Ev
As	Ev	Ev	Ev	Ev	Ev	Ev	Ev
Sb	Ev	Ev	Ev	Ev	Ev	Ev	Ev
Ni	Ev	Ev	Ev	Ev	Ev	Ev	Ev
Th	Ev	Ev	Ev	Ev	Ev	Ev	Ev
Tl	Ev	Ev	Ev	Ev	Ev	Ev	Ev
U	Ev	Ev	Ev	Ev	Ev	Ev	Ev
Mo	Ev	Ev	Ev	Ev	Ev	Ev	Ev
Co	Ev	Ev	Ev	Ev	Ev	Ev	Ev
Se	Ev	Ev	Ev	Ev	Ev	Ev	Ev
OTU_5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Unassigned
OTU_4	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_6	Bacteria	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned	Unassigned
OTU_10	Bacteria	Cyanobacteria	Chloroplast	Unassigned	Chloroplast	Streptophyta	Unassigned
OTU_7	Bacteria	Cyanobacteria	Chloroplast	Unassigned	Chloroplast	Streptophyta	Unassigned
