"Source","Target","p_value"
"OTU_1","pH",0.602447760457243
"OTU_2","pH",0.421167134388963
"OTU_3","pH",0.845042169698616
"OTU_5","pH",0.832521972899506
"OTU_8","pH",0.514349241580419
"OTU_20","pH",0.165687274237657
"OTU_54","pH",0.205387457676362
"OTU_12","pH",0.825585365132943
"OTU_14","pH",0.0154350040816285
"OTU_22","pH",0.206352678362814
"OTU_23","pH",0.179929163774246
"OTU_27","pH",0.174926636631655
"OTU_43","pH",0.256154453019455
"OTU_35","pH",0.243847425002772
"OTU_57","pH",0.158884899924605
"OTU_28","pH",0.895364140242021
"OTU_46","pH",0.208021646257431
"OTU_26","pH",0.155425629713922
"OTU_59","pH",0.607372390183355
"OTU_81","pH",0.0121502471116846
"OTU_119","pH",0.0927157996895303
"OTU_49","pH",0.240670400895589
"OTU_13","pH",0.0404933426662232
"OTU_42","pH",0.187960540077455
"OTU_96","pH",0.00143258536956753
"OTU_109","pH",0.329448406124771
"OTU_37","pH",0.850878415358236
"OTU_58","pH",0.199008928156435
"OTU_31","pH",0.200651062094957
"OTU_296","pH",0.0538181443692794
"OTU_16","pH",0.294242106153484
"OTU_193","pH",0.203565743633821
"OTU_90","pH",0.275001217234471
"OTU_32","pH",0.586888120271032
"OTU_107","pH",0.492965515825052
"OTU_47","pH",0.215278758030977
"OTU_105","pH",0.402462290305663
"OTU_73","pH",0.135931623007894
"OTU_56","pH",0.306177157005572
"OTU_367","pH",0.737663447748443
"OTU_63","pH",0.406802397204017
"OTU_138","pH",0.497168452325326
"OTU_41","pH",0.222474897752849
"OTU_128","pH",0.244721226941321
"OTU_191","pH",0.0219027848167803
"OTU_259","pH",0.0432587386727929
"OTU_88","pH",0.316950269584343
"OTU_200","pH",0.237773357701729
"OTU_242","pH",0.533423080471526
"OTU_36","pH",0.0928198241218056
"OTU_194","pH",0.510376189707075
"OTU_64","pH",0.150929185104674
"OTU_166","pH",0.00264339935030936
"OTU_62","pH",0.0575365829687628
"OTU_122","pH",0.181490656028234
"OTU_127","pH",0.0366172528885893
"OTU_226","pH",0.0259453111707964
"OTU_149","pH",0.0522840009095247
"OTU_38","pH",0.0131524760045074
"OTU_241","pH",0.284101947384156
"OTU_360","pH",0.070859053852791
"OTU_142","pH",0.273586280852158
"OTU_292","pH",0.0056810892161773
"OTU_230","pH",0.00197197608255867
"OTU_151","pH",0.1224760612577
"OTU_914","pH",0.0150671202624993
"OTU_24","pH",0.0100558132712539
"OTU_492","pH",0.289858484406858
"OTU_132","pH",0.871112598922484
"OTU_112","pH",0.0700715185121796
"OTU_287","pH",0.0174890729458473
"OTU_334","pH",0.158666512454978
"OTU_113","pH",0.306210271575179
"OTU_440","pH",0.096526078313862
"OTU_39","pH",0.0126671959558513
