OTUID	CPT1	CPT3	CPT4	CPT6	ZT5	ZT4	ZT6	ZT1	ZT3	ZT2	PT7	PT6	PT5	PT4	PT3	PT2	PT1	CPT7	CPT9	CPT8	ZT9	CPT5	ZT8	ZT7	PT9	CPT2	PT8
OTU1	4	1	10	5	12	20	8	1	2	1	1	16	43	5	2	5	1	0	0	0	0	0	0	0	0	0	0
OTU2	3	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	2	0	0	0	0	0	0	0	0	0
OTU3	8	0	8	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	3	24	1	0	0	0	0	0	0
OTU4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU5	119	3	0	2	0	0	0	1	0	0	0	0	0	1	0	0	0	128	0	4	0	15	2	4	1	0	0
OTU6	25	40	5	9	3	1	7	41	22	34	2	0	0	0	15	2	2	41	30	23	10	17	12	8	0	12	1
OTU7	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU8	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU9	28	14	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1	1	1	0	0	4	0	0	0	1	0
OTU10	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU11	26	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0
OTU12	2	0	0	0	0	0	0	0	0	0	6	0	1	0	1	1	1	0	4	0	0	0	0	0	0	0	0
OTU13	14	3	7	2	0	0	0	0	1	0	11	3	0	1	0	4	0	0	0	0	0	1	0	0	0	0	2
OTU14	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	5	0	0	0	0	0	0	0
OTU15	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0
OTU16	2	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0
OTU17	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
OTU18	8	16	1	2	3	3	6	20	13	17	0	0	0	0	8	10	0	27	1	2	2	4	17	5	0	4	0
OTU19	4	1	0	0	0	0	0	1	0	0	20	0	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0
OTU20	7	2	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	1	0	0	2	0	2	0	0	4	0
