bug_name,gene,t_statistic,Direction,t2d_status,species_update
Bacteroides_vulgatus,UniRef90_E5V0K7: NO_NAME,3.710043645,T2D_enriched,Non-significant,Bacteroides vulgatus
Bacteroides_vulgatus,UniRef90_F3PNT8: NO_NAME,3.109245078,T2D_enriched,Non-significant,Bacteroides vulgatus
Bacteroides_vulgatus,UniRef90_A0A069S9W9: NO_NAME,3.007073373,T2D_enriched,Non-significant,Bacteroides vulgatus
Bacteroides_vulgatus,UniRef90_A0A396E3U6: NO_NAME,3.003272469,T2D_enriched,Non-significant,Bacteroides vulgatus
Bacteroides_vulgatus,UniRef90_A0A174P9D4: NO_NAME,3.154897701,T2D_enriched,Non-significant,Bacteroides vulgatus
Bacteroides_vulgatus,UniRef90_A0A395VQP3: DNA repair protein,3.271405776,T2D_enriched,Non-significant,Bacteroides vulgatus
Bacteroides_vulgatus,UniRef90_A0A3E4PLJ1: Fimbrillin family protein,3.145702434,T2D_enriched,Non-significant,Bacteroides vulgatus
Bacteroides_vulgatus,UniRef90_I9U0J1: NO_NAME,3.129148389,T2D_enriched,Non-significant,Bacteroides vulgatus
Bacteroides_vulgatus,UniRef90_A0A174HK97: NO_NAME,3.005069806,T2D_enriched,Non-significant,Bacteroides vulgatus
Bacteroides_vulgatus,UniRef90_A0A078R9J7: NO_NAME,2.999824651,T2D_enriched,Non-significant,Bacteroides vulgatus
Bacteroides_vulgatus,UniRef90_A0A396BRV5: RloB domain-containing protein,3.273779457,T2D_enriched,Non-significant,Bacteroides vulgatus
Bacteroides_vulgatus,UniRef90_A0A174JJB8: NO_NAME,3.444385654,T2D_enriched,Non-significant,Bacteroides vulgatus
Bacteroides_vulgatus,UniRef90_E1YRK2: NO_NAME,2.969592226,T2D_enriched,Non-significant,Bacteroides vulgatus
Bacteroides_vulgatus,UniRef90_A0A069SWS9: NO_NAME,3.840062654,T2D_enriched,Non-significant,Bacteroides vulgatus
