,Species1,Species2,Species3,Species4,Species5,Species6,Species7,Species8,Species9,Species10,Species11,Species12,Species13,Species14,Species15,Species16,Species17,Species18,Species19,Species20,Species21,Species22,Species23,Species24,Species25,Species26,Species27,Species28,Species29,Species30,Species31,Species32,Species33,Species34,Species35,Species36,Gene1,Gene2,Gene3,Gene4,Gene5,Gene6,Gene7,Gene8,Gene9,Gene10,Gene11,Gene12,Gene13,Gene14,Gene15,Gene16,Gene17,Gene18,Gene19,Gene20,Gene21,Gene22,Gene23,Gene24,Gene25,Gene26,Gene27,Gene28,Gene29,Gene30,Gene31,Gene32,Gene33,Gene34,Gene35,Gene36,Gene37,Gene38,Gene39,Gene40,Gene41,Gene42
1,0,0.18925,0,0.59117,0,0,0,0,0,0,0.14639,0,0,0.03799,0.12149,0.01121,0,0.00394,0,0.01798,0,0.0066,0,0,0,0,0,0,0,0,0,0.40761,0,0,0,0,6.018593214,2.708050201,5.135798437,3.583518938,6.309918278,2.197224577,2.63905733,5.541263545,4.158883083,0,1.945910149,0,0,0,1.945910149,2.079441542,0,0.693147181,0,0,1.609437912,4.219507705,0,1.098612289,0.693147181,1.098612289,0,0.693147181,0,0,0,0,0,0,0,0,0,0,1.386294361,0,0,0
2,0.0332,0.00302,0.00552,0.16884,0,0,0.28499,0,1.01537,0,0.00419,0,0,0,0,2.23359,0,0,0,0,0.05487,0,0,0,0,0.3663,0,0,0,0,0,0,0,0,0.0178,0.60104,9.430519534,5.463831805,7.451241685,6.198478716,5.560681631,4.343805422,0,5.099866428,3.401197382,5.164785974,4.043051268,4.143134726,4.406719247,2.63905733,2.833213344,2.63905733,0,3.258096538,3.663561646,2.772588722,2.079441542,3.610917913,3.091042453,3.135494216,0,3.17805383,1.386294361,3.258096538,0,0,0,0,3.33220451,2.890371758,0,0.693147181,0,2.48490665,0,0,0,0
3,0.05778,0.32727,0.00211,0.07028,0,0,0.00673,0,0.19295,0,0,0,0,0,0.18838,0.01494,0,0,0,0,0,0,0,0,0,7.10351,0.24203,0,0,0,0.00946,0,0.11767,0,0,0,9.288411907,4.48863637,6.687108608,5.159055299,4.736198448,0,0,4.465908119,3.737669618,3.433987204,4.919980926,4.290459441,4.983606622,4.543294782,4.406719247,3.610917913,0,0,0,4.060443011,4.060443011,0,0,0,4.477336814,0,0,0,0,4.762173935,0,0,0,0,0,0,4.204692619,0,0,0,0,0
4,0,0,0.12274,0.51479,0,0,0,0,0,0,0.02406,0,0,0,0,0.43208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.515911477,6.08221891,7.684783944,6.886531643,5.187385806,4.574710979,4.753590191,5.472270674,4.691347882,3.044522438,3.091042453,2.995732274,2.48490665,3.80666249,2.564949357,3.433987204,2.564949357,2.564949357,3.36729583,2.995732274,2.397895273,1.945910149,1.791759469,2.48490665,2.079441542,2.48490665,2.890371758,3.951243719,0.693147181,2.995732274,0,0,1.945910149,1.791759469,2.48490665,0.693147181,1.386294361,0,0,0,0,0
5,0,0.06596,0.05237,0.84707,0,0,0.05292,0,0.25931,0.04952,0.00978,0.09913,0,0.16164,0.27039,13.00824,0.13319,0,0.0042,0.26739,0,0,0.19357,0,0.00805,0,0.01213,0.02988,0.93789,0,1.67313,0,0.06003,0,0,0.05036,8.52158354,0.693147181,5.998936562,3.433987204,3.80666249,3.850147602,4.934473933,4.33073334,4.709530201,1.791759469,1.609437912,5.049856007,1.098612289,1.386294361,1.945910149,0.693147181,1.609437912,1.386294361,1.609437912,1.098612289,1.791759469,2.079441542,0,0,2.079441542,2.197224577,0,2.302585093,2.079441542,1.098612289,1.098612289,0,0,0,0,2.302585093,1.098612289,0,0.693147181,0,1.791759469,0
6,0,0,0.01403,0,0,0,0.6664,0,0,0,0.07077,0,0.72352,0,0,2.54427,0,0,0,0,0,0,0,0,0,2.50385,0.05331,0.0035,0,1.08013,0,0,1.07358,0,0,0.00168,7.980023592,4.060443011,6.354370041,3.36729583,4.9698133,2.63905733,1.609437912,5.872117789,5.568344504,0,1.791759469,3.135494216,2.197224577,2.302585093,1.386294361,0,0,0,1.791759469,0,0,1.609437912,0,0,1.098612289,0,0,0,0,0,2.197224577,0,0,0,0,0,0,3.80666249,0,0,0,0
7,0.2771,0.45659,0.08312,0.81618,0,0,0.03023,0.00579,0.21735,0,0,0.65052,0,0.28998,0.39693,0.06364,0.12805,0,0.15593,0.13615,0.00646,0.02034,0.41112,0.08545,0.00758,0,0,0.51723,0,0.05158,0.9604,0.41665,0.04676,0,0.10094,4.33162,9.255791635,3.610917913,7.142827401,5.572154032,6.421622268,3.912023005,5.135798437,4.356708827,5.030437921,3.433987204,2.772588722,4.442651256,3.218875825,2.944438979,3.555348061,2.564949357,3.33220451,1.791759469,2.564949357,2.833213344,2.197224577,3.761200116,1.609437912,2.079441542,3.135494216,2.63905733,2.63905733,1.098612289,1.386294361,1.791759469,1.386294361,2.48490665,0,1.609437912,0,2.564949357,0.693147181,1.609437912,2.079441542,3.044522438,0,0
8,1.66622,3.45078,0.96236,3.32215,0.00091,0.00377,0.62287,0,0.24784,0.10936,0.06949,1.35487,0.04419,0.4724,1.53961,0.03357,0.34215,0,0.29932,0.65765,0,0,0.9858,0,0.00481,4.39983,0,0.86885,0.01096,0,3.51495,0,0.01691,0,0,0.17624,9.635804167,5.093750201,7.543273347,6.612041035,5.993961427,5.929589143,5.010635294,4.477336814,4.290459441,3.465735903,3.663561646,3.871201011,3.912023005,3.044522438,2.833213344,3.091042453,3.433987204,2.63905733,1.945910149,2.833213344,2.63905733,3.218875825,2.708050201,2.397895273,2.397895273,2.63905733,1.098612289,2.564949357,0.693147181,2.564949357,1.386294361,2.079441542,2.197224577,2.48490665,2.48490665,0,1.386294361,0.693147181,3.63758616,1.098612289,2.772588722,1.386294361
9,0.05903,0.0212,0.01734,0.09503,0,0.04423,3.10743,0.07055,0.57604,0,0,0.04691,0,0.072,0.06315,0.16105,0.05228,0,0.81387,0.05928,0,0,0.319,0.49805,0.0022,0.89386,0.00797,1.47263,0.05412,0.01063,1.1423,0,0.07462,0,0,0,9.079206104,7.921535632,7.949797216,6.184148891,6.025865974,5.049856007,0,0,4.624972813,4.624972813,3.871201011,0,0,0,4.762173935,0,4.290459441,0,4.812184355,0,0,0,0,0,1.386294361,0,0,0,5.176149733,0,0,0,3.784189634,0,0,0,0,0,0,0,0,0
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.42749,0,0,0,0,0,0.18772,0,0,0,0,0,0,0,0,0,0,1.01107,0,0.08189,1.50039,8.425297177,2.63905733,4.718498871,4.584967479,2.772588722,1.098612289,0,3.36729583,5.831882477,2.197224577,4.158883083,2.397895273,3.36729583,2.197224577,1.609437912,1.609437912,1.791759469,0,0,2.890371758,1.098612289,3.688879454,1.098612289,1.609437912,1.098612289,0.693147181,2.302585093,1.791759469,0,1.098612289,1.386294361,0,0,0,0,0,0,0,0,1.098612289,0,0
