bray_curtis	Healthy01	Healthy02	Healthy03	Healthy04	Healthy05	Healthy06	Healthy07	Healthy08	Healthy09	Healthy10	Patients01	Patients02	Patients03	Patients04	Patients05	Patients06	Patients07	Patients08	Patients09	Patients10
Healthy01	0	0.0231	0.0255	0.0312	0.0093	0.0275	0.049	0.0615	0.0144	0.0109	0.019	0.0356	0.0636	0.0435	0.0145	0.0923	0.0137	0.0989	0.104	0.0382
Healthy02	0.0231	0	0.0438	0.016	0.0269	0.0101	0.0684	0.0801	0.0168	0.031	0.0112	0.0272	0.083	0.061	0.034	0.112	0.0224	0.12	0.0872	0.0313
Healthy03	0.0255	0.0438	0	0.0506	0.0205	0.0424	0.0334	0.051	0.0309	0.0175	0.0386	0.052	0.0484	0.0354	0.0186	0.0795	0.0332	0.0877	0.119	0.0553
Healthy04	0.0312	0.016	0.0506	0	0.0369	0.0132	0.0748	0.0882	0.0275	0.0377	0.0187	0.0252	0.0883	0.072	0.0407	0.118	0.0307	0.125	0.0772	0.0285
Healthy05	0.0093	0.0269	0.0205	0.0369	0	0.0286	0.0457	0.0592	0.0163	0.009	0.0233	0.0383	0.0605	0.0405	0.0123	0.0893	0.0162	0.0977	0.108	0.0426
Healthy06	0.0275	0.0101	0.0424	0.0132	0.0286	0	0.0676	0.0834	0.0186	0.0316	0.0125	0.0236	0.0826	0.0635	0.0353	0.112	0.0255	0.121	0.0839	0.0291
Healthy07	0.049	0.0684	0.0334	0.0748	0.0457	0.0676	0	0.0217	0.0564	0.0408	0.0626	0.077	0.0211	0.0107	0.0427	0.0527	0.058	0.0597	0.145	0.0798
Healthy08	0.0615	0.0801	0.051	0.0882	0.0592	0.0834	0.0217	0	0.0706	0.056	0.0768	0.0919	0.0161	0.0244	0.0569	0.0417	0.071	0.0465	0.16	0.094
Healthy09	0.0144	0.0168	0.0309	0.0275	0.0163	0.0186	0.0564	0.0706	0	0.0209	0.0139	0.0302	0.072	0.0513	0.0242	0.101	0.013	0.11	0.0982	0.0346
Healthy10	0.0109	0.031	0.0175	0.0377	0.009	0.0316	0.0408	0.056	0.0209	0	0.0251	0.0409	0.0553	0.0389	0.0114	0.0863	0.0199	0.0922	0.11	0.0437
Patients01	0.019	0.0112	0.0386	0.0187	0.0233	0.0125	0.0626	0.0768	0.0139	0.0251	0	0.0221	0.0763	0.058	0.0278	0.104	0.0173	0.113	0.0882	0.026
Patients02	0.0356	0.0272	0.052	0.0252	0.0383	0.0236	0.077	0.0919	0.0302	0.0409	0.0221	0	0.0893	0.0735	0.0385	0.106	0.0258	0.125	0.0737	0.017
Patients03	0.0636	0.083	0.0484	0.0883	0.0605	0.0826	0.0211	0.0161	0.072	0.0553	0.0763	0.0893	0	0.0257	0.0554	0.0376	0.0713	0.0456	0.157	0.0923
Patients04	0.0435	0.061	0.0354	0.072	0.0405	0.0635	0.0107	0.0244	0.0513	0.0389	0.058	0.0735	0.0257	0	0.04	0.0553	0.0521	0.0636	0.143	0.0786
Patients05	0.0145	0.034	0.0186	0.0407	0.0123	0.0353	0.0427	0.0569	0.0242	0.0114	0.0278	0.0385	0.0554	0.04	0	0.0818	0.0187	0.0904	0.108	0.0424
Patients06	0.0923	0.112	0.0795	0.118	0.0893	0.112	0.0527	0.0417	0.101	0.0863	0.104	0.106	0.0376	0.0553	0.0818	0	0.0924	0.0278	0.172	0.108
Patients07	0.0137	0.0224	0.0332	0.0307	0.0162	0.0255	0.058	0.071	0.013	0.0199	0.0173	0.0258	0.0713	0.0521	0.0187	0.0924	0	0.106	0.0941	0.0299
Patients08	0.0989	0.12	0.0877	0.125	0.0977	0.121	0.0597	0.0465	0.11	0.0922	0.113	0.125	0.0456	0.0636	0.0904	0.0278	0.106	0	0.192	0.125
Patients09	0.104	0.0872	0.119	0.0772	0.108	0.0839	0.145	0.16	0.0982	0.11	0.0882	0.0737	0.157	0.143	0.108	0.172	0.0941	0.192	0	0.076
Patients10	0.0382	0.0313	0.0553	0.0285	0.0426	0.0291	0.0798	0.094	0.0346	0.0437	0.026	0.017	0.0923	0.0786	0.0424	0.108	0.0299	0.125	0.076	0
