"","Healthy01","Healthy02","Healthy03","Healthy04","Healthy05","Healthy06","Healthy07","Healthy08","Healthy09","Healthy10","Healthy11","Healthy12","Healthy13","Healthy14","Healthy15","Healthy16","Healthy17","Healthy18","Healthy19","Healthy20","Healthy21","Healthy22","Healthy23","Healthy24","Healthy25","Healthy26","Healthy27","Healthy28","Healthy29","Healthy30","Patients01","Patients02","Patients03","Patients04","Patients05","Patients06","Patients07","Patients08","Patients09","Patients10","Patients11","Patients12","Patients13","Patients14","Patients15","Patients16","Patients17","Patients18","Patients19","Patients20","Patients21","Patients22","Patients23","Patients24","Patients25","Patients26","Patients27","Patients28","Patients29","Patients30"
"Species01",0,0,0,0.00150716234967646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species02",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0320744156077362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species03",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0096783776395931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species04",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species05",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.616358159831161,0,0,0,2.63970838963367,0,0,0,0,7.60797753592776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0227542497383499,0.129443679104091,0,0,0,0,0,0,0
"Species06",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species07",0,2.62475460651391,0,0,0,0,0,0,0,0.277996243215824,0,0,0,0,0,0,0,0,0,0,0.0938173658995589,0,0,0.313188276906241,0,0,0,0.204088607584188,0,0,0,0,0,0,0,0,0,0,0,0,0.159390611652947,0,0,0,0,0,0,0,0,0,1.24742685193216,0,0,0,0,0,0,0,0,0
"Species08",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species09",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species100",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species1000",0,0,0,0,0.00647136798955488,0,0,0.0169358429334498,0.0127291730903199,0,0.0192085263318199,0,0,0,0,0,0,0,0,0,0,0,0,0.0290587738693383,0.0162378845235941,0,0,0,0.00389096173675078,0,0,0,0,0,0,0.0357729929232114,0,0,0,0,0.00956481621783829,0,0.0234225880039742,0,0,0.00507544741914478,0,0,0,0,0,0,0,0,0.0147722385099761,0,0.0604961382026855,0,0,0
"Species1001",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species1002",0.00488384628638877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00826101894393631,0,0,0,0,0.0074299821809883,0,0,0.0444711523128909,0,0.0374412134163684,0,0,0,0,0,0,0.00806665533129635,0,0,3.15305333830079,0,0,0,0.0862875575243182,0,0,0,0,0,0,0,0,0
"Species1003",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species1004",0,0,0,0,0,0,0,0,0,0.0202888826060047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0202776509099038
"Species1005",0.306845142056775,0,0,0,0,0,0,3.19089020406993,0,0,0,0,0,0,0,0,0,0,0,0.0267736440640546,1.1280268364422,0,6.15648754700421,0,0,0,0,0,0.40975574661795,0,0,0,0.0638700546432618,0,0,0.0298680685464741,0,0,0,0,0,0,0.676286716727884,0,0,0.413434549670124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species1006",0,0,0,0.135190530506556,0,0,0.129613540132998,0,0,0,0,0,0.00870754427777354,0.416018952324306,0,0,0,0,0,0,0,0.000820343427668131,0,0,0,0,0,0,0,0.4105700081291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species1007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.05137763164856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species1008",0,0,0,0.0742760522071322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species1009",0,0,0,0,0,0,0,0,0,0,0.00169895872062538,0,0,0,0,0,0,0,0,0,0.0454435988933629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species101",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species1010",0.00480601476413666,0,0,0,0.0513573543832978,0,0,0.0033816162500932,0,0,0.0332813045996637,0.0221933913916642,0,0.232446848089306,0,0,0,0,0,0.142068253061684,0,0,0,0.0279786473566885,0,0,0,0,0,0,0,0,0,0,0.0734775966154874,0,0,0.0880053224782104,0,0,0,0,0,0.0559507243736474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species1011",0,0,0.23037151339505,0.871220173621282,0.0292384259441809,0.0339298775696573,0.0859634399244357,0.00218489790712078,0.0511267526014336,0.0299963793159423,0.0122876312324652,0.0766534672137806,0.11729725934239,0,0.0581470380659662,0.137561060367924,0,0.32613786203119,0.0173352718839806,0,0.0490333695108906,0,0,0,0,0.0535881053633207,0.00272177068393582,0.0955174647334548,0.0195727366176952,0,0,0,0.0362552687713539,0,0,0.00600516869883783,0.100663167841426,0.387443807421231,0,0,0,0.162025269442302,0.0129903146280681,0,0.0091236115742519,0.735196552940989,1.25567427308321,0.00462000562715625,0.00827890235894443,0,6.52460122956586,0.232354036370817,0.0281534181113158,0,0.0358965211915744,0,0.0228817008279289,0,0,0.182260946223877
"Species1012",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species1013",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species1014",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species1015",0,0,0.308773425357638,0.000347806696079183,0,0,0,0,0,0,0,0,0,0,0,0.0403197673255623,0,0.210817803769979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species1016",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species1017",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Species1018",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
