id	groupID	group	Samples
P358432B	P_B	P_B	P358432B
R022	R_H	R_H	R022
R031	R_H	R_H	R031
P401414A	P_A	P_A	P401414A
R040	R_H	R_H	R040
P477401B	P_B	P_B	P477401B
P406952A	P_A	P_A	P406952A
P397578A	P_A	P_A	P397578A
R013	R_H	R_H	R013
R007	R_H	R_H	R007
R028	R_H	R_H	R028
P441696A	P_A	P_A	P441696A
P453769B	P_B	P_B	P453769B
R049	R_H	R_H	R049
P478805B	P_B	P_B	P478805B
R002	R_H	R_H	R002
P395560A	P_A	P_A	P395560A
R052	R_H	R_H	R052
P354575B	P_B	P_B	P354575B
P378538B	P_B	P_B	P378538B
P388277B	P_B	P_B	P388277B
P480512A	P_A	P_A	P480512A
P410516B	P_B	P_B	P410516B
P470355A	P_A	P_A	P470355A
P492202A	P_A	P_A	P492202A
P362680A	P_A	P_A	P362680A
P430146B	P_B	P_B	P430146B
P446506A	P_A	P_A	P446506A
P492215A	P_A	P_A	P492215A
P353024B	P_B	P_B	P353024B
R012	R_H	R_H	R012
R021	R_H	R_H	R021
R019	R_H	R_H	R019
P419127A	P_A	P_A	P419127A
P470877A	P_A	P_A	P470877A
P359231B	P_B	P_B	P359231B
R008	R_H	R_H	R008
P395023B	P_B	P_B	P395023B
P397467A	P_A	P_A	P397467A
P352756B	P_B	P_B	P352756B
P446548A	P_A	P_A	P446548A
P453780A	P_A	P_A	P453780A
R024	R_H	R_H	R024
R033	R_H	R_H	R033
R046	R_H	R_H	R046
R051	R_H	R_H	R051
P422381A	P_A	P_A	P422381A
P448151A	P_A	P_A	P448151A
R029	R_H	R_H	R029
P371780B	P_B	P_B	P371780B
P447131B	P_B	P_B	P447131B
P358947B	P_B	P_B	P358947B
P467529B	P_B	P_B	P467529B
P470440A	P_A	P_A	P470440A
P416163A	P_A	P_A	P416163A
R056	R_H	R_H	R056
R038	R_H	R_H	R038
P358702B	P_B	P_B	P358702B
P351263B	P_B	P_B	P351263B
R039	R_H	R_H	R039
R003	R_H	R_H	R003
R047	R_H	R_H	R047
P486623A	P_A	P_A	P486623A
R025	R_H	R_H	R025
R032	R_H	R_H	R032
P432555B	P_B	P_B	P432555B
R020	R_H	R_H	R020
R018	R_H	R_H	R018
R030	R_H	R_H	R030
P486042A	P_A	P_A	P486042A
P457953B	P_B	P_B	P457953B
P462934A	P_A	P_A	P462934A
R026	R_H	R_H	R026
P393629A	P_A	P_A	P393629A
P493593A	P_A	P_A	P493593A
R014	R_H	R_H	R014
R015	R_H	R_H	R015
R017	R_H	R_H	R017
P448868A	P_A	P_A	P448868A
P399078A	P_A	P_A	P399078A
P430712A	P_A	P_A	P430712A
P348867B	P_B	P_B	P348867B
P447642B	P_B	P_B	P447642B
P432847A	P_A	P_A	P432847A
P466853B	P_B	P_B	P466853B
P373415B	P_B	P_B	P373415B
P480821A	P_A	P_A	P480821A
P435484B	P_B	P_B	P435484B
P442328B	P_B	P_B	P442328B
R053	R_H	R_H	R053
R048	R_H	R_H	R048
P483076A	P_A	P_A	P483076A
R005	R_H	R_H	R005
R055	R_H	R_H	R055
P479612A	P_A	P_A	P479612A
R034	R_H	R_H	R034
P381881B	P_B	P_B	P381881B
R036	R_H	R_H	R036
R006	R_H	R_H	R006
P440039A	P_A	P_A	P440039A
P392599A	P_A	P_A	P392599A
P401286B	P_B	P_B	P401286B
P445935B	P_B	P_B	P445935B
R043	R_H	R_H	R043
P488253A	P_A	P_A	P488253A
P440123A	P_A	P_A	P440123A
P357549A	P_A	P_A	P357549A
P357552B	P_B	P_B	P357552B
P426845A	P_A	P_A	P426845A
P391412B	P_B	P_B	P391412B
R010	R_H	R_H	R010
P353285A	P_A	P_A	P353285A
R004	R_H	R_H	R004
R045	R_H	R_H	R045
P484929A	P_A	P_A	P484929A
P398375B	P_B	P_B	P398375B
P491519A	P_A	P_A	P491519A
R001	R_H	R_H	R001
