Pathway	ko.id	change3	NO	change2	padjust	gFC	gene_num_min	gene_num_max	gene_num_rich	log10p
Pathway1	Pathway1	UP	1	UP	2.06E-06	0.30012027	0	1000	1000	5.68613278
Pathway2	Pathway2	UP	2	UP	1.26E-07	0.435572346	0	1000	1000	6.900664722
Pathway3	Pathway3	DOWN	3	DOWN	1.06E-06	0.997651674	0	1000	1000	5.974694135
Pathway4	Pathway4	DOWN	4	DOWN	3.09E-06	0.562348503	0	1000	1000	5.510041521
Pathway5	Pathway5	UP	5	UP	1.23E-06	0.632202502	0	1000	1000	5.910094889
Pathway6	Pathway6	UP	6	UP	3.06E-06	0.634876431	0	1000	1000	5.514278574
Pathway7	Pathway7	DOWN	7	DOWN	2.73E-09	-0.357112582	0	1000	1000	8.563837353
Pathway8	Pathway8	DOWN	8	DOWN	3.02E-09	-0.450944246	0	1000	1000	8.520338329
Pathway9	Pathway9	UP	9	UP	1.12E-08	0.538037742	0	1000	1000	7.952725133
Pathway10	Pathway10	DOWN	10	DOWN	1.19E-05	0.915030389	0	1000	1000	4.92628165
