OTUID	Kingdom	Phylum	Class	Order	Family	Genus	Species	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_657	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Thermomonosporaceae	Unassigned	Unassigned	1073	1926	810	1356	1064	1069	1259	1610	1337	944	1245	1013	2303	2512	1698	1974	1441	1544
ASV_2	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Pelomonas	Pelomonas_puraquae	1965	1233	2368	2241	2901	1835	641	497	1225	1271	948	638	1286	1499	843	1122	1496	1177
ASV_3	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Rhizobacter	Rhizobacter_bergeniae	568	460	899	902	1226	855	607	457	1058	1036	837	674	1041	1796	1019	1200	1205	768
ASV_12	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Flavobacterium_terrae	240	250	1823	677	1459	491	324	1918	1487	991	557	337	1075	1199	776	408	1037	1424
ASV_4	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Rhizobacter	Unassigned	1433	401	535	759	1287	506	515	590	439	621	661	428	1123	1448	547	577	1112	922
ASV_6	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Unassigned	Unassigned	Unassigned	890	680	829	900	1503	1026	254	265	372	384	400	359	561	543	466	546	509	507
ASV_8	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Unassigned	508	504	608	424	190	327	335	535	1578	780	507	516	634	763	553	1053	457	514
ASV_18	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Pseudonocardiaceae	Lentzea	Lentzea_flaviverrucosa	433	1026	312	438	310	479	414	404	310	511	672	412	785	611	806	406	680	440
ASV_9	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micromonosporaceae	Actinoplanes	Unassigned	344	801	354	444	270	552	293	442	637	392	553	398	588	325	439	430	754	512
ASV_10	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Rhizobium	Unassigned	369	364	693	760	1024	662	202	178	282	282	405	279	342	593	248	262	524	281
ASV_11	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Oxalobacteraceae	Noviherbaspirillum	Unassigned	315	344	321	352	560	375	472	375	244	418	345	186	421	498	505	412	325	383
ASV_13	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Unassigned	Unassigned	169	181	379	361	535	385	172	513	478	297	495	188	382	289	422	283	579	518
ASV_15	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium	Bradyrhizobium_neotropicale	322	421	441	337	368	378	370	306	280	252	404	367	294	272	311	366	361	367
