y	log2FC	p	group
FAD 21:1	-4.870100774	4.24E-09	Group1
FAD 22:2	-3.967634685	0.000604188	Group1
FAD 23:3	-0.113097261	2.71E-09	Group1
FAD 24:4	-1.818492905	1.98E-09	Group1
FAD 25:5	-2.242524965	4.36E-09	Group1
FAD 26:6	-2.270725463	0.08680895	Group1
FAD 27:7	-0.399854791	0.001621601	Group1
FAD 28:8	-0.966477952	9.22E-07	Group1
FAD 29:9	-2.385133113	0.000973066	Group1
FAD 30:10	-1.87212578	2.19E-08	Group1
FAD 31:11	0.695179872	4.27E-08	Group1
FAD 32:12	3.185556652	5.22E-09	Group1
FAD 33:13	3.695725891	5.76E-05	Group1
FAD 34:14	2.635163447	1.99E-10	Group1
FAD 35:15	4.15287402	0.004060458	Group1
FAD 36:16	1.85952103	0.009707284	Group1
FAD 37:17	3.340925648	7.36E-05	Group1
FAD 38:18	3.765336928	0.000601628	Group1
FAD 39:19	2.822548524	1.60E-10	Group1
FAD 40:20	1.04322313	0.006523307	Group1
FAD 21:1	-5.503792396	6.35E-10	Group2
FAD 22:2	-4.407687049	8.03E-08	Group2
FAD 23:3	-0.657201816	0.031388573	Group2
FAD 24:4	-1.910671056	3.05E-09	Group2
FAD 25:5	-1.684260185	3.26E-05	Group2
FAD 26:6	-2.96840772	0.000598508	Group2
FAD 27:7	0.130002294	0.009753607	Group2
FAD 28:8	-0.812526379	0.003785733	Group2
FAD 29:9	-3.098434949	8.13E-09	Group2
FAD 30:10	-1.655392157	8.39E-07	Group2
FAD 31:11	1.461408905	0.000102255	Group2
FAD 32:12	2.966165815	3.23E-07	Group2
FAD 33:13	2.996645003	7.33E-05	Group2
FAD 34:14	2.929686351	3.37E-08	Group2
FAD 35:15	3.700846591	9.40E-10	Group2
FAD 36:16	1.538062948	0.000868087	Group2
FAD 37:17	3.765681935	8.88E-10	Group2
FAD 38:18	3.944257459	1.50E-07	Group2
FAD 39:19	1.867160707	3.12E-08	Group2
FAD 40:20	1.289137463	5.14E-10	Group2
FAD 21:1	-3.960135367	4.67E-07	Group3
FAD 22:2	-4.474532446	6.33E-08	Group3
FAD 23:3	0.516658327	0.09176788	Group3
FAD 24:4	-1.504240261	1.85E-05	Group3
FAD 25:5	-2.409914077	4.06E-05	Group3
FAD 26:6	-2.210579617	0.007837259	Group3
FAD 27:7	0.396294982	0.0559646	Group3
FAD 28:8	-0.062801311	6.53E-10	Group3
FAD 29:9	-2.823033995	0.000201705	Group3
FAD 30:10	-1.676992601	8.42E-05	Group3
FAD 31:11	0.947360487	0.008628946	Group3
FAD 32:12	3.836888182	5.22E-06	Group3
FAD 33:13	3.545300444	3.32E-05	Group3
FAD 34:14	2.919872085	4.67E-10	Group3
FAD 35:15	3.615944829	0.001068086	Group3
FAD 36:16	2.620741462	4.82E-10	Group3
FAD 37:17	2.949367632	0.000318914	Group3
FAD 38:18	3.972305857	1.30E-06	Group3
FAD 39:19	3.419068746	5.18E-06	Group3
FAD 40:20	1.062214838	0.092325138	Group3
