ID	Species	Group	FDR	B_coef
1	Species01	A	0.002003042	0.595858182
2	Species02	A	0.003780454	0.384510006
3	Species03	A	0.017374432	0.361665576
4	Species04	A	0.009241408	0.30762337
5	Species05	A	0.078410077	0.29037483
6	Species06	A	0.021630201	0.283892146
7	Species07	A	0.251286148	0.222211295
8	Species08	A	0.091242609	0.167977859
9	Species09	A	0.993957763	0.050559561
10	Species10	A	0.993870173	-0.010213351
11	Species11	A	0.993870173	-0.026089392
12	Species12	A	0.827446215	-0.03417439
13	Species13	A	0.002045053	-0.168737725
14	Species14	A	0.007460909	-0.178639119
15	Species15	A	0.000321101	-0.312136725
16	Species16	A	2.48E-08	-0.360323298
17	Species17	A	0.00252705	-0.381082144
18	Species18	A	0.000315642	-0.400401572
19	Species19	A	0.000321101	-0.437110675
20	Species20	A	0.001754642	-0.469450566
21	Species21	A	1.09E-06	-0.620491226
22	Species01	B	3.72E-06	0.753628309
23	Species02	B	3.84E-06	0.723773358
24	Species03	B	5.82E-05	0.713917201
25	Species04	B	0.000150581	0.590061123
26	Species05	B	3.17E-05	0.564781142
27	Species06	B	0.00017894	0.380363176
28	Species07	B	0.003120485	0.358444231
29	Species08	B	0.000750534	0.294981299
30	Species09	B	0.015685404	0.258209508
31	Species10	B	0.001252902	0.203033162
32	Species11	B	0.053661761	-0.101067462
33	Species12	B	1.60E-05	-0.223659595
34	Species13	B	4.32E-07	-0.253246618
35	Species14	B	0.000205564	-0.278369999
36	Species15	B	0.001126387	-0.287541431
37	Species16	B	0.000660588	-0.356851176
38	Species17	B	0.000149802	-0.382753005
39	Species18	B	1.82E-06	-0.453329931
40	Species19	B	9.59E-05	-0.49252353
41	Species20	B	4.52E-13	-0.54467359
42	Species21	B	6.70E-06	-0.55649453
43	Species01	C	0.01394385	0.536690186
44	Species02	C	0.043180259	0.435047953
45	Species03	C	0.01394385	0.31155446
46	Species04	C	0.099004026	0.283961652
47	Species05	C	0.291302105	0.224194121
48	Species06	C	0.317615147	0.190198593
49	Species07	C	0.291302105	0.174548101
50	Species08	C	0.042510851	0.154288888
51	Species09	C	0.620271844	0.105960452
52	Species10	C	0.291302105	0.083438163
53	Species11	C	0.386549304	0.066718764
54	Species12	C	0.980837241	0.0419893
55	Species13	C	0.663870963	0.007510839
56	Species14	C	0.657398418	-0.012178958
57	Species15	C	0.972860937	-0.033107381
58	Species16	C	0.087947523	-0.044308923
59	Species17	C	0.043180259	-0.082141634
60	Species18	C	0.143613751	-0.111210644
61	Species19	C	0.03279321	-0.179345307
62	Species20	C	0.002564338	-0.192491595
63	Species21	C	0.01394385	-0.266101598
