"","E1","E2","E3","E4","E5","E6","E7","E8","E9","E10","E11","E12","E13","E14","E15","E16","E17","E18","E19","E20","E21","E22","E23","E24","E25","E26","E27","E28","E29","E30","E31","E32","E33","E34","E35","zero_counts","sample_percent"
"Species01",0.000296630280018984,0.0053858378951086,0.00546965393920269,0.000502008032128514,0.00111223458038423,0.00370782350760104,0.00419363661227095,0.00182926829268293,0.00238017071569271,0.00236601172718856,0.0009765625,0.00109915992776949,0.000959429824561403,0.000632244467860906,0.00172549019607843,0.00100879089205937,0.00157326533933706,0.00113872329024047,0.00330222541277818,0.00346477478963867,0.00213827512473272,0.00199572344975053,0.00124863430622756,0.000748502994011976,0.00135436583811345,0.00123638049609767,0.00301880282904951,0.00136211232187762,0.000369875096025265,0.00168982350732257,0.00181042286305444,0.00251283732109691,0.000999000999000999,0.00156780768225764,0.00134438718350885,0,1
"Species02",0.000652586616041766,0.00158926364117959,0.00157778479015462,0.00200803212851406,0.00242669362992922,0.000815721171672228,0.00200565229282523,0.00402439024390244,0.00484241628365069,0.00236601172718856,0.00151909722222222,0.00321896835989636,0.00246710526315789,0.00105374077976818,0.00282352941176471,0.00230580775327857,0.00119351163673846,0.00100475584432983,0.00172290021536253,0.00346477478963867,0.00132369412483454,0.000570206699928724,0.00234118932417668,0.00174650698602794,0.00135436583811345,0.00123638049609767,0.00379506641366224,0.0028290025146689,0.000853557913904458,0.001314307172362,0.000517263675158412,0.00196656833824975,0.0015984015984016,0.00169845832244578,0.00179251624467847,0,1
"Species03",0.0130517323208353,0.00291365000882924,0.00610076785526454,0.00451807228915663,0.0032355915065723,0.00459770114942529,0.00410247059896071,0.00878048780487805,0.0074688115561392,0.0149161608887974,0.0103081597222222,0.00416110544084164,0.00301535087719298,0.00231822971548999,0.00909803921568627,0.00244992073785848,0.00282102750501817,0.00348315359367674,0.00430725053840632,0.0130341527800693,0.00682211587414724,0.0059871703492516,0.0085843608553145,0.00286926147704591,0.00948056086679414,0.00386368905030523,0.00603760565809902,0.00335289186923722,0.00312971235098301,0.00450619601952685,0.00349152980731928,0.00502567464219382,0.00659340659340659,0.00444212176639666,0.00571364552991261,0,1
"Species04",0.00160180351210252,0.00715168638530814,0.0025244556642474,0.00276104417670683,0.00171890798786653,0.00400444938820912,0.00392013857234023,0.00341463414634146,0.00254432042022324,0.00102870075095155,0.00206163194444444,0.0024338541257753,0.00493421052631579,0.00115911485774499,0.00109803921568627,0.00201758178411875,0.00157326533933706,0.00267934891821287,0.00330222541277818,0.00329978551394159,0.00427655024946543,0.00242337847469708,0.00140471359450601,0.00187125748502994,0.00159337157425112,0.00231821343018314,0.00724512678971882,0.00220033528918692,0.000284519304634819,0.00319188884716485,0.00400879348247769,0.00305910630394406,0.0035964035964036,0.00222106088319833,0.00235267757114049,0,1
"Species05",0.00130517323208353,0.00141267879215963,0.0029451982749553,0.00476907630522088,0.00131445904954499,0.00771227289581016,0.0026438143859969,0.00426829268292683,0.00812541037426133,0.0112128381853719,0.00423177083333333,0.00204129700871477,0.00356359649122807,0.000632244467860906,0.00345098039215686,0.000576451938319643,0.000488254760483915,0.0021434791345703,0.0018664752333094,0.00346477478963867,0.00264738824966908,0.00142551674982181,0.0034337443421258,0.00187125748502994,0.00462077756532823,0.00270458233521366,0.00310505433845092,0.00461022632020117,0.000512134748342675,0.00168982350732257,0.00129315918789603,0.0176991150442478,0.0047952047952048,0.00195975960282205,0.005265516468743,0,1
"Species06",0.000533934504034172,0.00194243333921949,0.00147259913747765,0.000753012048192771,0.00161779575328615,0.000741564701520208,0.00154982222627405,0.00024390243902439,0.000246224556795798,0.00174879127661763,0.00282118055555556,0.00204129700871477,0.00205592105263158,0.000316122233930453,0.00329411764705882,0.000576451938319643,0.00108501057885314,0.000334918614776609,0.00114860014357502,0.000824946378485398,0.000610935749923633,0.000570206699928724,0.000936475729670673,0.000374251497005988,0.00127469725940089,0.000463642686036628,0.000690012075211316,0.00178122380553227,0.000284519304634819,0.00206533984228314,0.000517263675158412,0.000874030372555446,0.0021978021978022,0.00182910896263392,0.00100829038763164,0,1
"Species07",0.0038561936402468,0.00291365000882924,0.0016829704428316,0.00150602409638554,0.00182002022244692,0.00229885057471264,0.00382897255902999,0.00536585365853659,0.00328299409061064,0.00246888180228372,0.00499131944444444,0.00259087697259951,0.00315241228070175,0.00400421496311907,0.00376470588235294,0.00244992073785848,0.00206152009982097,0.00180856051979369,0.0031586503948313,0.00527965682230655,0.0036656144995418,0.000997861724875267,0.00249726861245513,0.00548902195608782,0.00310707456978968,0.00193184452515262,0.00500258754528204,0.00670578373847443,0.000796654052977495,0.00356740518212542,0.00400879348247769,0.00294985250737463,0.0036963036963037,0.00653253200940685,0.005265516468743,0,1
"Species08",0.000474608448030375,0.0053858378951086,0.0016829704428316,0.000753012048192771,0.00151668351870576,0.00341119762699296,0.00328197647916857,0.00280487804878049,0.00164149704530532,0,0.00336371527777778,0.000942137080945278,0.0034265350877193,0,0.00313725490196078,0.00230580775327857,0.00222427168664894,0.000602853506597897,0.00301507537688442,0.0024748391354562,0.000814580999898177,0.000570206699928724,0.000624317153113782,0.00349301397205589,0.000876354365838113,0.00115910671509157,0.00267379679144385,0.00167644593461861,0,0.00150206533984228,0.00581921634553214,0.000983284169124877,0.0037962037962038,0.00509537496733734,0.00291283889760251,3,0.914286
"Species09",0.057249644043664,0.140120077697334,0.00662669611864942,0.0203313253012048,0.00778564206268959,0.0220986281053022,0.0585285805451728,0.127560975609756,0.0369336835193697,0.238761444295854,0.0466579861111111,0.0724660438093743,0.0474232456140351,0.0116965226554268,0.0153725490196078,0.0332900994379594,0.00444854337329789,0.0262576193984862,0.015218951902369,0.0102293350932189,0.0112004887485999,0.00370634354953671,0.00437022007179647,0.0693612774451098,0.197259400892288,0.00463642686036628,0.0647748835604623,0.159367141659681,0.00116652914900276,0.00844911753661284,0.0204319151687573,0.00786627335299902,0.134865134865135,0.0158087274627646,0.0887295541115841,0,1
"Species10",0,0,0,0,0.000404448938321537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00016498927569708,0,0,0,0,0,0,0,0,0,0,0.00232768653821285,0,0,0,0,32,0.085714
"Species11",0.000237304224015187,0.0011478015186297,0.00021037130535395,0.0017570281124498,0.000202224469160768,0.000519095291064145,0.000364664053240952,0,0.000492449113591595,0.00288036210266433,0.000868055555555556,0.00133469419800581,0.00191885964912281,0.000210748155953635,0.000470588235294118,0.000144112984579911,0.0003797537025986,0.000334918614776609,0.000861450107681263,0.00230984985975912,0.00173098462478363,0.000285103349964362,0.00156079288278445,0.000998003992015968,0.000239005736137667,0.000463642686036628,0.00103501811281697,0.000419111483654652,0,0.000187758167480285,0.000258631837579206,0.00273134491423577,0.001998001998002,0.000914554481316958,0.000672193591754425,2,0.942857
"Species12",0.000533934504034172,0,0,0,0,0,0,0,0.00114904793171372,0,0,0,0,0,0,0,0.000434004231541258,0.00113872329024047,0,0,0,0,0,0,0.00159337157425112,0,0.00172503018802829,0,0,0,0,0,0,0,0,29,0.171429
"Species13",0,0,0,0,0,0,0,0,0,0,0,0,0,0.000842992623814542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0.028571
