Wavelength	Amplitude_1	Amplitude_2	Amplitude_3	Amplitude_4	Amplitude_5	Amplitude_6	Amplitude_7
800	0.802	0.3025	3.6775	0.398	-12.874	-1.67	0.989333333
801	-1.905666667	-3.816	-0.707	6.155	4.968	9.947	2.27
802	2.176666667	-3.518	-2.691	6.347	-0.624	11.923	-0.748
803	-2.741	-1.0335	0.7265	-4.943	10.63	3.384	1.06
804	0.264666667	1.022	-4.2185	10.91	-14.666	5.899	-5.438666667
805	-3.016333333	-0.381	4.213	-2.603	-13.866	-4.118	-5.826
806	2.221	-0.182	2.339	-6.775	6.264	1.08	-0.48
807	1.390666667	2.176	-3.6845	-1.777	4.06	7.941	4.181333333
808	3.109	-3.071	-0.8995	8.474	1.798	-1.142	-0.192
809	2.222666667	4.549	-0.002	-4.539	-10.368	-2.258	6.047333333
810	1.095666667	0.6305	-6.0465	-1.033	5.876	-9.112	-2.314666667
811	3.042666667	3.8245	0.201	2.49	2.874	-6.699	1.348666667
812	3.688	0.9235	-3.4585	2.64	25.456	0.95	3.793333333
813	1.050333333	-2.866	0.1875	-0.597	20.316	-7.308	-1.022
814	2.367	-3.0245	-3.719	1.155	6.704	-10.246	-3.873333333
815	3.935333333	-5.677	1.268	-4.581	18.702	1.47	-0.04
816	5.329	-1.5865	-0.071	-0.784	12.094	-0.019	8.255333333
817	5.031	-3.7985	-2.424	-0.612	3.284	-1.105	2.764666667
818	6.499666667	-2.077	-3.279	-6.144	-7.832	0.517	-0.698
819	3.025333333	0.8575	-0.9575	3.087	-2.894	4.095	-0.145333333
820	5.238333333	-0.966	0.77	-3.963	-4.932	-2.654	1.728666667
821	1.973	3.609	-1.7345	8.222	-11.406	-2.334	1.747333333
822	5.994	1.1465	1.0045	-3.243	15.766	-6.869	-0.241333333
823	5.558333333	1.9955	1.3725	-4.377	-10.9	4.146	3.707333333
824	7.564333333	2.5305	-0.7495	0.987	-6.292	1.012	-1.428
825	9.440333333	-0.293	-0.847	-0.163	-3.96	-7.138	0.699333333
826	10.278	-3.6725	-0.0055	-3.928	-1.678	0.209	-4.114
827	9.053666667	-2.0295	-4.108	-0.04	-5.792	5.71	-8.023333333
828	15.11433333	-1.951	1.3325	7.1	-12.892	-3.276	-0.002666667
829	16.21433333	3.8115	1.387	5.817	4.678	-4.143	-4.498666667
830	16.48233333	3.0235	1.896	-3.06	-12.28	-5.954	-0.134
831	19.68566667	1.811	-0.8385	-3.676	-19.368	-1.886	-2.461333333
832	20.675	1.982	1.1655	7.745	6.34	-3.802	11.77266667
833	24.99233333	-2.023	-1.2605	0.596	16.948	8.496	-4.117333333
834	27.85466667	-0.3755	-1.0205	-4.213	-0.982	12.854	1.153333333
835	30.48733333	-3.2615	-2.8735	2.482	-21.292	5.05	4.008
