logFC,AveExpr,t,P.Value,adj.P.Val,B,OTUID,Phylum
4.980110944,8.976293542,7.661916854,2.64E-08,1.75E-07,9.137461726,OTU78,Acidobacteria
3.112130988,7.639707202,7.211611274,8.21E-08,5.07E-07,8.025646433,OTU353,Acidobacteria
-2.389545476,8.657885243,-6.910563394,1.77E-07,1.03E-06,7.238723582,OTU455,Acidobacteria
2.499775404,8.027730265,6.503559362,5.11E-07,2.64E-06,6.228712033,OTU292,Acidobacteria
2.879590213,7.358632105,5.266211795,1.40E-05,5.79E-05,2.968275507,OTU428,Acidobacteria
1.460683473,8.280107435,4.383475271,0.00015316,0.00052449,0.597251812,OTU381,Acidobacteria
-1.691147907,7.350288407,-4.100283081,0.000328083,0.001055184,-0.058771636,OTU189,Acidobacteria
-2.247716707,6.95591138,-4.089876311,0.000337352,0.001077714,-0.11646251,OTU517,Acidobacteria
-1.520703563,7.508369477,-3.877183037,0.000594605,0.00176895,-0.637855253,OTU363,Acidobacteria
-1.899516038,8.615296461,-3.558848938,0.001372375,0.003820179,-1.545287919,OTU959,Acidobacteria
-1.397374061,11.19585381,-3.478990537,0.001688069,0.004617935,-1.883059526,OTU72,Acidobacteria
-2.576962365,7.50007377,-3.365504346,0.002260434,0.006010986,-1.928668428,OTU231,Acidobacteria
-1.327456648,7.311563799,-3.144399253,0.003958371,0.010240133,-2.42479282,OTU91,Acidobacteria
0.802753989,10.80338832,3.075680062,0.004699212,0.011898006,-2.855928961,OTU179,Acidobacteria
-1.140548253,9.802169831,-3.054388769,0.004954433,0.012412159,-2.876961604,OTU131,Acidobacteria
0.913326246,10.82811776,2.981700069,0.005928974,0.014472778,-3.074662917,OTU185,Acidobacteria
1.194119039,7.361332921,2.855699937,0.008063074,0.018631182,-3.089962394,OTU498,Acidobacteria
1.035699345,7.184910096,2.127247019,0.042477693,0.077173213,-4.574534629,OTU264,Acidobacteria
0.979111605,7.794115025,2.122997861,0.042862434,0.077576116,-4.658848638,OTU549,Acidobacteria
-0.841811767,10.98071626,-2.186927758,0.037390462,0.06952289,-4.768101684,OTU88,Acidobacteria
0.978663081,10.33488131,2.147907256,0.04065058,0.074421832,-4.830899269,OTU138,Acidobacteria
-1.601710221,7.852886112,-1.959395473,0.060238501,0.105417376,-4.950989563,OTU566,Acidobacteria
-0.592581539,9.82368223,-2.070521038,0.04787631,0.085352523,-4.961770534,OTU297,Acidobacteria
1.212630382,7.994730673,1.716995745,0.097184614,0.16062457,-5.385217799,OTU492,Acidobacteria
-1.062047828,8.155920608,-1.682147017,0.103823253,0.16809479,-5.467414132,OTU345,Acidobacteria
0.455065233,10.92074554,1.754205339,0.090495088,0.151142673,-5.536247436,OTU171,Acidobacteria
-0.76263763,7.305787731,-1.526812372,0.138188333,0.213465803,-5.577944979,OTU476,Acidobacteria
1.011343354,7.474366591,1.250082349,0.221766297,0.316999271,-5.969097872,OTU287,Acidobacteria
0.406494246,10.92805073,1.165049365,0.253970823,0.357663053,-6.354740757,OTU156,Acidobacteria
-0.64299857,6.444936956,-0.650540216,0.520722963,0.618115038,-6.438822638,OTU372,Acidobacteria
-0.34912528,8.091991791,-0.891171611,0.380541167,0.497630757,-6.452142649,OTU414,Acidobacteria
-0.486369736,7.403220705,-0.681456289,0.501261787,0.607126236,-6.498948109,OTU276,Acidobacteria
-0.419678092,7.571110091,-0.618506575,0.541313192,0.639367443,-6.568539921,OTU493,Acidobacteria
-0.266212977,9.98313692,-0.898085879,0.376908536,0.495603489,-6.606314492,OTU338,Acidobacteria
-0.151512569,7.154615396,-0.382189954,0.705247864,0.782512782,-6.619446909,OTU346,Acidobacteria
0.410318329,8.982019348,0.811379667,0.424090608,0.535456576,-6.623252862,OTU361,Acidobacteria
0.241828861,7.20156391,0.223678545,0.824654998,0.870367581,-6.675390682,OTU470,Acidobacteria
-0.268951614,7.29258921,-0.276801416,0.783995254,0.836730361,-6.676339831,OTU188,Acidobacteria
-0.374575115,10.45418179,-0.812874484,0.423247406,0.535456576,-6.693504926,OTU145,Acidobacteria
0.510139738,5.171837235,0.507824755,0.615611158,0.707804133,-6.696827456,OTU258,Acidobacteria
-0.169554761,16.27870573,-0.608144191,0.548064583,0.642558477,-6.969642442,OTU1,Acidobacteria
-0.013694853,9.20870172,-0.04247808,0.966423431,0.980847661,-6.973912659,OTU300,Acidobacteria
0.100470839,12.0551946,0.202467929,0.841036159,0.879853212,-7.021033367,OTU47,Acidobacteria
0.002977734,10.22251465,0.009899884,0.992172384,0.994261168,-7.023468382,OTU241,Acidobacteria
2.572668426,7.074411077,7.977315339,1.21E-08,8.62E-08,9.901021417,OTU416,Actinobacteria
-2.712028563,8.390530245,-6.499688949,5.17E-07,2.64E-06,6.206307389,OTU318,Actinobacteria
3.017928254,8.317705098,5.935548679,2.30E-06,1.13E-05,4.743626368,OTU228,Actinobacteria
-1.694031154,7.560394746,-5.430178021,8.97E-06,3.88E-05,3.433759547,OTU608,Actinobacteria
-1.533585889,12.86600558,-4.725998814,6.06E-05,0.000236322,1.33457758,OTU315,Actinobacteria
-2.444905147,8.074767201,-4.611384352,8.27E-05,0.000305,1.241119934,OTU214,Actinobacteria
