Samples	pH	N/P	C/N	AK	AP	AN	TK	TP	TN	SOM
A_1	8.48	30.43	66.27	40.22	1.54	98	10	16	97	77
A_2	8.39	31.3	47.99	40.95	1.63	31	44	86	45	33
A_3	8.51	30	64.3	37.43	1.57	81	60	39	89	50
A_4	8.54	55.84	90.46	81.63	1.87	37	42	44	34	96
B_1	8.38	29.76	34	34.93	1.6	20	63	12	31	44
B_2	8.44	31.89	35	38.73	1.67	89	37	20	69	75
B_3	8.42	31.5	36.82	38.57	1.67	6	92	13	79	82
B_4	8.45	57.98	38.06	81.31	1.88	92	41	57	35	64
C_1	8.22	30.89	31.44	39.53	1.63	63	62	80	16	88
C_2	8.27	29.47	30.69	35.53	1.57	51	66	49	9	30
C_3	8.34	30.06	29.2	36.15	1.59	98	17	100	19	33
C_4	8.3	59	26.65	88.74	1.87	37	90	63	72	1
