OTU_id	A_1	A_4	A_2	A_3	C_3	B_3	C_1	B_1	B_4	B_2	C_2	C_4
OTU1	421	424	411	505	242	375	99	356	350	355	181	170
OTU2	7	25	209	52	30	161	49	309	229	237	88	123
OTU3	116	200	149	147	7	24	2	25	2	12	12	2
OTU4	112	7	28	14	74	59	15	42	26	10	38	16
OTU5	22	60	13	26	80	9	30	28	31	14	47	32
OTU6	143	23	3	107	0	1	1	0	2	0	6	0
OTU7	11	66	22	11	44	0	23	0	1	0	69	9
OTU8	6	12	21	41	4	10	2	11	71	67	1	5
OTU9	0	0	0	0	62	2	77	2	1	5	55	42
OTU10	1	0	0	0	24	32	49	10	21	11	36	26
OTU11	32	5	7	0	26	62	7	16	25	7	16	2
OTU12	2	0	1	0	14	46	27	27	15	14	11	24
OTU13	0	1	0	0	23	29	0	29	19	24	25	4
OTU14	0	0	1	0	19	1	19	2	0	0	35	72
OTU15	0	0	1	0	10	17	23	0	2	2	8	68
OTU16	9	17	29	53	10	2	0	0	1	0	0	0
OTU17	0	0	7	0	44	0	49	0	1	0	5	13
OTU18	1	0	0	0	20	0	38	4	0	1	18	35
OTU19	2	0	0	1	1	55	1	30	7	14	0	0
OTU20	30	6	6	7	31	0	3	1	0	0	11	16
OTU21	0	0	0	1	2	54	0	6	25	0	3	2
OTU22	1	0	0	0	6	0	30	1	1	0	11	43
OTU23	0	0	0	0	36	0	4	1	0	0	26	17
OTU24	0	0	0	0	1	9	1	27	31	9	3	0
OTU25	0	0	0	0	19	0	15	0	0	11	26	10
OTU26	1	53	11	3	1	0	0	0	0	0	2	2
OTU27	9	0	3	0	8	0	1	0	13	6	12	6
OTU28	0	1	1	1	1	0	2	0	12	6	14	16
OTU29	0	0	0	0	3	0	8	1	0	8	20	4
OTU30	0	0	0	0	5	5	7	10	2	4	2	4
OTU31	0	0	0	0	17	0	6	0	0	0	8	6
OTU32	0	0	0	0	5	0	4	0	0	0	10	9
OTU33	1	7	6	0	3	0	1	0	0	0	7	3
OTU34	0	0	0	0	0	0	23	0	0	0	0	4
OTU35	0	0	0	0	8	0	4	0	0	0	13	0
OTU36	1	6	3	2	0	2	0	6	0	5	0	0
OTU37	0	0	0	0	3	0	13	0	0	0	4	3
OTU38	0	0	0	0	0	0	14	0	0	0	8	0
OTU39	0	0	0	0	5	0	3	0	0	2	12	0
OTU40	0	0	0	0	1	0	11	0	0	0	2	7
OTU41	0	0	0	0	6	1	1	1	1	7	3	0
OTU42	1	0	0	0	0	0	1	2	3	9	3	0
OTU43	0	0	0	0	2	0	1	0	0	1	6	9
OTU44	0	0	0	0	5	3	0	5	1	0	5	0
OTU45	0	0	0	0	0	9	0	3	1	5	0	1
OTU46	0	0	0	0	0	0	17	0	0	0	0	0
OTU47	0	0	0	0	1	1	0	0	0	14	0	0
OTU48	0	0	0	0	0	5	0	1	2	5	0	0
OTU49	1	0	3	8	0	0	0	0	0	0	0	0
OTU50	0	0	0	0	1	0	3	0	0	0	2	6
OTU51	0	0	0	0	1	0	4	0	0	4	0	2
OTU52	0	0	0	0	6	3	0	0	1	0	0	0
OTU53	0	0	0	0	0	0	9	0	0	0	0	0
OTU54	0	0	0	0	0	0	1	0	0	4	1	2
OTU55	1	0	2	0	0	1	0	2	0	0	0	0
OTU56	0	0	1	0	1	0	1	0	0	0	2	1
OTU57	0	0	0	0	0	0	0	0	6	0	0	0
OTU58	0	0	0	0	0	0	3	0	0	0	0	0
OTU59	0	0	0	0	0	0	2	0	0	0	0	0
OTU60	0	0	0	0	0	0	0	0	0	0	0	2
