ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
Species01	k__Fungi	p__Ascomycota	c__Dipodascomycetes	o__Dipodascales	f__Dipodascaceae	g__Geotrichum	Species01
Species02	k__Fungi	p__Ascomycota	c__Dipodascomycetes	o__Dipodascales	f__Trichomonascaceae	g__Starmerella	Species02
Species03	k__Fungi	p__Ascomycota	c__Dipodascomycetes	o__Dipodascales	f__Trichomonascaceae	g__Sugiyamaella	Species03
Species04	k__Fungi	p__Ascomycota	c__Dipodascomycetes	o__Dipodascales	f__Trichomonascaceae	g__Trichomonascus	Species04
Species05	k__Fungi	p__Ascomycota	c__Dipodascomycetes	o__Dipodascales	f__Trichomonascaceae	g__Wickerhamiella	Species05
Species06	k__Fungi	p__Ascomycota	c__Dipodascomycetes	o__Dipodascales	f__Trichomonascaceae	g__Wickerhamiella	Species06
Species07	k__Fungi	p__Ascomycota	c__Dipodascomycetes	o__Dipodascales	f__Trichomonascaceae	g__Wickerhamiella	Species07
Species08	k__Fungi	p__Ascomycota	c__Dipodascomycetes	o__Dipodascales	f__Trichomonascaceae	g__Wickerhamiella	Species08
Species09	k__Fungi	p__Ascomycota	c__Dipodascomycetes	o__Dipodascales	f__Trichomonascaceae	g__Zygoascus	Species09
Species10	k__Fungi	p__Ascomycota	c__Dipodascomycetes	o__Dipodascales	f__Trichomonascaceae	Unclassified	Species10
Species11	k__Fungi	p__Ascomycota	c__Dipodascomycetes	o__Dipodascales	f__Trichomonascaceae	Unclassified	Species11
Species12	k__Fungi	p__Ascomycota	c__Dipodascomycetes	o__Dipodascales	f__Trichomonascaceae	Unclassified	Species12
Species13	k__Fungi	p__Ascomycota	c__Dipodascomycetes	o__Dipodascales	Unclassified	g__Nadsonia	Species13
Species14	k__Fungi	p__Ascomycota	c__Dipodascomycetes	o__Dipodascales	Unclassified	g__Yarrowia	Species14
Species15	k__Fungi	p__Ascomycota	c__Dothideomycetes	f__Gloniaceae	Unclassified	g__Cenococcum	Species15
Species16	k__Fungi	p__Ascomycota	c__Dothideomycetes	f__Gloniaceae	Unclassified	g__Glonium	Species16
