
code	|	name	|	preferred name	|	taxid
1	|	Treponema denticola ASLM	|	 	|	999427
1	|	Treponema denticola AL-2	|	 	|	999426
1	|	Akkermansia muciniphila ATCC BAA-835	|	 	|	349741
1	|	Olsenella sp. oral taxon 809 str. F0356	|	 	|	661087
1	|	Collinsella sp. 4_8_47FAA	|	 	|	742722
1	|	Collinsella intestinalis DSM 13280	|	 	|	521003
1	|	Collinsella stercoris DSM 13279	|	 	|	445975
1	|	Collinsella aerofaciens ATCC 25986	|	 	|	411903
1	|	Mobiluncus mulieris 28-1	|	 	|	596328
1	|	Actinomyces viscosus C505	|	 	|	562973
1	|	Cutibacterium modestum HL037PA2	|	 	|	765123
1	|	Cutibacterium modestum HL044PA1	|	 	|	765109
1	|	Cutibacterium acnes HL037PA1	|	 	|	765122
1	|	Cutibacterium acnes HL082PA2	|	 	|	765121
1	|	Cutibacterium acnes HL056PA1	|	 	|	765119
1	|	Cutibacterium acnes HL007PA1	|	 	|	765118
1	|	Cutibacterium acnes HL002PA3	|	 	|	765117
1	|	Cutibacterium acnes HL002PA2	|	 	|	765116
1	|	Cutibacterium acnes HL002PA1	|	 	|	765115
1	|	Cutibacterium acnes HL063PA2	|	 	|	765114
1	|	Cutibacterium acnes HL063PA1	|	 	|	765113
1	|	Cutibacterium acnes HL027PA2	|	 	|	765112
1	|	Cutibacterium acnes HL027PA1	|	 	|	765111
1	|	Cutibacterium acnes HL067PA1	|	 	|	765110
1	|	Cutibacterium acnes HL036PA3	|	 	|	765108
1	|	Cutibacterium acnes HL036PA2	|	 	|	765107
1	|	Cutibacterium acnes HL036PA1	|	 	|	765106
1	|	Cutibacterium acnes HL001PA1	|	 	|	765105
1	|	Cutibacterium acnes HL030PA2	|	 	|	765104
1	|	Cutibacterium acnes HL030PA1	|	 	|	765103
1	|	Cutibacterium acnes HL050PA3	|	 	|	765102
1	|	Cutibacterium acnes HL050PA2	|	 	|	765101
1	|	Cutibacterium acnes HL050PA1	|	 	|	765100
1	|	Cutibacterium acnes HL005PA4	|	 	|	765099
1	|	Cutibacterium acnes HL005PA3	|	 	|	765098
1	|	Cutibacterium acnes HL005PA2	|	 	|	765097
1	|	Cutibacterium acnes HL005PA1	|	 	|	765096
1	|	Cutibacterium acnes HL046PA2	|	 	|	765095
1	|	Cutibacterium acnes HL086PA1	|	 	|	765093
1	|	Cutibacterium acnes HL059PA2	|	 	|	765092
1	|	Cutibacterium acnes HL059PA1	|	 	|	765091
1	|	Cutibacterium acnes HL025PA2	|	 	|	765090
1	|	Cutibacterium acnes HL025PA1	|	 	|	765089
1	|	Cutibacterium acnes HL038PA1	|	 	|	765085
1	|	Cutibacterium acnes HL060PA1	|	 	|	765084
1	|	Cutibacterium acnes HL110PA4	|	 	|	765080
1	|	Cutibacterium acnes HL110PA3	|	 	|	765079
1	|	Cutibacterium acnes HL110PA1	|	 	|	765077
1	|	Cutibacterium acnes HL072PA1	|	 	|	765074
1	|	Cutibacterium acnes HL043PA2	|	 	|	765073
