#sample,Soiltype,Bacteria_richness,Fungi_richness,pH,OM,AN,AP,AK,status,Withered,Normal,FAPROTAX,FunGuild
MCZ1BS,Bulk,1401,467,85.3059,85.3059,351.8314835,8.767034779,253.9996,1,0,1,110.4722222,0.838336914
MCZ1RS,Rhizosphere,1406,396,85.3059,85.3059,351.8314835,8.767034779,253.9996,1,0,1,77.19444444,0.939773091
MCZ2BS,Bulk,1384,482,121.6473,121.6473,613.2212331,24.36617082,217.7339,1,0,1,109.8055556,0.764766208
MCZ2RS,Rhizosphere,1855,512,121.6473,121.6473,613.2212331,24.36617082,217.7339,1,0,1,87.13888889,0.749444676
MCZ3BS,Bulk,1499,474,111.5471,111.5471,561.7925618,24.21325343,225.197,1,0,1,75.38888889,0.752799294
MCZ3RS,Rhizosphere,1661,510,111.5471,111.5471,561.7925618,24.21325343,225.197,1,0,1,82,0.860552642
MCZ4BS,Bulk,1753,470,96.3851,96.3851,443.0703766,38.02915127,325.6423,1,0,1,86.38888889,0.697478235
MCZ4RS,Rhizosphere,1624,481,96.3851,96.3851,443.0703766,38.02915127,325.6423,1,0,1,79.83333333,0.861977093
MCZ5BS,Bulk,1245,515,131.9173,131.9173,537.8538949,14.26229941,291.8547,1,0,1,80.77777778,0.593089859
MCZ5RS,Rhizosphere,1329,483,131.9173,131.9173,537.8538949,14.26229941,291.8547,1,0,1,86.44444444,0.782299031
MCZ6BS,Bulk,955,383,187.4505,187.4505,666.2377936,49.76696473,270.0628,1,0,1,51.33333333,0.732194834
MCZ6RS,Rhizosphere,994,497,187.4505,187.4505,666.2377936,49.76696473,270.0628,1,0,1,64.13888889,0.649776248
MCZ7BS,Bulk,1121,303,84.0704,84.0704,403.7349198,10.88342412,164.6953,1,0,1,79.36111111,0.865767585
MCZ7RS,Rhizosphere,1660,445,84.0704,84.0704,403.7349198,10.88342412,164.6953,1,0,1,96.22222222,0.865128044
MCK1BS,Bulk,1514,427,64.5372,64.5372,326.5177206,10.70140669,229.999,2,2,0,77.44444444,0.911859384
MCK1RS,Rhizosphere,1651,415,64.5372,64.5372,326.5177206,10.70140669,229.999,2,2,0,108.75,0.943346583
MCK2BS,Bulk,1591,492,94.4006,94.4006,487.2946185,24.17703316,225.7556,2,2,0,55.69444444,0.918970078
MCK2RS,Rhizosphere,1848,515,94.4006,94.4006,487.2946185,24.17703316,225.7556,2,2,0,92.63888889,0.759284049
MCK3BS,Bulk,1502,142,99.766,99.766,458.4289086,5.991178525,213.3653,2,2,0,77.22222222,0.871816054
MCK3RS,Rhizosphere,1682,489,99.766,99.766,458.4289086,5.991178525,213.3653,2,2,0,73.41666667,0.883740083
MCK4BS,Bulk,1696,573,123.8083,123.8083,552.7656477,30.69632735,415.8657,2,2,0,81.58333333,0.704041313
MCK4RS,Rhizosphere,1724,576,123.8083,123.8083,552.7656477,30.69632735,415.8657,2,2,0,71.13888889,0.798220207
MCK5BS,Bulk,1562,454,77.5365,77.5365,396.3095475,13.63408535,177.1355,2,2,0,65.02777778,0.77165828
MCK5RS,Rhizosphere,1773,458,77.5365,77.5365,396.3095475,13.63408535,177.1355,2,2,0,76.38888889,0.901553587
MCK6BS,Bulk,1912,501,123.5586,123.5586,551.6159915,87.19583126,254.2826,2,2,0,72.38888889,0.730926649
MCK6RS,Rhizosphere,1602,480,123.5586,123.5586,551.6159915,87.19583126,254.2826,2,2,0,98.58333333,0.894878235
MCK7BS,Bulk,1473,433,104.1327,104.1327,493.5718092,11.35923227,121.1487,2,2,0,66.58333333,0.809824609
MCK7RS,Rhizosphere,1493,450,104.1327,104.1327,493.5718092,11.35923227,121.1487,2,2,0,64.47222222,0.840463003
SQZ1BS,Bulk,1553,438,44.17,44.17,197.6150476,24.19996007,110.6808,1,0,1,67.61111111,0.81195904
SQZ1RS,Rhizosphere,1473,411,44.17,44.17,197.6150476,24.19996007,110.6808,1,0,1,93.33333333,0.787215667
SQZ2BS,Bulk,1657,350,47.825,47.825,173.9705202,6.618525833,83.8768,1,0,1,70.97222222,0.724719997
SQZ2RS,Rhizosphere,1588,368,47.825,47.825,173.9705202,6.618525833,83.8768,1,0,1,81.02777778,0.770400636
SQZ3BS,Bulk,1283,383,40.6985,40.6985,198.9162041,12.54859768,113.769,1,0,1,51.55555556,0.604212741
SQZ3RS,Rhizosphere,1312,403,40.6985,40.6985,198.9162041,12.54859768,113.769,1,0,1,66.69444444,0.762429931
SQZ4BS,Bulk,1483,421,40.1274,40.1274,200.2061924,112.316138,233.4233,1,0,1,55.08333333,0.781419893
SQZ4RS,Rhizosphere,2084,416,40.1274,40.1274,200.2061924,112.316138,233.4233,1,0,1,95.30555556,0.962552044
SQZ5BS,Bulk,1983,426,38.8699,38.8699,206.859913,10.72841516,165.233,1,0,1,50.11111111,0.916702113
SQZ5RS,Rhizosphere,1550,425,38.8699,38.8699,206.859913,10.72841516,165.233,1,0,1,100.9166667,0.853598893
SQZ6BS,Bulk,1553,363,29.4301,29.4301,115.9202985,3.244780741,250.6747,1,0,1,36.13888889,0.949048569
SQZ6RS,Rhizosphere,1642,393,29.4301,29.4301,115.9202985,3.244780741,250.6747,1,0,1,67.44444444,0.928379826
SQZ7BS,Bulk,1546,427,46.5642,46.5642,237.9906853,64.88903297,239.2395,1,0,1,51.86111111,0.860125708
SQZ7RS,Rhizosphere,1537,362,46.5642,46.5642,237.9906853,64.88903297,239.2395,1,0,1,87.75,0.93654373
SQK1BS,Bulk,1533,387,51.7321,51.7321,245.0776002,21.75706294,155.8862,2,2,0,69.88888889,0.651712584
SQK1RS,Rhizosphere,1540,402,51.7321,51.7321,245.0776002,21.75706294,155.8862,2,2,0,91.69444444,0.777827302
SQK2BS,Bulk,1612,384,37.1638,37.1638,144.9463223,12.2834345,228.851,2,2,0,55.66666667,0.791708292
SQK2RS,Rhizosphere,1561,381,37.1638,37.1638,144.9463223,12.2834345,228.851,2,2,0,78.80555556,0.800016028
SQK3BS,Bulk,1622,450,35.7945,35.7945,173.6380195,36.31394502,111.6642,2,2,0,57.75,0.738283866
SQK3RS,Rhizosphere,1717,422,35.7945,35.7945,173.6380195,36.31394502,111.6642,2,2,0,77.36111111,0.817863323
SQK4BS,Bulk,1828,479,58.1943,58.1943,277.1064448,16.06445632,163.5057,2,2,0,63.52777778,0.715403294
SQK4RS,Rhizosphere,1946,436,58.1943,58.1943,277.1064448,16.06445632,163.5057,2,2,0,103.2222222,0.844673192
SQK5BS,Bulk,1600,379,72.4147,72.4147,356.2075253,192.3193334,235.2906,2,2,0,30.5,0.906511711
SQK5RS,Rhizosphere,1540,441,72.4147,72.4147,356.2075253,192.3193334,235.2906,2,2,0,79.38888889,0.862099109
SQK6BS,Bulk,1733,439,50.7764,50.7764,237.1264253,9.620721135,138.586,2,2,0,58.11111111,0.872695751
SQK6RS,Rhizosphere,2050,401,50.7764,50.7764,237.1264253,9.620721135,138.586,2,2,0,97.22222222,0.918521336
SQK7BS,Bulk,1619,469,52.9519,52.9519,291.2598791,7.856148473,244.5909,2,2,0,47.52777778,0.821879833
SQK7RS,Rhizosphere,1660,417,52.9519,52.9519,291.2598791,7.856148473,244.5909,2,2,0,91,0.697100936
