PROGENY	IL17 KEGG signature
9.986	8.0855
9.9643	8.0803
10.0633	8.24
9.7669	8.6635
9.8818	7.707
9.858	8.9775
9.9057	7.922
10.3796	8.323
9.8498	7.4725
9.9932	8.593
9.8746	7.537
9.762	7.0595
10.0257	8.4575
9.939	7.7775
9.9848	8.0785
9.9251	7.922
9.7248	8.5525
9.7872	8.7845
9.6014	8.1625
9.8387	8.4235
9.9283	8.123
10.1925	8.2265
9.635	8.1955
9.5764	7.2265
9.9684	8.444
9.5834	7.26
9.6106	7.9445
9.7184	7.2845
10.1656	8.1575
9.9449	7.751
9.9114	7.794
9.9118	6.977
9.9157	7.2825
10.4772	7.9665
9.724	7.039
9.7593	8.682
10.002	9.0135
9.137	6.8975
9.9772	8.248
10.0912	6.697
9.8784	8.086
10.1561	8.9435
9.712	8.298
9.856	8.7275
9.9285	7.767
9.9432	7.3975
10.0163	7.858
9.9434	7.783
9.8905	7.992
9.9268	8.0805
9.9872	7.735
9.7776	8.158
9.9573	8.318
10.0301	8.543
9.9544	7.8775
9.9842	7.791
9.7435	8.1225
9.7241	7.6161
10.0296	7.4485
9.7776	8.4465
9.8198	7.69
9.8428	7.6315
9.9224	8.3475
9.8082	7.8335
9.679	7.6705
9.6559	8.2005
10.411	8.875
9.6643	7.5455
9.5505	7.9875
9.933	7.317
9.8878	9.116
9.9446	7.9665
10.188	8.3595
9.8601	8.407
10.3759	8.494
9.6698	7.816
9.8799	8.5975
9.9704	7.8375
9.5994	7.976
9.9815	8.1485
9.6619	7.30025
9.7094	8.351
10.2079	8.0575
10.1498	7.7495
10.2771	8.018
9.8969	7.9725
9.923	8.249
9.9308	7.9005
9.6955	7.5195
10.167	8.495
9.8347	8.9325
9.9589	8.06
9.862	8.097
9.987	7.902
9.9669	7.678
10.0376	8.3805
9.9011	7.8925
9.8624	8.1525
9.881	7.978
9.4701	8.2105
9.7674	8.36
9.7697	7.979
9.9701	8.3635
9.9718	8.1555
9.7623	7.907
9.6633	8.5645
10.0104	8.0095
9.8158	8.034
9.9005	8.5945
10.1204	8.6985
9.817	7.8415
9.7484	7.283
9.9482	8.2145
9.5892	8.2345
9.9638	8.3865
9.7795	7.898
9.9271	8.271
9.9291	8.1855
9.9878	8.549
10.0677	8.1595
10.1093	7.988
9.8104	8.1065
9.861	8.4325
9.813	8.776
9.559	7.006
9.9557	8.2685
9.9093	7.8305
10.177	8.0715
10.0289	7.882
9.7357	8.545
10.3907	9.067
10.1542	7.7815
10.1771	8.447
10.21	8.317
9.893	7.9525
9.7774	8.17
9.7983	7.5765
9.7755	8.776
10.0047	8.366
10.0094	8.8455
10.2108	8.547
9.7707	8.151
9.9465	7.521
9.8074	7.609
9.7662	7.502
9.8081	8.1495
9.5503	7.926
10.013	8.5082
9.7763	8.3986
10.1279	8.9615
9.7001	7.5755
9.7253	8.132
9.6508	8.5877
10.1068	8.779
9.7552	7.555
9.8854	8.0865
10.4116	8.057
9.774	8.6325
10.3211	8.137
10.0019	8.901
9.826	8.386
9.6215	8.3175
9.7556	7.7165
9.8172	8.8205
9.9472	8.486
9.6223	8.2705
9.8016	7.022
9.9377	8.2905
9.3712	7.2705
9.5636	7.4855
9.4105	7.8575
10.2263	8.6885
10.201	7.8035
10.0336	7.4395
9.8885	8.73695
9.8055	8.0555
10.0526	8.6695
9.6938	8.289
9.5024	8.171
10.2332	6.99
9.9103	7.967
10.096	8.0355
9.9801	8.0153
10.143	9.163
9.6898	8.505
9.9914	7.229
9.925	8.2445
9.8365	8.1375
9.8757	8.19
9.9485	8.193
9.7385	7.785
9.7302	8.563
9.9163	7.804
9.8047	7.8617
9.9917	8.68
10.1075	8.0695
10.0247	7.709
10.1204	7.7
9.9226	7.6905
9.9123	8.15
9.8457	7.4195
9.7001	8.3205
9.6598	7.56
9.6915	8.639
9.8584	8.376
9.0462	7.3395
9.7795	7.02
9.5359	7.4555
10.0006	6.9915
10.0775	7.803
9.8999	7.379
9.8071	7.887
9.6069	6.552
10.1078	7.8775
8.8606	7.277
9.5683	6.9981
9.6518	7.468
9.7944	8.6425
9.9797	8.31
10.117	8.294
9.6682	7.263
9.9398	7.5735
9.8641	7.1795
9.7321	8.001
9.8963	8.318
10.0909	9.028
10.0859	8.4135
9.4104	6.744
9.5325	7.8415
9.6799	7.2645
10.0122	9.075
9.8275	7.689
9.762	7.3675
9.9889	7.981
10.0324	8.528
9.9913	6.962
