type	cell_groups	values
Normal BMI D0	Cluster 1	46
Normal BMI D0	Cluster 2	10
Normal BMI D0	Cluster 3	4
Normal BMI D0	Cluster 4	27
Normal BMI D0	Cluster 5	13
Severe obesity D0	Cluster 1	55
Severe obesity D0	Cluster 2	11
Severe obesity D0	Cluster 3	3
Severe obesity D0	Cluster 4	17
Severe obesity D0	Cluster 5	14
Normal BMI D8	Cluster 1	22
Normal BMI D8	Cluster 2	16
Normal BMI D8	Cluster 3	41
Normal BMI D8	Cluster 4	9
Normal BMI D8	Cluster 5	12
Severe obesity D8	Cluster 1	23
Severe obesity D8	Cluster 2	27
Severe obesity D8	Cluster 3	35
Severe obesity D8	Cluster 4	8
Severe obesity D8	Cluster 5	7
Normal BMI D28	Cluster 1	41
Normal BMI D28	Cluster 2	39
Normal BMI D28	Cluster 3	2
Normal BMI D28	Cluster 4	12
Normal BMI D28	Cluster 5	6
Severe obesity D28	Cluster 1	50
Severe obesity D28	Cluster 2	34
Severe obesity D28	Cluster 3	4
Severe obesity D28	Cluster 4	8
Severe obesity D28	Cluster 5	4
