	c1	c2	c3	c4	c5	c6	t1	t2	t3	t4	t5	t6
Proteobacteria	0.454996554	0.47636113	0.450034459	0.428738801	0.431288766	0.518745693	0.642866988	0.736871123	0.555272226	0.504066161	0.475740868	0.542177808
Acidobacteria	0.115230875	0.113921433	0.159545141	0.152653343	0.174776017	0.151757409	0.084769125	0.05616816	0.155410062	0.147691247	0.170916609	0.15651275
Bacteroidetes	0.150861475	0.117987595	0.160372157	0.187870434	0.159958649	0.120124052	0.05547898	0.046175052	0.065816678	0.060234321	0.062026189	0.080909717
Actinobacteria	0.078704342	0.0773949	0.047070986	0.050930393	0.058649207	0.051481737	0.093246037	0.081323225	0.092005513	0.096898691	0.118194349	0.098552722
Gemmatimonadetes	0.089524466	0.087112336	0.068366644	0.052308753	0.067332874	0.055341144	0.04314266	0.023087526	0.03149552	0.029083391	0.054307374	0.033149552
Firmicutes	0.007305307	0.015506547	0.004410751	0.005513439	0.003514817	0.004272915	0.019572708	0.017987595	0.033838732	0.103514817	0.020055134	0.018401103
Chloroflexi	0.020055134	0.020261888	0.021157822	0.017849759	0.017505169	0.024259132	0.018607857	0.015368711	0.017849759	0.019434873	0.029290145	0.020744314
Verrucomicrobia	0.014610613	0.022674018	0.01950379	0.037215713	0.020606478	0.015782219	0.012887664	0.002481048	0.016264645	0.006616127	0.020468642	0.010544452
Nitrospirae	0.018952447	0.019641626	0.020330806	0.017229497	0.023501034	0.013852516	0.010130944	0.004272915	0.01026878	0.01061337	0.012749828	0.010199862
Latescibacteria	0.009303928	0.006616127	0.009441764	0.007649897	0.007925569	0.007236389	0.004066161	0.000964852	0.006822881	0.007029635	0.012611992	0.008752584
Others	0.040454859	0.0425224	0.03976568	0.042039971	0.03494142	0.037146794	0.015230876	0.015299793	0.014955204	0.014817367	0.02363887	0.020055136
