"","Variable","Count","Percent","Point Estimate","Lower","Upper","sex=Female","sex=Male","P value","P for interaction"
"sex","Overall","167","100","1.61","1.1","2.37","89.4","96","0.015",NA
"1","age",NA,NA,NA,NA,NA,NA,NA,NA,"0.927"
"2","   high","75","44.9","1.5","0.84","2.68","85.9","97.2","0.168",NA
"3","   low","92","55.1","1.58","0.94","2.67","90","93.6","0.086",NA
"4","meal.cal",NA,NA,NA,NA,NA,NA,NA,NA,"0.793"
"5","   high","138","82.6","1.63","1.06","2.5","88","95.5","0.026",NA
"6","   low","29","17.4","2.22","0.84","5.86","85","85.9","0.108",NA
"7","ph.karno",NA,NA,NA,NA,NA,NA,NA,NA,"0.647"
"8","   high","123","73.7","1.76","1.1","2.82","91.3","95.6","0.019",NA
"9","   low","44","26.3","1.51","0.77","2.98","89.5","95.6","0.229",NA
"10","pat.karno",NA,NA,NA,NA,NA,NA,NA,NA,"0.778"
"11","   high","137","82","1.58","1.02","2.44","88.7","94.2","0.04",NA
"12","   low","30","18","2.09","0.9","4.85","78.8","100","0.086",NA
