id	groupID	group	Samples
Patients01	Patients	Patients	Patients01
Patients02	Patients	Patients	Patients02
Patients03	Patients	Patients	Patients03
Patients04	Patients	Patients	Patients04
Patients05	Patients	Patients	Patients05
Patients06	Patients	Patients	Patients06
Patients07	Patients	Patients	Patients07
Patients08	Patients	Patients	Patients08
Patients09	Patients	Patients	Patients09
Patients10	Patients	Patients	Patients10
Patients11	Patients	Patients	Patients11
Patients12	Patients	Patients	Patients12
Patients13	Patients	Patients	Patients13
Patients14	Patients	Patients	Patients14
Patients15	Patients	Patients	Patients15
Patients16	Patients	Patients	Patients16
Patients17	Patients	Patients	Patients17
Patients18	Patients	Patients	Patients18
Patients19	Patients	Patients	Patients19
Patients20	Patients	Patients	Patients20
