	A	B	C	D	Taxonomy
Unassigned	1	1	1	1	Taxonomy1
Malassezia	1	1	1	1	Taxonomy2
Fusarium	1	1	1	1	Taxonomy3
Cryptococcus	1	1	1	1	Taxonomy4
Trichosporon	1	1	1	1	Taxonomy1
Cladosporium	1	1	1	1	Taxonomy2
Candida	1	1	1	1	Taxonomy3
Agaricus	1	1	1	1	Taxonomy4
Rhodotorula	1	1	1	1	Taxonomy1
Alternaria	1	1	1	1	Taxonomy2
Preussia	1	1	1	1	Taxonomy3
Mortierella	1	1	1	1	Taxonomy4
Trametes	1	1	1	1	Taxonomy1
Aspergillus	1	1	1	1	Taxonomy2
Gibberella	1	1	1	1	Taxonomy3
Zygosaccharomyces	1	1	1	1	Taxonomy4
Sporobolomyces	1	1	1	1	Taxonomy1
Xylodon	1	1	1	1	Taxonomy2
Lophiostoma	1	1	1	1	Taxonomy3
Curvularia	1	1	1	1	Taxonomy4
Chaetomium	1	1	1	1	Taxonomy1
Acremonium	1	1	1	1	Taxonomy2
Tilletia	1	1	1	1	Taxonomy3
Mycena	1	1	1	1	Taxonomy4
Colletotrichum	1	1	1	1	Taxonomy1
Penicillium	1	1	1	1	Taxonomy2
Wickerhamomyces	1	1	1	1	Taxonomy3
Talaromyces	1	1	1	1	Taxonomy4
Kazachstania	1	1	1	1	Taxonomy1
Cyberlindnera	1	1	1	1	Taxonomy2
Schizophyllum	1	1	1	1	Taxonomy3
Ganoderma	0	1	1	1	Taxonomy4
Purpureocillium	1	1	1	1	Taxonomy1
Cladorrhinum	1	1	1	1	Taxonomy2
Wallemia	1	1	1	1	Taxonomy3
Moesziomyces	1	1	1	1	Taxonomy4
Microstroma	1	1	1	1	Taxonomy1
Exidia	1	1	1	1	Taxonomy2
Lepista	1	0	1	1	Taxonomy3
Arthrographis	1	1	1	1	Taxonomy4
Tricholoma	1	1	1	1	Taxonomy1
Auricularia	1	1	1	1	Taxonomy2
Meyerozyma	1	1	1	1	Taxonomy3
Stachybotrys	1	1	1	1	Taxonomy4
Conocybe	1	1	1	1	Taxonomy1
Podospora	1	1	1	1	Taxonomy2
Chrysosporium	1	1	1	1	Taxonomy3
Aureobasidium	1	1	1	1	Taxonomy4
Bipolaris	1	1	1	1	Taxonomy1
Sistotrema	1	1	1	1	Taxonomy2
