node,type
Bacillus firmus,bacteria
Bacillus megaterium,bacteria
Bacillus thuringiensis,bacteria
Bacillus subtilis,bacteria
Bacillus subterraneus,bacteria
Bacillus asahii,bacteria
Bacillus pumilus,bacteria
Candidimonas bauzanensis,bacteria
Fictibacillus phosphorivorans,bacteria
Aspergillus niger,Fungus
Fusarium oxysporum,Fungus
Chaetomium globosum,Fungus
Gymnascella hyalinospora,Fungus
Penicillium chrysogenum,Fungus
Fusarium solani,Fungus
Trichocladium asperum,Fungus
Aspergillus ustus,Fungus
Aspergillus terreus,Fungus
Pseudallescheria boydii,Fungus
