"ID","pH","SOC","TN","NH4.N","NO3.N","AP","AK","CN","LA","Height","TG","RGR","LB","SB","RB","R.S","FRB","LRW1","LRW2","LRW3","LRN1","LRN2","LRN3","LRL1","LRL2","LRL3","LRD1","LRD2","LRD3","MaxO","TLRN","TLRL","BI","MID"
"sample1",4.45,7.96,0.7,6.86,9.45,36.21,74.21,11.37,35.6255,63,0.609,0.863,48.37,274.93,315.35,0.975409836,91.38,35.33,29.35,26.7,19,41,96,31.718,132.08,131.9,0.188,0.0655,0.058,4,156,295.6984738,1.539925,0.619325
"sample2",4.55,9.12,0.89,5.78,10.71,49.48,68.47,10.24,46.8322,67,0.625,0.976,70.11,213.11,379.64,1.340442059,93.12,36.12,29.52,27.48,30,47,56,34.472,144.78,84.19,0.126,0.07,0.069,5,133,263.4415037,1.796,1.78
"sample3",4.47,7.58,0.92,6.27,11.85,50.82,68.89,8.24,44.5837,48,0.886,1.34,61.15,253.3,351.14,1.116679917,89.68,29.97,31.21,28.5,26,41,110,26.367,108.43,181.35,0.179,0.066,0.066,6,177,316.1474155,2.6678,1.373
"sample4",4.63,8.66,0.65,5.49,10.22,55.69,58.66,13.28,39.7422,53,0.644,0.801,74.65,220.18,309.03,1.048163348,96.93,38.47,30.58,27.88,22,33,84,25.297,153.44,156.58,0.208,0.094,0.086,5,139,335.316584,1.372,0.811
"sample5",4.38,9.59,0.74,6.55,9.84,44.38,60.79,13.04,50.6843,55,0.591,0.665,58.21,308.52,395.43,1.07825921,89.37,32.59,29.84,26.94,28,51,103,28.578,132.43,77.33,0.135,0.068,0.071,7,182,238.3379177,1.881,0.7
"sample6",4.52,9.88,0.63,5.66,9.73,39.85,70.36,15.74,42.5151,55,0.751,1.145,70.44,254.67,355.86,1.094583372,92.26,33.6,30.3,28.36,25,42,131,26.81,219.52,211.09,0.241,0.07,0.068,4,198,457.4202958,1.727,0.602
"sample7",4.1,8.76,0.95,6.4,14.13,127.06,121.11,9.25,72.6242,184,1.282,3.422,63.15,408.23,336.1,0.713012856,119.54,54.47,35.63,29.44,33,46,245,28.309,141.64,260.3,0.2,0.062,0.057,6,324,430.2493698,2.9141,0.778
"sample8",4.44,11.36,0.88,6.96,15.35,139.65,133.84,12.85,68.7241,180,1.831,4.114,85.73,384.64,352.52,0.749452559,115.93,46.86,36.94,32.13,25,42,254,44.119,152.9,427.5,0.062,0.063,0.058,7,321,624.5191094,1.098,0.918
"sample9",4.38,8.07,0.74,7.51,17.07,106.21,172.82,10.93,73.3986,153,1.649,3.742,137.35,414.7,420.46,0.76163391,139.78,57.54,46.69,35.55,32,47,324,24.41,228.89,302.79,0.27,0.076,0.068,8,403,556.09,2.137,0.557
"sample10",4.36,8.89,0.89,7.59,19.91,109.48,106.01,9.94,61.8562,124,1.97,3.887,114.5,439.95,443.81,0.800450897,124.98,52.2,44,28.78,37,56,222,35.721,126.25,163.2,0.169,0.067,0.063,8,315,325.1708096,1.637,0.802
"sample11",4.37,9.06,0.84,7.53,18.23,90.82,196.39,10.82,65.4326,120,2.089,3.972,113.72,421.18,363.49,0.679547579,127.15,51.66,42.75,32.74,40,31,231,29.426,120.87,165.23,0.243,0.074,0.069,7,302,315.5263749,1.062,0.879
"sample12",4.56,10.79,0.95,6.68,19.55,122.85,158.55,11.31,70.8433,175,1.69,3.925,91.31,494,399.82,0.683091012,123.7,55.46,39.13,29.11,45,33,327,24.77,138.72,276.81,0.576,0.079,0.073,7,405,440.3000383,1.3558,0.6962
"sample13",5.28,13,1.34,10.12,27.45,140.26,192.62,9.68,79.8866,177,3.138,5.174,106.84,611.39,389.7,0.542583852,157.46,71.26,48.35,37.85,45,100,657,32.692,240.83,516.79,0.031,0.067,0.069,11,802,790.3119485,3.105,0.675
"sample14",5.41,12.91,1.52,8.65,25.57,177.11,134.97,8.48,86.4552,168,2.717,4.834,115.89,548.32,444.86,0.669758058,167.17,66.06,60.38,40.73,38,49,482,44.186,183.34,395.86,0.235,0.054,0.05,10,569,623.3857985,3.5545,0.5365
"sample15",5.56,13.25,1.08,10.34,22.66,145.53,117.64,12.24,78.6688,185,2.84,5.019,111.22,523.3,567.05,0.893667654,181.04,82.35,53,45.69,47,73,586,43.991,229.9,675.37,0.191,0.069,0.068,10,706,949.2606683,3.754,0.501
"sample16",5.6,12.78,1.38,7.84,27.13,187.38,188.3,9.25,86.083,148,2.843,4.798,109.69,533,403.64,0.628047737,166.9,70.72,58.48,37.7,36,65,518,36.365,217.35,484.93,0.389,0.079,0.076,10,619,738.6451136,2.541,0.529
"sample17",5.37,13.47,1.23,9.76,24.73,153.45,122.49,10.99,75.5253,166,3.361,5.247,124.19,446.99,493.01,0.863142967,166.73,78.25,47.35,41.13,36,75,449,40.535,133.9,272.19,0.147,0.038,0.039,11,560,446.6246357,5.9125,0.3568
"sample18",5.62,12.54,1.06,9.88,26.23,192.97,169.83,11.86,81.5534,175,3.185,5.193,94.61,455.52,531.43,0.966008034,170.16,63.33,68.43,38.4,40,67,470,46.84,146.49,369.3,0.151,0.07,0.065,11,577,562.63,2.9765,0.4665
