source,target,correlation,direct,cor
ASV_62,ASV_7,1,undirected,+
ASV_55,ASV_7,1,undirected,+
ASV_122,ASV_7,-1,undirected,-
ASV_224,ASV_7,-1,undirected,-
ASV_248,ASV_7,-1,undirected,-
ASV_340,ASV_7,-1,undirected,-
ASV_55,ASV_62,1,undirected,+
ASV_122,ASV_62,-1,undirected,-
ASV_224,ASV_62,-1,undirected,-
ASV_248,ASV_62,-1,undirected,-
ASV_340,ASV_62,-1,undirected,-
ASV_122,ASV_55,-1,undirected,-
ASV_224,ASV_55,-1,undirected,-
ASV_248,ASV_55,-1,undirected,-
ASV_340,ASV_55,-1,undirected,-
ASV_224,ASV_122,1,undirected,+
ASV_248,ASV_122,1,undirected,+
ASV_340,ASV_122,1,undirected,+
ASV_248,ASV_224,1,undirected,+
ASV_340,ASV_224,1,undirected,+
ASV_340,ASV_248,1,undirected,+
ASV_216,ASV_13,-1,undirected,-
ASV_109,ASV_13,-1,undirected,-
ASV_240,ASV_13,-1,undirected,-
ASV_382,ASV_13,-1,undirected,-
ASV_304,ASV_13,-1,undirected,-
ASV_95,ASV_25,1,undirected,+
ASV_138,ASV_25,1,undirected,+
ASV_153,ASV_25,1,undirected,+
ASV_245,ASV_25,1,undirected,+
ASV_385,ASV_25,1,undirected,+
ASV_49,ASV_21,1,undirected,+
ASV_105,ASV_21,-1,undirected,-
ASV_264,ASV_21,1,undirected,+
ASV_235,ASV_21,1,undirected,+
ASV_420,ASV_21,-1,undirected,-
ASV_105,ASV_49,-1,undirected,-
ASV_264,ASV_49,1,undirected,+
ASV_235,ASV_49,1,undirected,+
ASV_420,ASV_49,-1,undirected,-
ASV_66,ASV_96,-1,undirected,-
ASV_86,ASV_96,-1,undirected,-
ASV_357,ASV_96,1,undirected,+
ASV_343,ASV_96,-1,undirected,-
ASV_546,ASV_96,-1,undirected,-
ASV_87,ASV_43,-1,undirected,-
ASV_159,ASV_43,1,undirected,+
ASV_172,ASV_43,1,undirected,+
ASV_303,ASV_43,1,undirected,+
ASV_527,ASV_43,-1,undirected,-
ASV_264,ASV_105,-1,undirected,-
ASV_235,ASV_105,-1,undirected,-
ASV_420,ASV_105,1,undirected,+
ASV_159,ASV_87,-1,undirected,-
ASV_172,ASV_87,-1,undirected,-
ASV_303,ASV_87,-1,undirected,-
ASV_527,ASV_87,1,undirected,+
ASV_115,ASV_97,-1,undirected,-
ASV_198,ASV_97,-1,undirected,-
ASV_220,ASV_97,1,undirected,+
ASV_433,ASV_97,-1,undirected,-
ASV_293,ASV_97,1,undirected,+
ASV_86,ASV_66,1,undirected,+
ASV_357,ASV_66,-1,undirected,-
ASV_343,ASV_66,1,undirected,+
ASV_546,ASV_66,1,undirected,+
ASV_138,ASV_95,1,undirected,+
ASV_153,ASV_95,1,undirected,+
ASV_245,ASV_95,1,undirected,+
ASV_385,ASV_95,1,undirected,+
ASV_198,ASV_115,1,undirected,+
ASV_220,ASV_115,-1,undirected,-
ASV_433,ASV_115,1,undirected,+
ASV_293,ASV_115,-1,undirected,-
ASV_357,ASV_86,-1,undirected,-
ASV_343,ASV_86,1,undirected,+
ASV_546,ASV_86,1,undirected,+
ASV_153,ASV_138,1,undirected,+
ASV_245,ASV_138,1,undirected,+
ASV_385,ASV_138,1,undirected,+
ASV_220,ASV_198,-1,undirected,-
ASV_433,ASV_198,1,undirected,+
ASV_293,ASV_198,-1,undirected,-
ASV_245,ASV_153,1,undirected,+
ASV_385,ASV_153,1,undirected,+
ASV_433,ASV_220,-1,undirected,-
ASV_293,ASV_220,1,undirected,+
ASV_385,ASV_245,1,undirected,+
ASV_109,ASV_216,1,undirected,+
ASV_240,ASV_216,1,undirected,+
ASV_382,ASV_216,1,undirected,+
ASV_304,ASV_216,1,undirected,+
