"","Number.hub.removed","remain.mean","remain.sd","remain.se","weighted","Group"
"1",1,0.60573476702509,0,0,"weighted","KO"
"2",2,0.60573476702509,0,0,"weighted","KO"
"3",3,0.60573476702509,0,0,"weighted","KO"
"4",4,0.60573476702509,0,0,"weighted","KO"
"5",5,0.60573476702509,0,0,"weighted","KO"
"6",6,0.60573476702509,0,0,"weighted","KO"
"7",7,0.60573476702509,0,0,"weighted","KO"
"8",8,0.60573476702509,0,0,"weighted","KO"
"9",9,0.60573476702509,0,0,"weighted","KO"
"10",10,0.60573476702509,0,0,"weighted","KO"
"11",11,0.60573476702509,0,0,"weighted","KO"
"12",12,0.60573476702509,0,0,"weighted","KO"
"13",13,0.60573476702509,0,0,"weighted","KO"
"14",14,0.60573476702509,0,0,"weighted","KO"
"15",1,0.573476702508961,0,0,"unweighted","KO"
"16",2,0.573476702508961,0,0,"unweighted","KO"
"17",3,0.573476702508961,0,0,"unweighted","KO"
"18",4,0.573476702508961,0,0,"unweighted","KO"
"19",5,0.573476702508961,0,0,"unweighted","KO"
"20",6,0.573476702508961,0,0,"unweighted","KO"
"21",7,0.573476702508961,0,0,"unweighted","KO"
"22",8,0.573476702508961,0,0,"unweighted","KO"
"23",9,0.573476702508961,0,0,"unweighted","KO"
"24",10,0.573476702508961,0,0,"unweighted","KO"
"25",11,0.573476702508961,0,0,"unweighted","KO"
"26",12,0.573476702508961,0,0,"unweighted","KO"
"27",13,0.573476702508961,0,0,"unweighted","KO"
"28",14,0.573476702508961,0,0,"unweighted","KO"
"29",1,0.611721611721612,0,0,"weighted","OE"
"30",2,0.611721611721612,0,0,"weighted","OE"
"31",3,0.611721611721612,0,0,"weighted","OE"
"32",4,0.611721611721612,0,0,"weighted","OE"
"33",5,0.611721611721612,0,0,"weighted","OE"
"34",6,0.611721611721612,0,0,"weighted","OE"
"35",7,0.611721611721612,0,0,"weighted","OE"
"36",8,0.611721611721612,0,0,"weighted","OE"
"37",9,0.611721611721612,0,0,"weighted","OE"
"38",10,0.611721611721612,0,0,"weighted","OE"
"39",11,0.611721611721612,0,0,"weighted","OE"
"40",12,0.611721611721612,0,0,"weighted","OE"
"41",13,0.611721611721612,0,0,"weighted","OE"
"42",14,0.611721611721612,0,0,"weighted","OE"
"43",1,0.611721611721612,0,0,"unweighted","OE"
"44",2,0.611721611721612,0,0,"unweighted","OE"
"45",3,0.611721611721612,0,0,"unweighted","OE"
"46",4,0.611721611721612,0,0,"unweighted","OE"
"47",5,0.611721611721612,0,0,"unweighted","OE"
"48",6,0.611721611721612,0,0,"unweighted","OE"
"49",7,0.611721611721612,0,0,"unweighted","OE"
"50",8,0.611721611721612,0,0,"unweighted","OE"
"51",9,0.611721611721612,0,0,"unweighted","OE"
"52",10,0.611721611721612,0,0,"unweighted","OE"
"53",11,0.611721611721612,0,0,"unweighted","OE"
"54",12,0.611721611721612,0,0,"unweighted","OE"
"55",13,0.611721611721612,0,0,"unweighted","OE"
"56",14,0.611721611721612,0,0,"unweighted","OE"
"57",1,0.553956834532374,0,0,"weighted","WT"
"58",2,0.553956834532374,0,0,"weighted","WT"
"59",3,0.553956834532374,0,0,"weighted","WT"
"60",4,0.553956834532374,0,0,"weighted","WT"
"61",5,0.553956834532374,0,0,"weighted","WT"
"62",6,0.553956834532374,0,0,"weighted","WT"
"63",7,0.553956834532374,0,0,"weighted","WT"
"64",8,0.553956834532374,0,0,"weighted","WT"
"65",9,0.553956834532374,0,0,"weighted","WT"
"66",10,0.553956834532374,0,0,"weighted","WT"
"67",11,0.553956834532374,0,0,"weighted","WT"
"68",12,0.553956834532374,0,0,"weighted","WT"
"69",13,0.553956834532374,0,0,"weighted","WT"
"70",14,0.553956834532374,0,0,"weighted","WT"
"71",1,0.517985611510791,0,0,"unweighted","WT"
"72",2,0.517985611510791,0,0,"unweighted","WT"
"73",3,0.517985611510791,0,0,"unweighted","WT"
"74",4,0.517985611510791,0,0,"unweighted","WT"
"75",5,0.517985611510791,0,0,"unweighted","WT"
"76",6,0.517985611510791,0,0,"unweighted","WT"
"77",7,0.517985611510791,0,0,"unweighted","WT"
"78",8,0.517985611510791,0,0,"unweighted","WT"
"79",9,0.517985611510791,0,0,"unweighted","WT"
"80",10,0.517985611510791,0,0,"unweighted","WT"
"81",11,0.517985611510791,0,0,"unweighted","WT"
"82",12,0.517985611510791,0,0,"unweighted","WT"
"83",13,0.517985611510791,0,0,"unweighted","WT"
"84",14,0.517985611510791,0,0,"unweighted","WT"
