"source","target","correlation","direct","cor"
"Pseudomonas","Hydrogonium",-0.803921568627451,"undirected","-"
"Rhodanobacter","Hydrogonium",0.686274509803922,"undirected","+"
"Rudaea","Hydrogonium",0.708978328173375,"undirected","+"
"Sediminibacterium","Hydrogonium",0.746515329219855,"undirected","+"
"Spartobacteria_genera_incertae_sedis","Hydrogonium",0.760577915376677,"undirected","+"
"Crenobacter","Conlarium",-0.696594427244582,"undirected","-"
"Flavisolibacter","Conlarium",0.684210526315789,"undirected","+"
"Gemmatimonas","Conlarium",0.74406604747162,"undirected","+"
"Gp13","Conlarium",-0.700722394220846,"undirected","-"
"Gp4","Conlarium",0.752321981424149,"undirected","+"
"Rhodoplanes","Conlarium",0.706914344685243,"undirected","+"
"Candidatus_Solibacter","Arcopilus",0.73374613003096,"undirected","+"
"Haliangium","Arcopilus",-0.696594427244582,"undirected","-"
"Nitrosopumilus","Arcopilus",-0.700722394220846,"undirected","-"
"Pseudogulbenkiania","Arcopilus",0.762641898864809,"undirected","+"
"Nitrosopumilus","Humicola",-0.731682146542828,"undirected","-"
"Terrimonas","Sagenomella",0.686274509803922,"undirected","+"
"Pseudogulbenkiania","Penicillium",0.762641898864809,"undirected","+"
"Sphingomonas","Penicillium",0.684210526315789,"undirected","+"
"Pyrus","Pseudogulbenkiania",-0.696594427244582,"undirected","-"
"Microascus","Flavisolibacter",0.810113519091847,"undirected","+"
"Mortierella","Flavisolibacter",0.775025799793602,"undirected","+"
"Vorticella","Flavisolibacter",0.748194014447884,"undirected","+"
"Tylenchorhynchus","Nitrosopumilus",-0.700722394220846,"undirected","-"
"Microascus","Gp13",-0.706914344685243,"undirected","-"
"Sagenomella","Gp13",-0.746130030959752,"undirected","-"
"Penicillium","Pedobacter",-0.686866464608159,"undirected","-"
"Hydrogonium","Gp2",0.700722394220846,"undirected","+"
"Penicillium","Gp2",-0.73374613003096,"undirected","-"
"Paraphaeosphaeria","Bradyrhizobium",0.686274509803922,"undirected","+"
"Saitozyma","Bradyrhizobium",-0.675954592363261,"undirected","-"
"Trichoderma","Bradyrhizobium",-0.78328173374613,"undirected","-"
"Cupriavidus","Conocybe",0.688338493292054,"undirected","+"
"Pedobacter","Conocybe",0.766247500646341,"undirected","+"
"Ralstonia","Conocybe",-0.727554179566563,"undirected","-"
"Microascus","Cupriavidus",0.702786377708978,"undirected","+"
"Arcopilus","Acidocella",0.706914344685243,"undirected","+"
"Humicola","Acidocella",0.73374613003096,"undirected","+"
"Humicola","Bacillus",0.690402476780186,"undirected","+"
"Microascus","Bacillus",-0.708978328173375,"undirected","-"
"Conlarium","Burkholderia",-0.727554179566563,"undirected","-"
"Humicola","Burkholderia",0.750257997936017,"undirected","+"
"Humicola","Aquicella",-0.682498800296437,"undirected","-"
"Sagenomella","Arenimonas",0.748194014447884,"undirected","+"
"Hydrogonium","Chondromyces",0.680082559339525,"undirected","+"
"Streptophyta","Chrysosporium",-0.688338493292054,"undirected","-"
"Trichoderma","Devosia",-0.849329205366357,"undirected","-"
"Gp2","Gibberella",-0.675954592363261,"undirected","-"
"Trichoderma","Gp1",0.725490196078431,"undirected","+"
"Sagenomella","Herbaspirillum",-0.731682146542828,"undirected","-"
"Penicillium","Latescibacteria_genera_incertae_sedis",-0.700722394220846,"undirected","-"
"Vorticella","Povalibacter",0.713106295149639,"undirected","+"
"Tylenchorhynchus","Pseudoduganella",0.764705882352941,"undirected","+"
"Pedobacter","Microascus",0.717736867511896,"undirected","+"
"Pseudogulbenkiania","Microascus",-0.692466460268318,"undirected","-"
"Rhodanobacter","Microascus",0.905056759545924,"undirected","+"
"Rudaea","Microascus",0.760577915376677,"undirected","+"
"Sphingobium","Microascus",-0.680082559339525,"undirected","-"
"Sphingomonas","Microascus",-0.686274509803922,"undirected","-"
"Thiobacillus","Microascus",0.775025799793602,"undirected","+"
"Rudaea","Mortierella",0.73374613003096,"undirected","+"
"Sphingobium","Mortierella",-0.70485036119711,"undirected","-"
"Sagenomella","Rhodanobacter",0.684210526315789,"undirected","+"
"Hydrogonium","Gaiella",-0.690402476780186,"undirected","-"
"Microascus","Gaiella",-0.711042311661507,"undirected","-"
"Mortierella","Gaiella",-0.729618163054696,"undirected","-"
"Microascus","Dokdonella",0.690402476780186,"undirected","+"
"Mortierella","Dokdonella",0.675954592363261,"undirected","+"
"Microascus","Gp6",0.680082559339525,"undirected","+"
"Mortierella","Gp6",0.79360165118679,"undirected","+"
"Microascus","Geobacter",0.700722394220846,"undirected","+"
