"ID","filed","Kingdom","Phylum","Class","Order","Family","Genus","group","Label"
"Acidocella","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Acetobacteraceae","Acidocella","bac","Acidocella"
"Acrobeloides","fun","Metazoa","Nematoda","Chromadorea","Rhabditida","Cephalobidae","Acrobeloides","fun","Acrobeloides"
"Anteholosticha","fun","Alveolata","Ciliophora","Spirotrichea","Urostylida","Holostichidae","Anteholosticha","fun","Anteholosticha"
"Aquicella","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Legionellales","Coxiellaceae","Aquicella","bac","Aquicella"
"Arcopilus","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Arcopilus","fun","Arcopilus"
"Arenimonas","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Arenimonas","bac","Arenimonas"
"Armatimonadetes_gp5","bac","Bacteria","Armatimonadetes","Unassigned","Unassigned","Unassigned","Armatimonadetes_gp5","bac","Armatimonadetes_gp5"
"Arthrobacter","bac","Bacteria","Actinobacteria","Actinobacteria","Actinomycetales","Micrococcaceae","Arthrobacter","bac","Arthrobacter"
"Ascobolus","fun","Fungi","Ascomycota","Pezizomycetes","Pezizales","Ascobolaceae","Ascobolus","fun","Ascobolus"
"Aspergillus","fun","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Aspergillus","fun","Aspergillus"
"Azonexus","bac","Bacteria","Proteobacteria","Betaproteobacteria","Rhodocyclales","Rhodocyclaceae","Azonexus","bac","Azonexus"
"Bacillus","bac","Bacteria","Firmicutes","Bacilli","Bacillales","Bacillaceae_1","Bacillus","bac","Bacillus"
"Boothiomyces","fun","Fungi","Chytridiomycota","Rhizophydiomycetes","Rhizophydiales","Terramycetaceae","Boothiomyces","fun","Boothiomyces"
"Botryotrichum","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Botryotrichum","fun","Botryotrichum"
"Bourletiella","fun","Metazoa","Arthropoda","Collembola","Unassigned","Bourletiellidae","Bourletiella","fun","Bourletiella"
"Bradyrhizobium","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Bradyrhizobiaceae","Bradyrhizobium","bac","Bradyrhizobium"
"Bryum","fun","Viridiplantae","Bryophyta","Bryopsida","Bryales","Bryaceae","Bryum","fun","Bryum"
"Burkholderia","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Burkholderia","bac","Burkholderia"
"Candidatus_Solibacter","bac","Bacteria","Acidobacteria","Acidobacteria_Gp3","Unassigned","Unassigned","Candidatus_Solibacter","bac","Candidatus_Solibacter"
"Chaetomium","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Chaetomium","fun","Chaetomium"
"Chlamydomonas","fun","Viridiplantae","Chlorophyta","Unassigned","Unassigned","Unassigned","Chlamydomonas","fun","Chlamydomonas"
"Chondromyces","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Polyangiaceae","Chondromyces","bac","Chondromyces"
"Chryseolinea","bac","Bacteria","Bacteroidetes","Cytophagia","Cytophagales","Unassigned","Chryseolinea","bac","Chryseolinea"
"Chrysosporium","fun","Fungi","Ascomycota","Eurotiomycetes","Onygenales","Onygenales_fam_Incertae_sedis","Chrysosporium","fun","Chrysosporium"
"Coelastrella","fun","Viridiplantae","Chlorophyta","Chlorophyceae","Sphaeropleales","Scenedesmaceae","Coelastrella","fun","Coelastrella"
"Colletotrichum","fun","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","fun","Colletotrichum"
"Conlarium","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Sordariales_fam_Incertae_sedis","Conlarium","fun","Conlarium"
"Conocybe","fun","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Bolbitiaceae","Conocybe","fun","Conocybe"
"Corynascella","fun","Fungi","Ascomycota","Sordariomycetes","Sordariales","Chaetomiaceae","Corynascella","fun","Corynascella"
"Crenobacter","bac","Bacteria","Proteobacteria","Betaproteobacteria","Neisseriales","Neisseriaceae","Crenobacter","bac","Crenobacter"
"Criconemoides","fun","Metazoa","Nematoda","Chromadorea","Rhabditida","Criconematidae","Criconemoides","fun","Criconemoides"
"Cupriavidus","bac","Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Burkholderiaceae","Cupriavidus","bac","Cupriavidus"
"Cylindrocarpon","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Cylindrocarpon","fun","Cylindrocarpon"
"Cyrtohymena","fun","Alveolata","Ciliophora","Spirotrichea","Sporadotrichida","Oxytrichidae","Cyrtohymena","fun","Cyrtohymena"
"Cystobacter","bac","Bacteria","Proteobacteria","Deltaproteobacteria","Myxococcales","Cystobacteraceae","Cystobacter","bac","Cystobacter"
"Devosia","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhizobiales","Hyphomicrobiaceae","Devosia","bac","Devosia"
"Dokdonella","bac","Bacteria","Proteobacteria","Gammaproteobacteria","Xanthomonadales","Xanthomonadaceae","Dokdonella","bac","Dokdonella"
"Dongia","bac","Bacteria","Proteobacteria","Alphaproteobacteria","Rhodospirillales","Rhodospirillaceae","Dongia","bac","Dongia"
"Exophiala","fun","Fungi","Ascomycota","Eurotiomycetes","Chaetothyriales","Herpotrichiellaceae","Exophiala","fun","Exophiala"
"Flavisolibacter","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Flavisolibacter","bac","Flavisolibacter"
"Flavitalea","bac","Bacteria","Bacteroidetes","Sphingobacteriia","Sphingobacteriales","Chitinophagaceae","Flavitalea","bac","Flavitalea"
"Fusarium","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","fun","Fusarium"
"Fusicolla","fun","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusicolla","fun","Fusicolla"
"Gaiella","bac","Bacteria","Actinobacteria","Actinobacteria","Gaiellales","Gaiellaceae","Gaiella","bac","Gaiella"
