"","one","Means","SD"
"num.edges",71,71,0
"num.pos.edges",0,0,0
"num.neg.edges",0,0,0
"num.vertices",58,58,0
"connectance",0.0429522081064731,0.0429522081064731,0
"average.degree",2.44827586206897,2.44827586206897,0
"average.path.length",3.71394037066882,4.05663499510418,0.238299890943028
"diameter",8,9.22,1.05963591994056
"edge.connectivity",0,0,0
"clustering.coefficient",0,0.0409058286987289,0.0303813782680122
"no.clusters",3,6.6,1.70560573084488
"centralization.degree",0.220205686630369,0.0695039322444041,0.0143451052024898
"centralization.betweenness",0.414432152049364,0.172542503131251,0.0467473080775453
"centralization.closeness",1.37673282854604,NA,NA
