"source","target","correlation","direct","cor"
"Height","fun_ASV_246",-0.847265221878225,"undirected","-"
"RGR","fun_ASV_246",-0.727554179566563,"undirected","-"
"AK","fun_ASV_85",-0.700722394220846,"undirected","-"
"Height","fun_ASV_85",-0.77296181630547,"undirected","-"
"RB","fun_ASV_85",0.682146542827657,"undirected","+"
"SOC","fun_ASV_99",0.69453044375645,"undirected","+"
"Height","fun_ASV_99",-0.841073271413829,"undirected","-"
"AK","fun_ASV_100",0.750257997936017,"undirected","+"
"pH","fun_ASV_196",0.688338493292054,"undirected","+"
"Height","fun_ASV_196",-0.729618163054696,"undirected","-"
"RB","fun_ASV_196",0.684210526315789,"undirected","+"
"FRB","fun_ASV_196",0.702786377708978,"undirected","+"
"LRW2","fun_ASV_196",0.739938080495356,"undirected","+"
"LRL1","fun_ASV_196",0.702786377708978,"undirected","+"
"fun_ASV_155","bac_ASV_49",0.708978328173375,"undirected","+"
"fun_ASV_24","bac_ASV_49",0.750257997936017,"undirected","+"
"fun_ASV_255","bac_ASV_49",0.803921568627451,"undirected","+"
"fun_ASV_196","bac_ASV_49",-0.810113519091847,"undirected","-"
"fun_ASV_121","bac_ASV_49",-0.682146542827657,"undirected","-"
"pH","bac_ASV_49",-0.82249742002064,"undirected","-"
"SOC","bac_ASV_49",-0.764705882352941,"undirected","-"
"CN","bac_ASV_49",-0.706914344685243,"undirected","-"
"RB","bac_ASV_49",-0.750257997936017,"undirected","-"
"R.S","bac_ASV_49",-0.713106295149639,"undirected","-"
"FRB","bac_ASV_49",-0.818369453044376,"undirected","-"
"LRW2","bac_ASV_49",-0.77296181630547,"undirected","-"
"LRW3","bac_ASV_49",-0.713106295149639,"undirected","-"
"LRN3","bac_ASV_49",0.754385964912281,"undirected","+"
"LRD2","bac_ASV_49",-0.723426212590299,"undirected","-"
"LRD3","bac_ASV_49",-0.715170278637771,"undirected","-"
"TLRN","bac_ASV_49",0.74406604747162,"undirected","+"
"fun_ASV_38","bac_ASV_206",0.698658410732714,"undirected","+"
"fun_ASV_138","bac_ASV_206",0.725490196078431,"undirected","+"
"fun_ASV_203","bac_ASV_206",0.73374613003096,"undirected","+"
"fun_ASV_256","bac_ASV_206",0.752321981424149,"undirected","+"
"fun_ASV_311","bac_ASV_206",0.785345717234262,"undirected","+"
"fun_ASV_268","bac_ASV_206",0.810113519091847,"undirected","+"
"fun_ASV_5","bac_ASV_206",0.843137254901961,"undirected","+"
"fun_ASV_13","bac_ASV_206",0.684210526315789,"undirected","+"
"fun_ASV_76","bac_ASV_206",0.851393188854489,"undirected","+"
"fun_ASV_174","bac_ASV_206",0.725490196078431,"undirected","+"
"fun_ASV_267","bac_ASV_206",0.719298245614035,"undirected","+"
"fun_ASV_85","bac_ASV_206",0.711042311661507,"undirected","+"
"fun_ASV_68","bac_ASV_206",-0.74406604747162,"undirected","-"
"fun_ASV_246","bac_ASV_206",0.940144478844169,"undirected","+"
"fun_ASV_26","bac_ASV_206",0.69453044375645,"undirected","+"
"AK","bac_ASV_206",-0.708978328173375,"undirected","-"
"Height","bac_ASV_206",-0.756449948400413,"undirected","-"
"SOC","fun_ASV_267",0.729618163054696,"undirected","+"
"AK","fun_ASV_267",-0.684210526315789,"undirected","-"
"Height","fun_ASV_267",-0.801857585139319,"undirected","-"
"RB","fun_ASV_267",0.739938080495356,"undirected","+"
"LRL1","fun_ASV_267",0.760577915376677,"undirected","+"
"fun_ASV_203","bac_ASV_143",0.77296181630547,"undirected","+"
"fun_ASV_36","bac_ASV_143",0.723426212590299,"undirected","+"
"fun_ASV_256","bac_ASV_143",0.760577915376677,"undirected","+"
"fun_ASV_311","bac_ASV_143",0.752321981424149,"undirected","+"
"fun_ASV_99","bac_ASV_143",0.824561403508772,"undirected","+"
"fun_ASV_76","bac_ASV_143",0.706914344685243,"undirected","+"
"fun_ASV_267","bac_ASV_143",0.739938080495356,"undirected","+"
"fun_ASV_237","bac_ASV_143",0.739938080495356,"undirected","+"
"fun_ASV_68","bac_ASV_143",-0.748194014447884,"undirected","-"
"fun_ASV_56","bac_ASV_143",0.682146542827657,"undirected","+"
"fun_ASV_6","bac_ASV_143",0.682146542827657,"undirected","+"
"fun_ASV_246","bac_ASV_143",0.775025799793602,"undirected","+"
"fun_ASV_270","bac_ASV_143",0.69453044375645,"undirected","+"
"SOC","bac_ASV_143",0.715170278637771,"undirected","+"
