"source","target","correlation","direct","cor"
"pH","bac_ASV_49",-0.797729618163055,"undirected","-"
"SOC","bac_ASV_49",-0.708978328173375,"undirected","-"
"NH4.N","bac_ASV_49",-0.682146542827657,"undirected","-"
"CN","bac_ASV_49",-0.711042311661507,"undirected","-"
"RB","bac_ASV_49",-0.74406604747162,"undirected","-"
"R.S","bac_ASV_49",-0.717234262125903,"undirected","-"
"FRB","bac_ASV_49",-0.814241486068112,"undirected","-"
"LRW2","bac_ASV_49",-0.791537667698658,"undirected","-"
"LRW3","bac_ASV_49",-0.74406604747162,"undirected","-"
"LRN3","bac_ASV_49",0.777089783281734,"undirected","+"
"LRL1","bac_ASV_49",-0.636738906088751,"undirected","-"
"LRD2","bac_ASV_49",-0.739938080495356,"undirected","-"
"LRD3","bac_ASV_49",-0.729618163054696,"undirected","-"
"TLRN","bac_ASV_49",0.77296181630547,"undirected","+"
"MID","bac_ASV_49",-0.628482972136223,"undirected","-"
"pH","bac_ASV_20",0.698658410732714,"undirected","+"
"NH4.N","bac_ASV_20",0.671826625386997,"undirected","+"
"AP","bac_ASV_20",-0.653250773993808,"undirected","-"
"CN","bac_ASV_20",0.810113519091847,"undirected","+"
"RB","bac_ASV_20",0.752321981424149,"undirected","+"
"R.S","bac_ASV_20",0.787409700722394,"undirected","+"
"LRW3","bac_ASV_20",0.698658410732714,"undirected","+"
"LRN3","bac_ASV_20",-0.808049535603715,"undirected","-"
"LRL1","bac_ASV_20",0.638802889576883,"undirected","+"
"LRD2","bac_ASV_20",0.791537667698658,"undirected","+"
"LRD3","bac_ASV_20",0.808049535603715,"undirected","+"
"TLRN","bac_ASV_20",-0.787409700722394,"undirected","-"
"MID","bac_ASV_20",0.828689370485036,"undirected","+"
"pH","bac_ASV_86",0.766769865841073,"undirected","+"
"SOC","bac_ASV_86",0.702786377708978,"undirected","+"
"TN","bac_ASV_86",0.711042311661507,"undirected","+"
"NH4.N","bac_ASV_86",0.739938080495356,"undirected","+"
"Height","bac_ASV_86",-0.657378740970072,"undirected","-"
"RB","bac_ASV_86",0.752321981424149,"undirected","+"
"R.S","bac_ASV_86",0.748194014447884,"undirected","+"
"FRB","bac_ASV_86",0.760577915376677,"undirected","+"
