"","Site1","Site2","RCb"
"1","sample1","sample10",1
"2","sample1","sample11",1
"3","sample1","sample12",1
"4","sample1","sample13",1
"5","sample1","sample14",1
"6","sample1","sample15",1
"7","sample1","sample16",1
"8","sample1","sample17",1
"9","sample1","sample18",1
"10","sample1","sample2",1
"11","sample1","sample3",1
"12","sample1","sample4",1
"13","sample1","sample5",1
"14","sample1","sample6",1
"15","sample1","sample7",1
"16","sample1","sample8",1
"17","sample1","sample9",1
"18","sample10","sample11",1
"19","sample10","sample12",1
"20","sample10","sample13",1
"21","sample10","sample14",1
"22","sample10","sample15",1
"23","sample10","sample16",1
"24","sample10","sample17",1
"25","sample10","sample18",1
"26","sample10","sample2",1
"27","sample10","sample3",1
"28","sample10","sample4",1
"29","sample10","sample5",1
"30","sample10","sample6",1
"31","sample10","sample7",1
"32","sample10","sample8",1
"33","sample10","sample9",1
"34","sample11","sample12",1
"35","sample11","sample13",1
"36","sample11","sample14",1
"37","sample11","sample15",1
"38","sample11","sample16",1
"39","sample11","sample17",1
"40","sample11","sample18",1
"41","sample11","sample2",1
"42","sample11","sample3",1
"43","sample11","sample4",1
"44","sample11","sample5",1
"45","sample11","sample6",1
"46","sample11","sample7",1
"47","sample11","sample8",1
"48","sample11","sample9",1
"49","sample12","sample13",1
"50","sample12","sample14",1
"51","sample12","sample15",1
"52","sample12","sample16",1
"53","sample12","sample17",1
"54","sample12","sample18",1
"55","sample12","sample2",1
"56","sample12","sample3",1
"57","sample12","sample4",1
"58","sample12","sample5",1
"59","sample12","sample6",1
"60","sample12","sample7",1
"61","sample12","sample8",1
"62","sample12","sample9",1
"63","sample13","sample14",1
"64","sample13","sample15",1
"65","sample13","sample16",1
"66","sample13","sample17",1
"67","sample13","sample18",1
"68","sample13","sample2",1
"69","sample13","sample3",1
"70","sample13","sample4",1
"71","sample13","sample5",1
"72","sample13","sample6",1
"73","sample13","sample7",1
"74","sample13","sample8",1
"75","sample13","sample9",1
"76","sample14","sample15",1
"77","sample14","sample16",1
"78","sample14","sample17",1
"79","sample14","sample18",1
"80","sample14","sample2",1
"81","sample14","sample3",1
"82","sample14","sample4",1
"83","sample14","sample5",1
"84","sample14","sample6",1
"85","sample14","sample7",1
"86","sample14","sample8",1
"87","sample14","sample9",1
"88","sample15","sample16",1
"89","sample15","sample17",1
"90","sample15","sample18",1
"91","sample15","sample2",1
"92","sample15","sample3",1
"93","sample15","sample4",1
"94","sample15","sample5",1
"95","sample15","sample6",1
"96","sample15","sample7",1
"97","sample15","sample8",1
"98","sample15","sample9",1
"99","sample16","sample17",1
"100","sample16","sample18",1
"101","sample16","sample2",1
"102","sample16","sample3",1
"103","sample16","sample4",1
"104","sample16","sample5",1
"105","sample16","sample6",1
"106","sample16","sample7",1
"107","sample16","sample8",1
"108","sample16","sample9",1
"109","sample17","sample18",1
"110","sample17","sample2",1
"111","sample17","sample3",1
"112","sample17","sample4",1
"113","sample17","sample5",1
"114","sample17","sample6",1
"115","sample17","sample7",1
"116","sample17","sample8",1
"117","sample17","sample9",1
"118","sample18","sample2",1
"119","sample18","sample3",1
"120","sample18","sample4",1
"121","sample18","sample5",1
"122","sample18","sample6",1
"123","sample18","sample7",1
"124","sample18","sample8",1
"125","sample18","sample9",1
"126","sample2","sample3",1
"127","sample2","sample4",1
"128","sample2","sample5",1
"129","sample2","sample6",1
"130","sample2","sample7",1
"131","sample2","sample8",1
"132","sample2","sample9",1
"133","sample3","sample4",1
"134","sample3","sample5",1
"135","sample3","sample6",1
"136","sample3","sample7",1
"137","sample3","sample8",1
"138","sample3","sample9",1
"139","sample4","sample5",1
"140","sample4","sample6",1
"141","sample4","sample7",1
"142","sample4","sample8",1
"143","sample4","sample9",1
"144","sample5","sample6",1
"145","sample5","sample7",1
"146","sample5","sample8",1
"147","sample5","sample9",1
"148","sample6","sample7",1
"149","sample6","sample8",1
"150","sample6","sample9",1
"151","sample7","sample8",1
"152","sample7","sample9",1
"153","sample8","sample9",1
