"","Ignavibacteriae","Thaumarchaeota","Planctomycetes","Candidatus_Saccharibacteria","Firmicutes","Chlamydiae","Nitrospirae","Acidobacteria","Verrucomicrobia","Armatimonadetes"
"KO1",0.000121936349225704,3.0484087306426e-05,0.000670649920741373,0.000396293134983539,0.0163394707962444,0.000365809047677113,0.000884038531886355,0.00368857456407755,0.00201194976222412,0.000121936349225704
"KO2",0.000195771339075959,8.39020024611254e-05,0.00246112540552635,0.000559346683074169,0.0200246112540553,0.000195771339075959,0.000811052690457546,0.00349591676921356,0.00206958272737443,0.000139836670768542
"KO3",2.59605399792316e-05,0,0.00173935617860851,0.000311526479750779,0.0150830737279335,0.000519210799584631,0.000311526479750779,0.00244029075804777,0.0014797507788162,0.000129802699896158
"KO4",0.000106069846994246,0,0.000397761926228421,0.000106069846994246,0.0323247858714964,0.000212139693988491,0.000503831773222667,0.00190925724589642,0.00100766354644533,0.000106069846994246
"KO5",0,0,0.000724862793828311,0.00108729419074247,0.00732629180905043,0.000103551827689759,0.000414207310759035,0.00178626902764834,0.000983742363052708,0.000103551827689759
"KO6",0.000382848392036753,0,0.000902428352658062,0.000191424196018377,0.0157241303872238,0.000382848392036753,0.000683657842922774,0.00366440603806607,0.00194158827390068,0.000136731568584555
"OE1",6.25195373554236e-05,9.37793060331354e-05,0.00547045951859956,0.000281337918099406,0.0514223194748359,0.000687714910909659,0.00131291028446389,0.0100343857455455,0.00568927789934354,0.000437636761487965
"OE2",9.1552734375e-05,9.1552734375e-05,0.009002685546875,0.001007080078125,0.02716064453125,0.000640869140625,0.000640869140625,0.005279541015625,0.003265380859375,0.000518798828125
"OE3",5.85308750365818e-05,2.92654375182909e-05,0.0045068773778168,0.000263388937664618,0.0247878255779924,0.000673105062920691,0.00099502487562189,0.00673105062920691,0.00424348844015218,0.000438981562774363
"OE4",0.000954580446497306,0,0.00237105465742879,0.000369515011547344,0.0327944572748268,0.000892994611239415,0.000831408775981524,0.00347959969207082,0.00323325635103926,0.000369515011547344
"OE5",6.0829100641747e-05,3.04145503208735e-05,0.00334560053529609,0.000456218254813103,0.0183095592931659,0.000243316402566988,0.00118616746251407,0.00708659022476353,0.00462301164877277,0.000212901852246115
"OE6",0.000126546236831282,0.000189819355246923,0.00645385807839539,0.000221455914454744,0.0493846689234079,0.000442911828909488,0.00104400645385808,0.0106931570122433,0.00727640861779873,0.000316365592078206
"WT1",2.70160745643658e-05,8.10482236930974e-05,0.00275563960556531,0.000297176820208024,0.00913143320275564,0.000270160745643658,0.000729434013237877,0.0051330541672295,0.00340402539511009,0.000378225043901121
"WT2",2.64068235231984e-05,0,0.00187488447014709,2.64068235231984e-05,0.00456838046951332,0.000422509176371174,0.000607356941033563,0.00311600517573741,0.00345929388153899,0.000290475058755182
"WT3",0.000194034815389733,5.54385186827808e-05,0.00376981927042909,0.000582104446169198,0.0111985807739217,0.00135824370772813,0.000803858520900322,0.0103115644749972,0.00546069409025391,0.000388069630779466
"WT4",8.25468453347275e-05,8.25468453347275e-05,0.00220124920892607,0.000137578075557879,0.0104834493575104,0.000440249841785213,0.00288913958671546,0.0051179044107531,0.00327435819827752,0.000357702996450486
"WT5",5.41653125338533e-05,5.41653125338533e-05,0.00148954609468097,0.000108330625067707,0.00622901094139313,8.124796880078e-05,0.000839562344274726,0.00211244718882028,0.00227494312642184,0.000379157187736973
"WT6",0.000218453892575298,8.19202097157369e-05,0.00193877829660577,0.000491521258294421,0.0118784304087818,0.00101034925316075,0.00109226946287649,0.00390486332978346,0.00281259386690697,0.000327680838862947
