"","%IncMSE","%IncMSE.pval","rownames(frimp.scaled1)","lab"
"ME32",1.796,0.038,"ME32","*"
"ME10",1.771,0.012,"ME10","*"
"ME20",1.736,0.051,"ME20",""
"ME33",1.733,0.035,"ME33","*"
"ME24",1.711,0.059,"ME24",""
"ME13",1.678,0.07,"ME13",""
"ME48",1.651,0.061,"ME48",""
"ME51",1.631,0.046,"ME51","*"
"ME31",1.555,0.122,"ME31",""
"ME2",1.481,0.102,"ME2",""
"ME30",1.471,0.098,"ME30",""
"ME47",1.417,0.107,"ME47",""
"ME38",1.417,0.118,"ME38",""
"ME42",1.416,0.083,"ME42",""
"ME46",1.407,0.129,"ME46",""
"ME22",1.362,0.144,"ME22",""
"ME41",1.307,0.174,"ME41",""
"ME44",1.267,0.2,"ME44",""
"ME21",1.259,0.2,"ME21",""
"ME3",1.254,0.161,"ME3",""
"ME28",1.186,0.22,"ME28",""
"ME34",1.026,0.163,"ME34",""
"ME18",1.001,0.247,"ME18",""
"ME29",1.001,0.241,"ME29",""
"ME52",1.001,0.236,"ME52",""
"ME8",1.001,0.299,"ME8",""
"ME25",1.001,0.284,"ME25",""
"ME19",0.954,0.253,"ME19",""
"ME49",0.917,0.319,"ME49",""
"ME14",0.87,0.356,"ME14",""
"ME43",0.855,0.318,"ME43",""
"ME6",0.546,0.267,"ME6",""
"ME50",0.545,0.278,"ME50",""
"ME4",0.501,0.326,"ME4",""
"ME15",0.444,0.333,"ME15",""
"ME36",0.215,0.326,"ME36",""
"ME11",0.133,0.319,"ME11",""
"ME12",0,0.471,"ME12",""
"ME16",0,0.614,"ME16",""
"ME17",0,0.524,"ME17",""
"ME39",0,0.483,"ME39",""
"ME37",-0.3,0.612,"ME37",""
"ME26",-1.001,0.708,"ME26",""
"ME27",-1.001,0.738,"ME27",""
"ME35",-1.001,0.663,"ME35",""
"ME1",0,1,"ME1",""
"ME5",0,1,"ME5",""
"ME7",0,1,"ME7",""
"ME9",0,1,"ME9",""
"ME23",0,1,"ME23",""
"ME40",0,1,"ME40",""
"ME45",0,1,"ME45",""
