OTU	Kingdom	Phylum	Class	Order	Family	Genus
ASV_1	Bacteria	Actinobacteria	Actinobacteria	Cryptosporangiales	Cryptosporangiaceae	Fodinicola
ASV_2	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
ASV_3	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes
ASV_51	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Frankia
ASV_20	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned
ASV_50	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Actinopolymorphaceae	Actinopolymorpha
ASV_6	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
ASV_340	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Unassigned
ASV_12	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Roseiarcaceae	Roseiarcus
ASV_7	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
ASV_40	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Unassigned
ASV_5	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Ensifer
ASV_8	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinoallomurus
ASV_13	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
ASV_9	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unassigned	Unassigned	Unassigned
ASV_14	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinoallomurus
ASV_11	Bacteria	Acidobacteria	Acidobacteria_Gp2	Unassigned	Unassigned	Gp2
ASV_10	Bacteria	Actinobacteria	Actinobacteria	Streptomycetales	Streptomycetaceae	Streptomyces
ASV_97	Bacteria	Actinobacteria	Actinobacteria	Cryptosporangiales	Cryptosporangiaceae	Fodinicola
ASV_44	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinoallomurus
ASV_16	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Caballeronia
ASV_22	Bacteria	Actinobacteria	Actinobacteria	Catenulisporales	Actinospicaceae	Actinospica
ASV_15	Bacteria	Actinobacteria	Actinobacteria	Catenulisporales	Actinospicaceae	Actinocrinis
ASV_59	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Actinopolymorphaceae	Actinopolymorpha
ASV_455	Bacteria	Actinobacteria	Actinobacteria	Frankiales	Frankiaceae	Jatrophihabitans
ASV_19	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
ASV_334	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Actinoplanes
ASV_23	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Pseudorhodoplanes
ASV_225	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Actinopolymorphaceae	Flindersiella
ASV_27	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
ASV_1219	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Actinopolymorphaceae	Thermasporomyces
ASV_30	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Conexibacteraceae	Conexibacter
ASV_25	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unassigned	Unassigned	Acidipila
ASV_26	Bacteria	Actinobacteria	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium
ASV_36	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Unassigned
ASV_29	Bacteria	Actinobacteria	Actinobacteria	Mycobacteriales	Mycobacteriaceae	Mycobacterium
ASV_73	Bacteria	Actinobacteria	Actinobacteria	Propionibacteriales	Actinopolymorphaceae	Flindersiella
ASV_166	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Phyllobacteriaceae	Chelativorans
ASV_48	Bacteria	Actinobacteria	Actinobacteria	Pseudonocardiales	Pseudonocardiaceae	Actinophytocola
ASV_31	Bacteria	Actinobacteria	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
ASV_6120	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Streptosporangiales_incertae_sedis	Sinosporangium
ASV_37	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia
ASV_35	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
ASV_39	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Caballeronia
ASV_42	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Bradyrhizobium
ASV_32	Bacteria	Acidobacteria	Acidobacteria_Gp2	Unassigned	Unassigned	Gp2
ASV_34	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unassigned	Unassigned	Gp1
ASV_49	Bacteria	Proteobacteria	Gammaproteobacteria	Gammaproteobacteria_incertae_sedis	Unassigned	Acidibacter
ASV_46	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Unassigned	Unassigned
ASV_52	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia
ASV_102	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Unassigned
ASV_54	Bacteria	Acidobacteria	Acidobacteria_Gp1	Unassigned	Unassigned	Gp1
ASV_47	Bacteria	Actinobacteria	Actinobacteria	Catenulisporales	Actinospicaceae	Actinospica
ASV_341	Bacteria	Actinobacteria	Actinobacteria	Streptosporangiales	Thermomonosporaceae	Actinoallomurus
ASV_88	Bacteria	Actinobacteria	Actinobacteria	Unassigned	Unassigned	Unassigned
ASV_45	Bacteria	Actinobacteria	Actinobacteria	Catenulisporales	Actinospicaceae	Actinocrinis
ASV_56	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia
ASV_58	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Burkholderiaceae	Paraburkholderia
ASV_53	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Bradyrhizobiaceae	Pseudolabrys
ASV_76	Bacteria	Actinobacteria	Actinobacteria	Micromonosporales	Micromonosporaceae	Unassigned
ASV_64	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Beijerinckiaceae	Methylocapsa
