SampleID	Group
IF_187	C
KeioHC_102	Y
IF_171	C
KWS_10466	E
KWS_10480	E
KWS_10467	E
KWS_10895	E
KWS_10909	E
KWS_10460	E
KWS_10552	E
KWS_10477	E
KWS_10559	E
IF_114	C
IF_162	C
IF_116	C
IF_093	C
IF_136	C
IF_128	C
IF_110	C
IF_100	C
IF_047	C
IF_012	C
IF_029	C
KWS_10992re	E
KWS_11001	E
IF_041	C
IF_159	C
KWS_11003	E
IF_176	C
IF_183	C
KeioHC_119	Y
KeioHC_120	Y
KWS_10560	E
KWS_10893	E
KWS_10481	E
KWS_10661	E
KWS_10550	E
KWS_10563	E
KWS_10633	E
KWS_10543	E
KWS_10917	E
IF_047-2	C
IF_165	C
IF_161	C
IF_137	C
IF_009	C
IF_019	C
IF_014-2	C
IF_008	C
IF_030	C
IF_095	C
KWS_11005	E
IF_179	C
KeioHC_9	Y
KeioHC_14	Y
IF_170	C
KWS_10548	E
KWS_10486	E
KWS_10639	E
KWS_10919	E
KWS_10631	E
KWS_10920	E
KWS_10539	E
KWS_10632	E
KWS_10983	E
KWS_10461	E
KWS_10476	E
KWS_10567	E
KWS_10636	E
KWS_10912	E
KWS_10558	E
KWS_10538	E
KWS_10648	E
KWS_10656	E
KWS_10551	E
KWS_10649	E
KWS_10904	E
IF_082	C
IF_092	C
IF_107	C
IF_117	C
IF_131	C
IF_074	C
IF_084	C
IF_042-2	C
IF_132	C
IF_092-2	C
IF_046-2	C
IF_111	C
IF_112	C
IF_121wa	C
IF_088	C
IF_166	C
IF_001	C
IF_027	C
IF_057re	C
KWS_10999	E
IF_058	C
IF_050	C
IF_042	C
IF_158	C
IF_007	C
IF_177	C
IF_185	C
KeioHC_114	Y
IF_167	C
IF_173	C
KWS_10562	E
KWS_10647	E
KWS_10985	E
KWS_10547	E
IF_126	C
IF_127	C
IF_088-2	C
IF_122	C
IF_011	C
IF_048	C
IF_004	C
IF_024-2	C
IF_055-2	C
IF_135	C
IF_180	C
IF_188	C
KWS_10994	E
KeioHC_2	Y
IF_169	C
KWS_10987	E
IF_076	C
KWS_10989	E
IF_150	C
IF_140	C
IF_085	C
IF_003	C
KWS_10653	E
KWS_10897	E
KWS_10903	E
IF_030-2	C
IF_139	C
IF_130	C
IF_087-2	C
KWS_11006	E
IF_005	C
IF_016	C
IF_149	C
IF_164re	C
IF_067	C
IF_087	C
IF_060	C
IF_023	C
IF_175re	C
KeioHC_5	Y
KeioHC_6	Y
KeioHC_101	Y
KeioHC_104	Y
KeioHC_10	Y
KeioHC_12	Y
KeioHC_13	Y
KeioHC_106	Y
KeioHC_107	Y
KeioHC_108	Y
KeioHC_110	Y
KeioHC_111	Y
KeioHC_112	Y
KeioHC_15	Y
KeioHC_117	Y
KeioHC_118	Y
KeioHC_I2	Y
KeioHC_121	Y
KeioHC_122	Y
KeioHC_124	Y
KeioHC_126	Y
KeioHC_4	Y
KWS_10454	E
KWS_10549	E
KWS_10561	E
KWS_10641	E
KWS_10894	E
KWS_10652	E
KWS_10644	E
IF_145	C
KWS_10473	E
KWS_10555	E
KWS_10565	E
IF_148	C
KWS_10911	E
KWS_10984	E
KWS_10463	E
KWS_10655	E
KWS_10900	E
KWS_10637	E
KWS_10465	E
KWS_10638	E
IF_045	C
IF_090	C
IF_125	C
IF_071	C
IF_091	C
IF_086-2	C
IF_072	C
IF_099	C
IF_108	C
IF_123	C
IF_138	C
IF_015-2	C
IF_103	C
IF_068-2	C
IF_086	C
IF_071-2	C
IF_163	C
IF_079	C
IF_100-2	C
IF_080	C
IF_003-2	C
IF_073-2wa	C
IF_065-2	C
KWS_10988	E
KWS_10997	E
KWS_10998	E
IF_039	C
KWS_11008	E
IF_013	C
IF_022	C
IF_068	C
KWS_10993	E
IF_070	C
IF_062	C
KWS_10996	E
IF_155	C
IF_017	C
IF_026	C
IF_033	C
IF_053	C
IF_182	C
IF_184	C
KeioHC_113	Y
KWS_10905	E
KWS_10651	E
KWS_10906	E
KWS_10896	E
KWS_10910	E
KWS_10635	E
KWS_10556	E
KWS_10478	E
IF_081	C
IF_020-2	C
IF_028-2	C
IF_118	C
IF_62-2	C
IF_061-2	C
IF_104	C
IF_050-2	C
IF_115	C
IF_064	C
IF_028	C
IF_065	C
IF_073wa	C
IF_059	C
IF_156	C
IF_051	C
IF_061	C
IF_046	C
IF_160	C
IF_015	C
IF_020	C
IF_031	C
IF_055	C
IF_063	C
IF_069	C
IF_089	C
IF_133	C
IF_134	C
IF_153	C
IF_178	C
KeioHC_7	Y
KeioHC_103	Y
KeioHC_11	Y
KeioHC_105	Y
KeioHC_109	Y
KeioHC_17	Y
KeioHC_18	Y
KeioHC_116	Y
KeioHC_K2	Y
KeioHC_U	Y
KeioHC_123	Y
KWS_10452	E
KWS_10650	E
KWS_10459	E
KWS_10468	E
KWS_10642	E
KWS_10643	E
KWS_10784	E
KWS_10469	E
KWS_10540	E
KWS_10546	E
IF_083	C
IF_032-2	C
IF_087-3	C
IF_124	C
IF_097	C
IF_098	C
KWS_10991	E
KWS_11000	E
KWS_11009	E
IF_032	C
KWS_11004	E
IF_025	C
KWS_10545	E
KWS_10464	E
KWS_10986	E
KWS_10657	E
IF_151	C
IF_096	C
IF_109	C
KWS_11007	E
IF_049	C
IF_157	C
KWS_10995	E
IF_106	C
IF_143	C
KeioHC_W	Y
IF_036	C
KWS_11002	E
IF_154rewa	C
KeioHC_115	Y
IF_038	C
KeioHC_3	Y
KWS_10659	E
IF_129	C
KWS_10646	E
IF_077	C
