ID,Color,HostFamily
KeioHC_109__348,#999999,Actinobacteriota
S_6G3__8,#999999,Actinobacteriota
IF_108__184,#999999,Actinobacteriota
IF_182__184,#999999,Actinobacteriota
IF_092-2__254,#999999,Actinobacteriota
KWS_10459__136,#999999,Actinobacteriota
IF_012__107,#999999,Actinobacteriota
IF_151__141,#999999,Actinobacteriota
KWS_10548__135,#999999,Actinobacteriota
IF_154rewa__310,#999999,Actinobacteriota
IF_042__512,#999999,Actinobacteriota
IF_026__100,#999999,Actinobacteriota
KWS_11005__377,#999999,Actinobacteriota
KWS_10997__717,#999999,Actinobacteriota
KWS_10465__368,#999999,Actinobacteriota
S_6G14__22,#999999,Actinobacteriota
KWS_10563__81,#999999,Actinobacteriota
S_7G3__748,#999999,Actinobacteriota
S_7G3__5642,#999999,Actinobacteriota
IF_124__1264,#999999,Actinobacteriota
S_6G6__1104,#999999,Actinobacteriota
S_7G46__804,#999999,Actinobacteriota
IF_020-2__515,#999999,Actinobacteriota
S_7G25__3735,#999999,Actinobacteriota
KWS_10896__1324,#999999,Actinobacteriota
IF_065__11059,#999999,Actinobacteriota
IF_012__31556,#999999,Actinobacteriota
S_6G3__124412,#999999,Actinobacteriota
KWS_10646__99533,#999999,Actinobacteriota
IF_051__116194,#999999,Actinobacteriota
IF_012__127792,#999999,Actinobacteriota
IF_002-2re__k141_88527,#999999,Actinobacteriota
IF_068__k141_114437,#999999,Actinobacteriota
IF_116__k141_12724,#999999,Actinobacteriota
IF_162__k141_6233,#999999,Actinobacteriota
KWS_10459__k141_10145,#999999,Actinobacteriota
KWS_10556__k141_22554,#999999,Actinobacteriota
KWS_10784__k141_46545,#999999,Actinobacteriota
KWS_10900__k141_24166,#999999,Actinobacteriota
S_6G4__k141_99642,#999999,Actinobacteriota
S_7G20__k141_134914,#999999,Actinobacteriota
S_7G27__k141_44335,#999999,Actinobacteriota
S_7G32__k141_4792,#999999,Actinobacteriota
IF_045__24144,#999999,Actinobacteriota
KWS_10460__165175,#999999,Actinobacteriota
IF_088-2__13139,#999999,Actinobacteriota
KWS_10548__214064,#999999,Actinobacteriota
IF_032__152289,#999999,Actinobacteriota
S_7G16__52200,#999999,Actinobacteriota
IF_063__9721,#999999,Actinobacteriota
KWS_10989__155078,#999999,Actinobacteriota
KWS_10548__260785,#999999,Actinobacteriota
KeioHC_7__226103,#999999,Actinobacteriota
KeioHC_2__134024,#999999,Actinobacteriota
IF_002__71063,#999999,Actinobacteriota
IF_167__120940,#999999,Actinobacteriota
S_6G1__8768,#999999,Actinobacteriota
KWS_10653__97267,#999999,Actinobacteriota
S_7G20__36749,#999999,Actinobacteriota
KWS_10650__173904,#999999,Actinobacteriota
IF_100__170458,#999999,Actinobacteriota
KWS_10543__192262,#999999,Actinobacteriota
IF_101-2__11169,#999999,Actinobacteriota
IF_033__84184,#999999,Actinobacteriota
IF_033__5418,#999999,Actinobacteriota
KWS_10563__114225,#999999,Actinobacteriota
IF_007__k141_115208,#999999,Actinobacteriota
IF_088-2__k141_31999,#999999,Actinobacteriota
IF_117__k141_85568,#999999,Actinobacteriota
IF_124__k141_101641,#999999,Actinobacteriota
KWS_10546__k141_61173,#999999,Actinobacteriota
KeioHC_9__k141_72465,#999999,Actinobacteriota
S_7G3__k141_64572,#999999,Actinobacteriota
S_7G51__k141_74413,#999999,Actinobacteriota
S_7G5__k141_94935,#999999,Actinobacteriota
S_6G7__890,#FFBE7A,Bacteroidota
KWS_10904__17,#FFBE7A,Bacteroidota
KWS_10465__108,#FFBE7A,Bacteroidota
IF_027__506,#FFBE7A,Bacteroidota
KeioHC_4__468,#FFBE7A,Bacteroidota
KeioHC_122__1153,#FFBE7A,Bacteroidota
S_7G44__989,#FFBE7A,Bacteroidota
IF_112__1563,#FFBE7A,Bacteroidota
S_7G20__234,#FFBE7A,Bacteroidota
KWS_10539__373,#FFBE7A,Bacteroidota
S_7G24__283,#FFBE7A,Bacteroidota
IF_005__293,#FFBE7A,Bacteroidota
S_7G40__27,#FFBE7A,Bacteroidota
S_7G51__473,#FFBE7A,Bacteroidota
IF_183__191,#FFBE7A,Bacteroidota
