ID,prevalence,Group
KeioHC_116__k141_37261,0.0925926,E
IF_128__180950,0.0740741,E
IF_116__7488,0.592593,E
S_6G16__142574,0.277778,E
IF_151__k141_20070,0.462963,E
KeioHC_108__6527,0.037037,E
IF_101__195555,0,E
KWS_10661__291155,0.222222,E
IF_022__47804,0.685185,E
IF_086-2__208,0.111111,E
KeioHC_10__85049,0.037037,E
KeioHC_2__k141_56974,0,E
IF_093__k141_58947,0.277778,E
IF_117__k141_17366,0.574074,E
IF_025__192666,0,E
S_7G20__70316,0.037037,E
KWS_10651__133973,0.425926,E
KWS_10993__k141_73804,0.0925926,E
IF_076__6273,0,E
IF_104__41181,0.037037,E
IF_064__228209,0.537037,E
IF_022__k141_19245,0.0555556,E
KWS_11007__49707,0,E
S_7G50__40159,0.555556,E
IF_175re__35631,0.0740741,E
KWS_10993__61282,0.5,E
KWS_10632__18940,0.462963,E
IF_091__k141_92153,0.0185185,E
IF_016__15221,0.12963,E
IF_086__k141_22175,0.203704,E
KWS_10643__3405,0.0740741,E
IF_081__26676,0.037037,E
KWS_10563__18116,0.222222,E
IF_027__64554,0.0185185,E
KWS_10648__52645,0.0555556,E
IF_050__55627,0.166667,E
KWS_10656__154704,0,E
IF_188__k141_75620,0,E
IF_167__902,0.759259,E
IF_042-2__23896,0.203704,E
IF_151__k141_60414,0.037037,E
KeioHC_124__45258,0,E
IF_079__9214,0.240741,E
KeioHC_I2__55056,0.62963,E
IF_013__27616,0.148148,E
KWS_10641__58423,0.351852,E
KWS_10661__k141_99648,0.0925926,E
IF_093__77784,0.148148,E
IF_079__48882,0.259259,E
IF_183__k141_60104,0.0185185,E
IF_165__259901,0.185185,E
IF_099__80344,0.0185185,E
IF_111__4985,0.222222,E
IF_076__103876,0.148148,E
KWS_10912__20489,0.037037,E
KWS_10452__73328,0.037037,E
S_6G7__43019,0,E
IF_082__12394,0,E
IF_099__743,0.796296,E
S_6G2__5785,0.981481,E
KeioHC_126__k141_7566,0.0185185,E
KeioHC_5__22198,0.111111,E
KeioHC_9__68782,0.0740741,E
IF_071-2__k141_30602,0,E
KWS_10548__9636,0.0925926,E
KWS_10480__12445,0.0555556,E
