ID,prevalence,Group
KeioHC_116__k141_37261,0.0769231,Y
IF_128__180950,0.0923077,Y
IF_116__7488,0.553846,Y
S_6G16__142574,0.338462,Y
IF_151__k141_20070,0.384615,Y
KeioHC_108__6527,0.0461538,Y
IF_101__195555,0.0153846,Y
KWS_10661__291155,0.123077,Y
IF_022__47804,0.723077,Y
IF_086-2__208,0.0769231,Y
KeioHC_10__85049,0.0461538,Y
KeioHC_2__k141_56974,0.0307692,Y
IF_093__k141_58947,0.169231,Y
IF_117__k141_17366,0.446154,Y
IF_025__192666,0,Y
S_7G20__70316,0.0461538,Y
KWS_10651__133973,0.446154,Y
KWS_10993__k141_73804,0.0307692,Y
IF_076__6273,0.0153846,Y
IF_104__41181,0.0153846,Y
IF_064__228209,0.430769,Y
IF_022__k141_19245,0.0769231,Y
KWS_11007__49707,0,Y
S_7G50__40159,0.661538,Y
IF_175re__35631,0.138462,Y
KWS_10993__61282,0.4,Y
KWS_10632__18940,0.338462,Y
IF_091__k141_92153,0.0153846,Y
IF_016__15221,0.0923077,Y
IF_086__k141_22175,0.246154,Y
KWS_10643__3405,0.184615,Y
IF_081__26676,0.0307692,Y
KWS_10563__18116,0.153846,Y
IF_027__64554,0.0923077,Y
KWS_10648__52645,0.0461538,Y
IF_050__55627,0.123077,Y
KWS_10656__154704,0.0153846,Y
IF_188__k141_75620,0,Y
IF_167__902,0.6,Y
IF_042-2__23896,0.230769,Y
IF_151__k141_60414,0.0153846,Y
KeioHC_124__45258,0.0461538,Y
IF_079__9214,0.0923077,Y
KeioHC_I2__55056,0.6,Y
IF_013__27616,0.123077,Y
KWS_10641__58423,0.323077,Y
KWS_10661__k141_99648,0.0307692,Y
IF_093__77784,0.0923077,Y
IF_079__48882,0.2,Y
IF_183__k141_60104,0.0307692,Y
IF_165__259901,0.123077,Y
IF_099__80344,0.0153846,Y
IF_111__4985,0.0923077,Y
IF_076__103876,0.138462,Y
KWS_10912__20489,0.0307692,Y
KWS_10452__73328,0.0923077,Y
S_6G7__43019,0,Y
IF_082__12394,0.0769231,Y
IF_099__743,0.815385,Y
S_6G2__5785,1,Y
KeioHC_126__k141_7566,0,Y
KeioHC_5__22198,0.0153846,Y
KeioHC_9__68782,0.0461538,Y
IF_071-2__k141_30602,0,Y
KWS_10548__9636,0.0769231,Y
KWS_10480__12445,0.0307692,Y
KeioHC_124__k141_1120,0.415385,Y
KWS_10481__5958,0.446154,Y
IF_003-2__k141_48768,0.569231,Y
S_7G46__2015,0.0153846,Y
IF_047-2__11524,0.753846,Y
IF_065__1169,0.0615385,Y
KWS_10903__91467,0.0461538,Y
IF_093__k141_48708,0.584615,Y
KWS_10461__4055,0.107692,Y
IF_049__18909,0.0307692,Y
KWS_10473__1696,0.153846,Y
KWS_10993__278951,0.0307692,Y
S_7G28__6905,0.169231,Y
KWS_10461__40659,0.215385,Y
KWS_10656__17554,0.169231,Y
IF_065-2__5387,0.2,Y
S_7G20__k141_60857,0.107692,Y
KeioHC_9__k141_145866,0.2,Y
S_6G5__125739,0.369231,Y
KWS_10638__114186,0.153846,Y
S_7G49__1206,0.123077,Y
KWS_10540__4677,0.876923,Y
IF_005__284063,0.0461538,Y
KWS_10641__50324,0,Y
