manhatten	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	608.0	839.0	781.0	880.0	685.0	596.0	600.0	633.0	612.0	613.0	565.0	681.0	755.0	591.0	664.0	711.0	581.0
KO2	608.0	0	807.0	777.0	880.0	667.0	630.0	572.0	637.0	656.0	589.0	573.0	673.0	761.0	611.0	688.0	721.0	613.0
KO3	839.0	807.0	0	802.0	801.0	788.0	897.0	871.0	866.0	861.0	830.0	836.0	848.0	834.0	842.0	839.0	848.0	792.0
KO4	781.0	777.0	802.0	0	815.0	740.0	823.0	799.0	800.0	785.0	794.0	794.0	790.0	784.0	800.0	809.0	782.0	770.0
KO5	880.0	880.0	801.0	815.0	0	793.0	970.0	932.0	927.0	906.0	851.0	937.0	909.0	843.0	863.0	876.0	857.0	823.0
KO6	685.0	667.0	788.0	740.0	793.0	0	731.0	709.0	750.0	717.0	686.0	720.0	736.0	800.0	692.0	723.0	778.0	694.0
OE1	596.0	630.0	897.0	823.0	970.0	731.0	0	484.0	539.0	558.0	501.0	441.0	629.0	727.0	529.0	598.0	703.0	575.0
OE2	600.0	572.0	871.0	799.0	932.0	709.0	484.0	0	573.0	578.0	529.0	487.0	635.0	729.0	535.0	600.0	697.0	581.0
OE3	633.0	637.0	866.0	800.0	927.0	750.0	539.0	573.0	0	593.0	576.0	514.0	634.0	722.0	584.0	649.0	712.0	602.0
OE4	612.0	656.0	861.0	785.0	906.0	717.0	558.0	578.0	593.0	0	593.0	531.0	625.0	703.0	597.0	604.0	707.0	619.0
OE5	613.0	589.0	830.0	794.0	851.0	686.0	501.0	529.0	576.0	593.0	0	494.0	604.0	740.0	532.0	585.0	644.0	576.0
OE6	565.0	573.0	836.0	794.0	937.0	720.0	441.0	487.0	514.0	531.0	494.0	0	600.0	716.0	538.0	575.0	694.0	548.0
WT1	681.0	673.0	848.0	790.0	909.0	736.0	629.0	635.0	634.0	625.0	604.0	600.0	0	708.0	618.0	661.0	698.0	664.0
WT2	755.0	761.0	834.0	784.0	843.0	800.0	727.0	729.0	722.0	703.0	740.0	716.0	708.0	0	716.0	721.0	758.0	722.0
WT3	591.0	611.0	842.0	800.0	863.0	692.0	529.0	535.0	584.0	597.0	532.0	538.0	618.0	716.0	0	597.0	658.0	570.0
WT4	664.0	688.0	839.0	809.0	876.0	723.0	598.0	600.0	649.0	604.0	585.0	575.0	661.0	721.0	597.0	0	687.0	609.0
WT5	711.0	721.0	848.0	782.0	857.0	778.0	703.0	697.0	712.0	707.0	644.0	694.0	698.0	758.0	658.0	687.0	0	664.0
WT6	581.0	613.0	792.0	770.0	823.0	694.0	575.0	581.0	602.0	619.0	576.0	548.0	664.0	722.0	570.0	609.0	664.0	0
