unifrac	KO1	KO6	KO4	OE1	OE6	OE5	WT3	WT6	WT4	WT1	WT5	OE4	OE3	WT2	KO3	KO2	OE2	KO5
KO1	0	0.0833	0.109	0.178	0.163	0.124	0.143	0.142	0.149	0.172	0.142	0.140	0.186	0.123	0.159	0.178	0.219	0.192
KO6	0.0833	0	0.116	0.227	0.208	0.164	0.197	0.188	0.191	0.214	0.170	0.188	0.228	0.165	0.145	0.217	0.267	0.161
KO4	0.109	0.116	0	0.226	0.210	0.155	0.166	0.153	0.158	0.163	0.126	0.170	0.222	0.141	0.130	0.192	0.245	0.182
OE1	0.178	0.227	0.226	0	0.0881	0.135	0.137	0.161	0.187	0.225	0.223	0.163	0.200	0.241	0.241	0.183	0.170	0.341
OE6	0.163	0.208	0.210	0.0881	0	0.105	0.126	0.135	0.164	0.205	0.183	0.148	0.183	0.222	0.220	0.169	0.150	0.314
OE5	0.124	0.164	0.155	0.135	0.105	0	0.0814	0.0797	0.112	0.150	0.118	0.126	0.144	0.170	0.158	0.147	0.149	0.260
WT3	0.143	0.197	0.166	0.137	0.126	0.0814	0	0.0654	0.0924	0.120	0.123	0.117	0.130	0.160	0.175	0.136	0.148	0.289
WT6	0.142	0.188	0.153	0.161	0.135	0.0797	0.0654	0	0.0991	0.116	0.0986	0.111	0.127	0.149	0.141	0.143	0.147	0.259
WT4	0.149	0.191	0.158	0.187	0.164	0.112	0.0924	0.0991	0	0.108	0.112	0.133	0.127	0.127	0.173	0.158	0.189	0.282
WT1	0.172	0.214	0.163	0.225	0.205	0.150	0.120	0.116	0.108	0	0.0941	0.129	0.131	0.120	0.172	0.157	0.180	0.280
WT5	0.142	0.170	0.126	0.223	0.183	0.118	0.123	0.0986	0.112	0.0941	0	0.129	0.156	0.119	0.134	0.156	0.184	0.233
OE4	0.140	0.188	0.170	0.163	0.148	0.126	0.117	0.111	0.133	0.129	0.129	0	0.118	0.137	0.179	0.189	0.153	0.254
OE3	0.186	0.228	0.222	0.200	0.183	0.144	0.130	0.127	0.127	0.131	0.156	0.118	0	0.149	0.188	0.192	0.147	0.296
WT2	0.123	0.165	0.141	0.241	0.222	0.170	0.160	0.149	0.127	0.120	0.119	0.137	0.149	0	0.183	0.223	0.222	0.205
KO3	0.159	0.145	0.130	0.241	0.220	0.158	0.175	0.141	0.173	0.172	0.134	0.179	0.188	0.183	0	0.201	0.216	0.203
KO2	0.178	0.217	0.192	0.183	0.169	0.147	0.136	0.143	0.158	0.157	0.156	0.189	0.192	0.223	0.201	0	0.152	0.334
OE2	0.219	0.267	0.245	0.170	0.150	0.149	0.148	0.147	0.189	0.180	0.184	0.153	0.147	0.222	0.216	0.152	0	0.337
KO5	0.192	0.161	0.182	0.341	0.314	0.260	0.289	0.259	0.282	0.280	0.233	0.254	0.296	0.205	0.203	0.334	0.337	0
