ID	log2FC	log2CPM	PValue	FDR	level	MeanA	MeanB	KO1	KO2	KO3	KO4	KO5	KO6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_112	-2.019	10.788	1.3199947716304e-07	2.15159147775755e-05	Depleted	0.044	0.181	0.085	0.045	0.036	0.042	0.026	0.03	0.184	0.259	0.197	0.237	0.114	0.098
ASV_141	1.416	11.12	9.77082670042872e-07	7.96322376084941e-05	Enriched	0.206	0.078	0.259	0.159	0.195	0.207	0.194	0.221	0.092	0.116	0.061	0.055	0.068	0.074
ASV_73	1.288	12.078	4.82978936452937e-05	0.00262418555472762	Enriched	0.401	0.165	0.433	0.213	0.299	0.626	0.295	0.541	0.154	0.185	0.133	0.171	0.173	0.172
ASV_6	0.928	14.914	0.000101500229655041	0.00413613435844292	Enriched	2.642	1.418	2.713	1.902	2.152	2.387	3.891	2.805	1.516	1.434	1.292	1.502	1.378	1.384
ASV_1068	1.838	10.89	0.000205003156717226	0.00668310290898155	Enriched	0.185	0.054	0.162	0.168	0.472	0.074	0.07	0.167	0.043	0.058	0.075	0.074	0.027	0.044
ASV_41	1.11	12.944	0.000256184620690261	0.00695968219541876	Enriched	0.707	0.329	0.722	0.414	0.423	0.872	0.774	1.036	0.308	0.383	0.216	0.352	0.393	0.322
ASV_658	-1.426	10.787	0.000318017918924808	0.00740527439782052	Depleted	0.061	0.166	0.125	0.076	0.039	0.066	0.026	0.033	0.146	0.169	0.238	0.173	0.087	0.183
ASV_120	1.073	11.217	0.00060409444201082	0.0123084242559705	Enriched	0.205	0.1	0.14	0.227	0.273	0.207	0.15	0.235	0.07	0.077	0.139	0.149	0.097	0.068
ASV_146	-1.098	10.754	0.00094608919785948	0.0160664637752732	Depleted	0.069	0.151	0.094	0.028	0.075	0.074	0.049	0.096	0.089	0.166	0.166	0.215	0.149	0.123
ASV_156	1.025	10.895	0.000985672624249891	0.0160664637752732	Enriched	0.161	0.081	0.152	0.201	0.174	0.077	0.15	0.211	0.051	0.069	0.089	0.085	0.092	0.098
ASV_37	-0.954	12.775	0.00147516884045832	0.0218593200904278	Depleted	0.309	0.616	0.396	0.282	0.348	0.141	0.368	0.317	0.408	0.599	0.829	0.559	0.634	0.666
ASV_96	1.06	11.503	0.00200790676220484	0.0253781913155763	Enriched	0.248	0.123	0.177	0.134	0.35	0.278	0.337	0.213	0.081	0.137	0.091	0.14	0.138	0.147
ASV_24	1.109	13.247	0.00212907830758345	0.0253781913155763	Enriched	0.862	0.41	0.54	0.445	1.29	1.31	0.88	0.705	0.292	0.613	0.322	0.6	0.328	0.309
ASV_79	0.846	11.932	0.00217972195348508	0.0253781913155763	Enriched	0.324	0.184	0.311	0.327	0.265	0.252	0.349	0.44	0.149	0.156	0.172	0.256	0.195	0.175
ASV_2	0.783	16.069	0.00277778945954117	0.030185312127014	Enriched	5.676	3.353	5.99	3.448	6.147	5.942	7.51	5.017	3.474	3.958	2.337	3.087	4.051	3.214
ASV_56	0.7	12.333	0.0039440167106816	0.0392365153068247	Enriched	0.412	0.259	0.412	0.333	0.379	0.456	0.513	0.38	0.265	0.24	0.258	0.237	0.276	0.276
ASV_115	2.223	10.492	0.00409215190316576	0.0392365153068247	Enriched	0.151	0.033	0.107	0.288	0.034	0.265	0.021	0.189	0.003	0.055	0.061	0.006	0.011	0.06
ASV_63	0.681	12.683	0.00640296557089625	0.0561030673398794	Enriched	0.524	0.333	0.564	0.431	0.524	0.456	0.639	0.53	0.343	0.422	0.263	0.303	0.292	0.374
ASV_39	0.767	12.93	0.00653962134636631	0.0561030673398794	Enriched	0.635	0.383	0.643	0.403	0.55	0.613	0.986	0.615	0.305	0.457	0.316	0.471	0.371	0.38
