Family	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
Bacteria|Acidobacteria|Acidobacteria_Gp10|Unassigned|Unassigned	25	26	19	33	43	28	63	26	83	22	48	40	37	19	185	57	13	28
Bacteria|Acidobacteria|Acidobacteria_Gp17|Unassigned|Unassigned	3	9	6	2	2	5	26	13	11	5	27	26	18	16	20	21	5	9
Bacteria|Acidobacteria|Acidobacteria_Gp3|Unassigned|Unassigned	6	9	4	3	1	8	11	4	5	4	8	2	1	3	5	1	2	5
Bacteria|Acidobacteria|Acidobacteria_Gp5|Unassigned|Unassigned	4	3	1	1	1	4	6	1	5	7	4	5	1	4	6	5	2	4
Bacteria|Acidobacteria|Acidobacteria_Gp6|Unassigned|Unassigned	14	22	9	6	3	14	90	46	36	17	56	111	60	19	59	36	21	18
Bacteria|Actinobacteria|Actinobacteria|Acidimicrobiales|Acidimicrobiaceae	43	51	34	45	33	47	80	38	44	48	58	76	39	45	44	39	32	47
Bacteria|Actinobacteria|Actinobacteria|Acidimicrobiales|Iamiaceae	12	45	66	25	19	21	32	54	28	37	22	25	41	27	50	29	25	36
Bacteria|Actinobacteria|Actinobacteria|Acidimicrobiales|Unassigned	25	28	40	29	25	26	69	45	31	47	49	42	36	50	46	44	54	43
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Cellulomonadaceae	23	24	6	7	4	8	42	34	25	25	35	35	63	7	46	7	21	39
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Cryptosporangiaceae	2	0	1	0	0	19	4	4	3	2	2	9	1	0	4	3	12	1
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Geodermatophilaceae	20	50	36	17	12	24	26	53	26	21	41	78	28	20	34	31	37	26
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Glycomycetaceae	20	40	13	11	6	25	8	2	24	5	3	8	10	12	12	37	29	8
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Intrasporangiaceae	21	39	30	20	17	23	25	27	24	20	18	21	20	19	32	27	13	36
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Kineosporiaceae	146	304	137	240	46	97	230	191	180	247	203	179	388	411	280	263	344	195
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Microbacteriaceae	251	407	331	310	200	227	261	365	284	247	298	266	238	241	325	314	252	346
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micrococcaceae	24	31	22	16	13	13	23	74	45	37	43	42	22	10	31	67	28	32
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Micromonosporaceae	1403	2477	1713	1443	854	1537	1436	1939	2204	1414	1629	1426	1844	1450	1836	1560	1900	1956
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Mycobacteriaceae	124	143	132	90	41	53	83	91	79	71	56	86	85	39	165	77	69	63
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Nocardiaceae	28	36	67	3	14	20	11	46	11	28	16	16	65	10	45	39	11	31
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Nocardioidaceae	797	1350	1401	962	863	1047	692	1112	809	697	997	835	836	881	1011	1091	1052	895
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Promicromonosporaceae	69	128	41	89	37	148	64	58	46	59	152	109	64	87	87	64	31	72
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Propionibacteriaceae	11	3	0	8	1	4	12	4	2	5	1	10	5	3	4	5	3	6
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Pseudonocardiaceae	1730	3956	3271	3229	2029	1843	1833	1927	1491	1760	2135	1752	3155	2181	2507	2723	3248	2828
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Streptomycetaceae	983	967	1231	854	407	729	703	1169	2731	1502	950	980	1414	1292	1096	2178	1550	1153
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Streptosporangiaceae	35	196	80	145	22	108	88	148	76	104	133	68	110	125	125	63	72	136
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Thermomonosporaceae	263	318	58	441	133	185	160	280	155	259	250	182	400	454	244	324	455	246
Bacteria|Actinobacteria|Actinobacteria|Actinomycetales|Unassigned	1346	2321	1103	1600	1208	1308	1503	1940	1636	1206	1493	1287	2680	2780	2021	2233	1805	1926
Bacteria|Actinobacteria|Actinobacteria|Gaiellales|Gaiellaceae	89	151	98	131	73	113	109	173	105	97	127	152	148	109	131	95	109	107
Bacteria|Actinobacteria|Actinobacteria|Rubrobacterales|Rubrobacteraceae	9	25	8	14	2	14	18	20	15	11	11	30	23	6	14	15	26	13
Bacteria|Actinobacteria|Actinobacteria|Solirubrobacterales|Conexibacteraceae	25	46	28	35	12	57	59	53	20	16	23	32	32	19	23	18	36	28
Bacteria|Actinobacteria|Actinobacteria|Solirubrobacterales|Solirubrobacteraceae	60	61	32	47	35	96	146	69	61	63	68	99	43	42	45	47	64	53
Bacteria|Actinobacteria|Actinobacteria|Solirubrobacterales|Unassigned	50	82	57	74	57	80	87	74	50	54	58	109	61	40	61	49	83	63
Bacteria|Actinobacteria|Actinobacteria|Unassigned|Unassigned	156	277	180	200	134	153	294	333	243	218	262	321	287	241	288	207	201	237
Bacteria|Actinobacteria|Unassigned|Unassigned|Unassigned	6	25	26	31	8	33	32	32	22	24	23	33	14	21	15	25	17	26
Bacteria|Armatimonadetes|Unassigned|Unassigned|Unassigned	2	1	1	2	0	4	2	7	2	5	6	2	2	9	4	6	7	5
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Flammeovirgaceae	4	0	0	2	0	0	9	12	4	11	7	3	4	10	7	7	3	5
Bacteria|Bacteroidetes|Cytophagia|Cytophagales|Unassigned	281	187	106	119	159	55	332	254	421	615	296	192	320	334	433	429	200	278
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Cryomorphaceae	14	10	17	7	6	3	28	21	40	28	17	28	31	65	37	54	43	38
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Flavobacteriaceae	453	569	2580	852	1656	673	442	2017	2103	1388	624	541	1327	1403	903	606	1176	1548
Bacteria|Bacteroidetes|Flavobacteriia|Flavobacteriales|Unassigned	2	4	0	1	1	0	6	11	7	4	2	2	5	15	6	2	2	3
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Chitinophagaceae	49	25	22	21	12	18	128	73	159	144	98	62	105	160	105	123	72	69
Bacteria|Bacteroidetes|Sphingobacteriia|Sphingobacteriales|Sphingobacteriaceae	25	20	23	38	45	20	18	8	30	31	20	19	38	85	19	20	25	34
Bacteria|Bacteroidetes|Unassigned|Unassigned|Unassigned	17	6	18	19	10	13	12	12	19	29	18	18	20	13	15	18	19	20
Bacteria|Candidatus_Saccharibacteria|Unassigned|Unassigned|Unassigned	1	1	6	0	33	4	0	10	1	0	11	0	2	0	2	0	0	5
Bacteria|Chlamydiae|Chlamydiia|Chlamydiales|Chlamydiaceae	4	2	0	0	2	9	10	9	11	16	3	3	0	4	41	6	0	23
Bacteria|Chloroflexi|Caldilineae|Caldilineales|Caldilineaceae	1	8	1	0	0	4	6	15	8	1	8	6	5	5	11	4	2	2
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales|Chloroflexaceae	47	73	32	55	75	44	39	69	53	90	53	48	93	55	67	57	45	77
Bacteria|Chloroflexi|Chloroflexia|Chloroflexales|Oscillochloridaceae	19	38	9	21	18	15	11	6	15	12	11	7	25	13	22	26	7	27
Bacteria|Chloroflexi|Chloroflexia|Herpetosiphonales|Herpetosiphonaceae	122	142	63	153	204	73	79	357	21	169	309	183	934	62	127	146	439	304
Bacteria|Chloroflexi|Chloroflexia|Unassigned|Unassigned	57	120	50	88	62	52	83	148	128	80	53	92	120	84	98	171	46	81
Bacteria|Chloroflexi|Unassigned|Unassigned|Unassigned	201	224	60	167	130	133	161	185	146	138	139	149	203	95	227	156	77	118
