Family	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Unassigned	27.8	28.3	21.4	23.3	21.7	26.2	32	27	25.4	26.8	26.6	28.5	27.5	26.7	31.5	28.3	23.2	27.3	42.4
Micromonosporaceae	4.61	7.09	4.58	3.92	2.34	4.44	4.8	6.23	6.66	4.56	5.11	4.81	5.22	3.82	5.19	4.48	5.26	5.7	3.8
Nocardioidaceae	2.61	4.09	3.93	2.83	2.29	3.05	2.36	3.91	2.63	2.35	3.29	2.81	2.49	2.48	3	3.19	3	2.67	3.4
Xanthomonadaceae	2.21	1.59	2.17	2.47	2.72	2.79	1.76	1.78	2.06	1.86	3	2.45	1.68	2.12	2.25	2.62	2.33	2.76	3.0
Sinobacteraceae	2.46	2.21	1.97	2.06	1.01	1.93	3.69	2.45	2.58	2.48	3.03	3.19	2.01	2.85	3.14	3.05	2.23	3.08	2.5
Hyphomicrobiaceae	2.51	2.2	3	2.2	3.37	2.95	2.24	2.33	1.38	1.69	2.01	2.01	1.32	1.39	1.66	1.51	1.59	2.01	2.4
Oxalobacteraceae	7.1	4.4	4.65	7.65	8.39	9.75	4.48	3.29	5.48	5.05	4.33	5.05	6.32	7.5	4.86	4.54	5.74	5.06	2.4
Comamonadaceae	12.3	8.31	12	12.1	15.5	12.3	6.33	6.1	9.34	9.36	9.22	6.97	8.92	9.71	8.28	9.35	10.3	9.01	2.4
Paenibacillaceae_1	0.377	0.32	0.733	2.43	0.18	0.593	1.66	1.01	0.41	1.2	0.287	0.69	0.31	0.127	0.337	0.213	0.18	0.167	2.0
Sphingomonadaceae	1.71	1.72	3.07	2.61	2.83	2.37	1.44	1.39	1.19	1.43	1.69	1.77	1.05	1.49	1.21	1.98	1.67	1.41	1.9
Pseudonocardiaceae	5.33	11.1	8.44	8.54	5.31	4.97	5.82	5.94	4.39	5.45	6.53	5.57	8.48	5.82	7.21	7.62	8.81	7.85	1.8
Gaiellaceae	0.36	0.623	0.38	0.463	0.297	0.463	0.477	0.74	0.477	0.383	0.57	0.667	0.543	0.41	0.543	0.403	0.433	0.407	1.6
Bacillaceae_1	0.997	0.8	0.513	0.527	0.427	0.83	2.93	1.34	1.62	1.89	0.963	3.62	0.467	0.23	0.633	0.44	0.343	0.62	1.5
Streptomycetaceae	3.06	2.82	3.25	2.26	1.08	2.06	2.32	3.72	8.34	4.76	3.03	3.24	3.88	3.4	3.13	6.18	4.33	3.3	1.3
Rhizobiaceae	3.18	2.09	4.83	3.99	5.49	3.8	2.18	2.75	2.24	2.84	3.62	3.03	2.06	3.15	2.08	2.71	3.93	2.71	1.3
Flavobacteriaceae	1.46	1.72	6.85	2.32	4.39	1.89	1.45	6.38	6.25	4.43	2.02	1.77	3.68	3.96	2.54	1.8	3.28	4.34	1.2
Planctomycetaceae	0.0333	0.23	0.16	0.0333	0.0667	0.0833	0.47	0.877	0.44	0.177	0.283	0.59	0.227	0.163	0.313	0.2	0.15	0.16	1.2
Solirubrobacteraceae	0.357	0.377	0.2	0.223	0.157	0.473	0.78	0.403	0.303	0.327	0.38	0.613	0.21	0.183	0.263	0.177	0.34	0.273	1.2
Caulobacteraceae	1.34	1.07	1.12	1.06	1.36	1.38	0.96	0.87	0.633	0.753	1.17	0.857	0.753	1.02	0.807	0.84	0.957	0.857	1.1
Phyllobacteriaceae	0.67	0.71	0.573	0.843	0.833	1.12	0.593	0.543	0.557	0.587	0.797	0.583	0.61	0.723	0.633	0.837	0.78	0.623	1.0
Microbacteriaceae	0.833	1.28	0.887	0.857	0.537	0.64	0.873	1.17	0.867	0.807	0.967	0.867	0.697	0.703	0.997	0.927	0.777	1.01	0.9
Burkholderiales_incertae_sedis	1.54	1.28	1.88	1.57	2.83	1.85	1.7	1.33	1.47	1.59	1.61	1.36	1.42	1.72	2.01	1.83	1.61	1.48	0.9
Bradyrhizobiaceae	2.66	3	3.16	2.89	2.81	2.83	3.09	2.61	1.92	2.12	3.5	2.72	2.37	2.11	2.49	2.52	2.54	2.64	0.8
Polyangiaceae	0.357	0.16	0.24	0.337	0.203	0.293	0.557	0.213	0.353	0.31	0.367	0.49	0.187	0.28	0.31	0.293	0.257	0.223	0.8
Pseudomonadaceae	6.66	2.74	4.16	4.93	8.16	4.14	4.43	5.55	5.46	7.74	5.84	5.63	6.57	8.97	5.13	5.28	7.43	5.49	0.7
Rhodospirillaceae	0.513	0.607	0.41	0.323	0.2	0.383	1.07	0.663	0.553	0.577	0.56	0.737	0.46	0.423	0.65	0.607	0.333	0.563	0.7
Mycobacteriaceae	0.41	0.46	0.42	0.263	0.13	0.167	0.337	0.367	0.29	0.253	0.21	0.343	0.307	0.173	0.517	0.23	0.223	0.25	0.6
Chitinophagaceae	0.183	0.0867	0.08	0.08	0.0367	0.07	0.597	0.31	0.623	0.56	0.35	0.3	0.377	0.513	0.377	0.413	0.243	0.243	0.6
Bdellovibrionaceae	0.147	0.123	0.143	0.22	0.313	0.147	0.157	0.133	0.153	0.16	0.147	0.09	0.13	0.18	0.163	0.16	0.103	0.147	0.6
Erythrobacteraceae	0.26	0.203	0.347	0.273	0.357	0.31	0.217	0.243	0.127	0.16	0.28	0.177	0.0933	0.19	0.213	0.22	0.247	0.287	0.5
Methylobacteriaceae	0.19	0.18	0.0567	0.0667	0.0967	0.0967	0.183	0.137	0.12	0.113	0.113	0.293	0.0867	0.0833	0.09	0.0967	0.0933	0.12	0.5
Sneathiellaceae	0.13	0.137	0.0967	0.0667	0.14	0.107	0.133	0.0867	0.08	0.0867	0.1	0.133	0.15	0.133	0.17	0.217	0.11	0.0967	0.5
Bacteriovoracaceae	0.103	0.113	0.22	0.22	0.617	0.21	0.17	0.19	0.167	0.25	0.167	0.143	0.243	0.51	0.177	0.127	0.227	0.13	0.5
Hyphomonadaceae	0.257	0.24	0.193	0.163	0.14	0.227	0.41	0.233	0.237	0.26	0.267	0.337	0.2	0.24	0.293	0.313	0.207	0.413	0.5
Burkholderiaceae	0.0933	0.107	0.2	0.277	0.147	0.23	0.207	0.14	0.107	0.15	0.153	0.187	0.1	0.223	0.123	0.103	0.193	0.127	0.5
Methylophilaceae	0.233	0.34	0.153	0.16	0.423	0.51	0.167	0.387	0.197	0.217	0.263	0.157	0.297	0.383	0.537	0.327	0.28	0.253	0.4
Rhodobiaceae	0.197	0.147	0.12	0.203	0.123	0.19	0.253	0.17	0.13	0.133	0.197	0.3	0.163	0.127	0.173	0.127	0.13	0.137	0.4
Conexibacteraceae	0.1	0.213	0.0933	0.11	0.05	0.187	0.227	0.233	0.0967	0.08	0.1	0.13	0.137	0.0767	0.1	0.1	0.127	0.09	0.4
Nannocystaceae	0.09	0.08	0.03	0.0367	0.0433	0.0533	0.0967	0.0733	0.0667	0.07	0.07	0.11	0.0833	0.08	0.103	0.0467	0.107	0.11	0.4
Labilitrichaceae	0.0667	0.133	0.1	0.09	0.0467	0.0567	0.113	0.0533	0.0933	0.08	0.0933	0.117	0.0667	0.0767	0.123	0.0833	0.09	0.113	0.4
Cystobacteraceae	0.11	0.0833	0.04	0.0233	0.0233	0.05	0.107	0.103	0.06	0.173	0.107	0.14	0.0767	0.0667	0.0767	0.09	0.0367	0.0567	0.4
Streptosporangiaceae	0.12	0.603	0.203	0.467	0.0667	0.287	0.363	0.483	0.25	0.33	0.413	0.237	0.387	0.357	0.407	0.18	0.22	0.347	0.4
Leptospiraceae	0.05	0.03	0.0967	0.09	0.147	0.06	0.12	0.0833	0.12	0.183	0.133	0.1	0.107	0.157	0.167	0.19	0.0733	0.147	0.3
Oscillochloridaceae	0.1	0.173	0.04	0.107	0.06	0.0567	0.0633	0.0733	0.0867	0.0867	0.08	0.0533	0.143	0.0667	0.11	0.113	0.06	0.13	0.3
Micrococcaceae	0.09	0.13	0.0767	0.05	0.0533	0.06	0.103	0.257	0.16	0.15	0.197	0.17	0.0833	0.0867	0.13	0.213	0.137	0.133	0.3
Geodermatophilaceae	0.0733	0.183	0.11	0.07	0.0367	0.0833	0.107	0.183	0.0867	0.0733	0.143	0.287	0.0767	0.0767	0.103	0.0967	0.14	0.0833	0.3
Opitutaceae	0.0133	0.0233	0.0333	0.0167	0.03	0.03	0.107	0.0767	0.1	0.0733	0.147	0.223	0.12	0.08	0.183	0.0967	0.05	0.0667	0.3
Nitrospiraceae	0.0867	0.0867	0.03	0.0533	0.0433	0.0767	0.13	0.0633	0.103	0.0867	0.123	0.107	0.0767	0.0567	0.0733	0.28	0.09	0.117	0.3
Herpetosiphonaceae	0.383	0.463	0.177	0.43	0.523	0.223	0.25	1.09	0.107	0.557	0.98	0.643	2.54	0.18	0.397	0.423	1.23	0.877	0.3
