SampleID	group	location
A01	A	Beijing
A02	A	Tianjin
A03	A	Beijing
A04	A	Tianjin
A05	A	Beijing
A06	A	Tianjin
A07	A	Beijing
A08	A	Tianjin
A09	A	Beijing
A10	A	Tianjin
A11	A	Beijing
A12	A	Tianjin
A13	A	Beijing
A14	A	Tianjin
A15	A	Beijing
A16	A	Tianjin
A17	A	Beijing
A18	A	Tianjin
A19	A	Beijing
A20	A	Tianjin
A21	A	Beijing
A22	A	Tianjin
A23	A	Beijing
A24	A	Tianjin
A25	A	Beijing
A26	A	Tianjin
B28	B	Beijing
B29	B	Tianjin
B30	B	Beijing
B31	B	Tianjin
B32	B	Beijing
B34	B	Tianjin
B35	B	Beijing
B36	B	Tianjin
B38	B	Beijing
B39	B	Tianjin
B40	B	Beijing
B41	B	Tianjin
B42	B	Beijing
B43	B	Tianjin
B44	B	Beijing
B45	B	Tianjin
B46	B	Beijing
B47	B	Tianjin
B48	B	Beijing
B49	B	Tianjin
B50	B	Beijing
B51	B	Tianjin
B52	B	Beijing
C01	C	Tianjin
C02	C	Beijing
C03	C	Tianjin
C04	C	Beijing
C05	C	Tianjin
C06	C	Beijing
C07	C	Tianjin
C08	C	Beijing
C09	C	Tianjin
C10	C	Beijing
C11	C	Tianjin
C12	C	Beijing
C13	C	Tianjin
C14	C	Beijing
C15	C	Tianjin
C16	C	Beijing
C18	C	Tianjin
C19	C	Beijing
C20	C	Tianjin
C21	C	Beijing
C22	C	Tianjin
C23	C	Beijing
C24	C	Tianjin
C26	C	Beijing
D27	D	Tianjin
D28	D	Beijing
D29	D	Tianjin
D30	D	Beijing
D31	D	Tianjin
D32	D	Beijing
D33	D	Tianjin
D34	D	Beijing
D35	D	Tianjin
D36	D	Beijing
D37	D	Tianjin
D38	D	Beijing
D40	D	Tianjin
D41	D	Beijing
D42	D	Tianjin
D44	D	Beijing
D45	D	Tianjin
D46	D	Beijing
D47	D	Tianjin
D48	D	Beijing
D49	D	Tianjin
D50	D	Beijing
D51	D	Tianjin
D52	D	Beijing
