Sample	berger_parker	buzas_gibson	chao1	dominance	equitability	jost	jost1	reads	richness	robbins	simpson	shannon_e	shannon_2	shannon_10
KO1	0.0604	0.0139	2125.9	0.990	0.788	178.6	418.3	30000.0	2125.0	0.221	0.0102	6.04	8.71	2.62
KO2	0.0538	0.0145	2090.0	0.991	0.795	200.3	434.5	30000.0	2089.0	0.228	0.00866	6.07	8.76	2.64
KO3	0.0614	0.0102	1757.1	0.988	0.767	141.7	306.9	30000.0	1756.0	0.240	0.0118	5.73	8.26	2.49
KO4	0.0601	0.0103	1817.2	0.989	0.764	145.8	309.4	30000.0	1816.0	0.255	0.0112	5.73	8.27	2.49
KO5	0.0747	0.00788	1644.3	0.985	0.738	108.4	236.5	30000.0	1643.0	0.282	0.0151	5.47	7.89	2.37
KO6	0.05	0.0129	1944.9	0.991	0.787	189.6	386.0	30000.0	1944.0	0.226	0.00852	5.96	8.59	2.59
OE1	0.0395	0.0213	2297.5	0.995	0.835	320.5	640.3	30000.0	2297.0	0.152	0.00531	6.46	9.32	2.81
OE2	0.0587	0.0166	2253.5	0.991	0.804	207.4	497.8	30000.0	2253.0	0.177	0.00927	6.21	8.96	2.70
OE3	0.0463	0.0132	2150.7	0.989	0.779	165.0	395.1	30000.0	2150.0	0.204	0.0106	5.98	8.63	2.60
OE4	0.0394	0.0146	2169.8	0.992	0.792	204.6	439.1	30000.0	2169.0	0.218	0.0081	6.08	8.78	2.64
OE5	0.0377	0.0162	2194.6	0.993	0.804	235.7	486.7	30000.0	2194.0	0.200	0.00693	6.19	8.93	2.69
OE6	0.0321	0.0209	2304.5	0.995	0.832	318.7	628.5	30000.0	2304.0	0.164	0.00515	6.44	9.30	2.80
WT1	0.0628	0.0114	2079.0	0.988	0.764	146.6	342.0	30000.0	2078.0	0.243	0.0117	5.83	8.42	2.53
WT2	0.0672	0.00925	1905.0	0.986	0.745	117.7	277.6	30000.0	1904.0	0.255	0.0144	5.63	8.12	2.44
WT3	0.0475	0.0163	2206.7	0.993	0.805	229.2	490.0	30000.0	2206.0	0.201	0.00748	6.19	8.94	2.69
WT4	0.0551	0.0136	2113.9	0.991	0.785	186.3	407.3	30000.0	2113.0	0.233	0.00919	6.01	8.67	2.61
WT5	0.0423	0.0103	1947.3	0.988	0.757	139.3	308.7	30000.0	1946.0	0.248	0.0115	5.73	8.27	2.49
WT6	0.0417	0.0144	2148.7	0.991	0.791	198.1	433.2	30000.0	2148.0	0.210	0.00854	6.07	8.76	2.64
