richness	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
1	104.0	113.0	108.0	107.0	106.0	114.0	107.0	99.0	93.0	100.0	110.0	109.0	98.0	94.0	114.0	104.0	98.0	104.0
2	211.0	208.0	208.0	192.0	172.0	210.0	223.0	207.0	192.0	213.0	204.0	229.0	186.0	183.0	224.0	203.0	176.0	199.0
3	318.0	297.0	274.0	260.0	245.0	288.0	351.0	303.0	286.0	296.0	308.0	344.0	257.0	244.0	327.0	299.0	248.0	296.0
4	404.0	391.0	363.0	337.0	305.0	367.0	457.0	420.0	381.0	378.0	400.0	448.0	340.0	321.0	401.0	366.0	317.0	398.0
5	463.0	460.0	417.0	401.0	360.0	445.0	585.0	525.0	475.0	474.0	489.0	548.0	408.0	392.0	503.0	442.0	392.0	480.0
6	542.0	564.0	466.0	461.0	421.0	514.0	672.0	608.0	542.0	537.0	572.0	643.0	476.0	451.0	603.0	523.0	455.0	548.0
7	618.0	632.0	528.0	523.0	445.0	580.0	757.0	692.0	608.0	623.0	653.0	761.0	552.0	516.0	665.0	592.0	543.0	607.0
8	706.0	709.0	577.0	579.0	504.0	640.0	872.0	780.0	704.0	702.0	749.0	853.0	626.0	555.0	725.0	655.0	598.0	690.0
9	778.0	775.0	638.0	624.0	545.0	708.0	969.0	864.0	740.0	766.0	802.0	951.0	691.0	620.0	820.0	724.0	653.0	756.0
10	845.0	843.0	713.0	683.0	588.0	759.0	1042.0	949.0	825.0	853.0	873.0	1022.0	751.0	684.0	894.0	774.0	700.0	816.0
11	907.0	903.0	744.0	733.0	635.0	810.0	1129.0	1009.0	905.0	907.0	944.0	1105.0	816.0	708.0	947.0	830.0	778.0	900.0
12	949.0	975.0	788.0	792.0	671.0	867.0	1198.0	1085.0	953.0	964.0	1024.0	1188.0	892.0	764.0	1013.0	905.0	830.0	966.0
13	1020.0	1022.0	842.0	814.0	695.0	925.0	1283.0	1151.0	1018.0	1045.0	1075.0	1240.0	930.0	817.0	1088.0	959.0	884.0	1035.0
14	1082.0	1063.0	879.0	876.0	744.0	971.0	1333.0	1206.0	1074.0	1071.0	1144.0	1295.0	981.0	855.0	1139.0	1023.0	921.0	1066.0
15	1130.0	1111.0	908.0	896.0	767.0	1014.0	1382.0	1278.0	1113.0	1131.0	1190.0	1369.0	1031.0	908.0	1175.0	1058.0	975.0	1124.0
