bray_curtis_binary	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
KO1	0	0.144	0.216	0.198	0.234	0.168	0.135	0.137	0.148	0.143	0.142	0.128	0.162	0.187	0.136	0.157	0.175	0.136
KO2	0.144	0	0.210	0.199	0.236	0.165	0.144	0.132	0.150	0.154	0.138	0.130	0.162	0.191	0.142	0.164	0.179	0.145
KO3	0.216	0.210	0	0.225	0.236	0.213	0.221	0.217	0.222	0.219	0.210	0.206	0.221	0.228	0.213	0.217	0.229	0.203
KO4	0.198	0.199	0.225	0	0.236	0.197	0.200	0.196	0.202	0.197	0.198	0.193	0.203	0.211	0.199	0.206	0.208	0.194
KO5	0.234	0.236	0.236	0.236	0	0.221	0.246	0.239	0.244	0.238	0.222	0.237	0.244	0.238	0.224	0.233	0.239	0.217
KO6	0.168	0.165	0.213	0.197	0.221	0	0.172	0.169	0.183	0.174	0.166	0.169	0.183	0.208	0.167	0.178	0.200	0.170
OE1	0.135	0.144	0.221	0.200	0.246	0.172	0	0.106	0.121	0.125	0.112	0.0958	0.144	0.173	0.117	0.136	0.166	0.129
OE2	0.137	0.132	0.217	0.196	0.239	0.169	0.106	0	0.130	0.131	0.119	0.107	0.147	0.175	0.120	0.137	0.166	0.132
OE3	0.148	0.150	0.222	0.202	0.244	0.183	0.121	0.130	0	0.137	0.133	0.115	0.150	0.178	0.134	0.152	0.174	0.140
OE4	0.143	0.154	0.219	0.197	0.238	0.174	0.125	0.131	0.137	0	0.136	0.119	0.147	0.173	0.136	0.141	0.172	0.143
OE5	0.142	0.138	0.210	0.198	0.222	0.166	0.112	0.119	0.133	0.136	0	0.110	0.141	0.181	0.121	0.136	0.156	0.133
OE6	0.128	0.130	0.206	0.193	0.237	0.169	0.0958	0.107	0.115	0.119	0.110	0	0.137	0.170	0.119	0.130	0.163	0.123
WT1	0.162	0.162	0.221	0.203	0.244	0.183	0.144	0.147	0.150	0.147	0.141	0.137	0	0.178	0.144	0.158	0.173	0.157
WT2	0.187	0.191	0.228	0.211	0.238	0.208	0.173	0.175	0.178	0.173	0.181	0.170	0.178	0	0.174	0.179	0.197	0.178
WT3	0.136	0.142	0.213	0.199	0.224	0.167	0.117	0.120	0.134	0.136	0.121	0.119	0.144	0.174	0	0.138	0.158	0.131
WT4	0.157	0.164	0.217	0.206	0.233	0.178	0.136	0.137	0.152	0.141	0.136	0.130	0.158	0.179	0.138	0	0.169	0.143
WT5	0.175	0.179	0.229	0.208	0.239	0.200	0.166	0.166	0.174	0.172	0.156	0.163	0.173	0.197	0.158	0.169	0	0.162
WT6	0.136	0.145	0.203	0.194	0.217	0.170	0.129	0.132	0.140	0.143	0.133	0.123	0.157	0.178	0.131	0.143	0.162	0
