#OTUID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_657	975	1615	632	1082	812	881	1185	1479	1160	877	1132	964	1884	2015	1426	1652	1184	1251
ASV_2	1812	1052	1842	1802	2242	1499	593	466	1065	1183	843	602	1063	1209	701	926	1214	977
ASV_3	513	380	681	724	953	692	569	418	909	951	769	626	855	1398	871	983	960	608
ASV_12	223	209	1434	536	1133	403	300	1762	1316	908	515	320	877	934	639	326	844	1182
ASV_4	1303	344	420	617	1026	401	483	535	376	577	607	411	915	1159	455	473	892	777
ASV_6	814	573	637	713	1150	833	232	238	326	352	365	337	435	433	376	449	412	421
ASV_8	462	424	460	337	152	275	318	492	1388	728	461	489	487	592	463	858	387	419
ASV_18	396	860	238	346	246	389	391	371	273	478	607	393	618	485	665	337	554	360
ASV_9	318	663	280	343	219	459	273	405	554	359	501	377	485	250	350	355	603	428
ASV_10	343	310	536	590	767	535	191	166	251	267	368	260	280	451	201	213	436	233
ASV_11	282	290	245	285	431	316	443	336	213	388	318	177	337	406	421	327	264	310
ASV_13	154	154	301	300	422	317	159	465	418	272	438	184	311	242	359	232	456	418
ASV_15	296	359	343	266	304	308	350	285	250	238	369	349	243	212	256	297	283	281
ASV_14	271	260	272	287	338	275	232	166	268	278	321	242	274	409	348	401	261	272
ASV_16	213	212	415	210	101	172	144	220	524	260	208	172	335	231	194	265	648	297
ASV_17	395	250	273	337	357	491	120	99	170	211	206	177	266	243	237	249	204	214
ASV_28	242	258	43	364	93	149	150	260	133	238	230	177	317	363	198	264	376	201
ASV_20	178	363	66	210	118	133	70	110	42	167	103	106	199	243	97	107	1268	98
ASV_33	193	146	111	115	61	158	252	165	166	163	217	249	186	163	279	211	201	255
ASV_25	105	116	870	44	22	50	242	131	66	167	158	109	113	26	243	193	165	310
ASV_21	132	317	152	103	75	124	153	182	138	144	172	152	178	258	158	235	287	181
ASV_22	181	167	238	193	168	181	241	145	126	153	171	206	134	131	190	133	134	157
ASV_31	164	135	143	226	40	215	165	176	208	180	198	129	199	144	183	156	227	135
ASV_24	164	127	405	386	262	216	96	60	132	88	123	152	90	187	94	184	95	90
ASV_23	109	359	381	72	151	243	71	78	60	122	156	65	131	182	107	411	116	100
ASV_26	153	153	99	302	49	28	209	247	281	84	171	115	301	63	138	70	8	525
ASV_29	106	89	259	148	312	200	103	161	83	111	158	64	137	176	86	165	266	160
ASV_27	176	209	153	95	115	173	244	142	130	134	174	206	141	142	193	139	102	180
ASV_30	162	98	136	168	151	236	125	98	188	267	123	97	154	154	173	140	123	136
ASV_32	170	126	115	116	90	134	203	130	127	143	163	188	158	181	196	119	114	194
ASV_34	91	192	72	165	14	59	153	117	121	168	162	93	243	286	192	181	203	110
ASV_36	177	62	81	189	158	298	60	35	246	169	89	85	195	266	94	121	136	90
ASV_37	122	81	95	44	115	94	171	123	106	126	167	170	115	181	245	169	187	199
ASV_47	158	144	155	156	155	211	118	100	123	124	126	114	107	111	114	191	128	127
ASV_39	194	122	166	192	294	180	70	104	97	120	93	86	94	146	98	134	113	116
ASV_43	131	95	33	48	36	90	499	180	272	268	120	526	38	13	63	44	21	60
ASV_38	100	48	69	184	112	183	40	31	194	129	95	130	179	486	56	104	123	73
ASV_41	216	123	129	249	240	307	52	37	83	57	99	89	96	117	63	109	126	94
ASV_55	68	61	79	94	158	77	139	91	132	161	126	106	120	210	204	206	154	116
ASV_42	90	234	205	95	150	99	80	105	91	97	145	94	118	167	133	159	49	129
ASV_71	80	68	220	113	283	114	66	146	29	127	142	88	102	74	85	122	208	110
ASV_46	105	106	68	132	58	98	179	101	140	133	170	101	106	170	140	146	104	139
ASV_166	111	107	154	97	154	111	100	87	123	97	118	108	115	152	128	142	131	127
ASV_63	173	121	150	134	190	160	86	65	69	79	121	86	105	128	80	86	85	111
ASV_45	95	218	196	78	164	61	96	81	84	53	93	90	151	105	97	226	71	80
ASV_44	154	81	184	163	297	120	72	36	86	81	78	52	115	175	84	47	143	67
ASV_40	2	35	5	56	108	3	37	244	7	115	145	99	744	47	18	36	206	119
ASV_50	116	64	103	250	187	252	28	27	107	72	61	45	155	151	69	104	89	96
ASV_378	57	206	114	55	51	95	101	118	163	94	123	94	110	164	139	157	91	146
ASV_48	97	43	148	109	130	88	136	148	121	104	161	195	45	56	82	107	147	96
ASV_49	90	152	152	40	37	86	118	129	63	41	83	157	143	61	112	238	106	138
ASV_51	146	88	499	6	33	61	30	32	322	279	24	18	45	44	68	17	45	27
ASV_53	86	160	118	98	49	73	101	141	105	78	109	73	80	75	107	129	89	114
ASV_57	64	46	78	31	287	63	180	114	60	95	68	36	139	74	118	100	68	178
ASV_54	102	224	77	88	123	133	150	142	44	83	73	92	70	23	56	41	112	66
ASV_56	126	100	123	136	147	119	76	78	63	97	96	68	80	62	79	67	88	81
ASV_59	91	105	104	109	92	97	79	124	95	63	127	62	78	100	84	80	91	79
ASV_2105	76	85	87	103	85	81	97	66	63	75	225	77	74	87	92	66	63	96
ASV_62	87	66	125	126	173	106	53	54	56	68	78	84	45	104	48	80	121	81
ASV_60	102	87	110	111	174	109	54	42	56	60	53	57	74	81	66	67	77	95
ASV_61	72	66	49	59	151	67	112	80	65	102	57	46	96	103	104	72	63	101
