Phylum	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6	All
Proteobacteria	65.1	49.7	60.6	61.6	73.7	69.1	56.3	47	50.5	56.3	58.5	56.1	51.1	60.2	55.9	55.7	57	56.7	49.0
Actinobacteria	25.5	40.4	28	28.2	17.2	23.6	28.2	34.7	32.8	27.4	29.9	28.9	34.8	29.5	31.7	33.9	33.2	31.1	25.3
Unassigned	2.4	2.3	1.01	1.94	1.35	1.58	2.54	2.7	2.12	2.34	2.14	2.11	2.35	1.5	2.1	1.77	1.81	1.75	6.6
Bacteroidetes	2.98	2.61	7.48	3.06	5.07	2.31	3.9	8.02	8.83	7.52	3.83	3.32	5.42	6.19	4.87	4.23	4.67	6	5.2
Firmicutes	1.62	1.92	1.47	3.23	0.713	1.58	5.12	2.71	2.49	3.28	1.8	4.94	0.93	0.457	1.14	1.02	0.637	1.19	4.7
Chloroflexi	1.52	1.99	0.643	1.47	1.35	0.993	1.46	2.73	1.34	1.74	1.97	1.82	4.01	0.973	1.83	1.75	1.87	1.84	2.7
Acidobacteria	0.38	0.37	0.247	0.197	0.167	0.36	1.02	0.55	0.657	0.353	0.693	1.05	0.53	0.323	1.02	0.533	0.23	0.39	2.1
Verrucomicrobia	0.207	0.22	0.127	0.09	0.103	0.193	0.573	0.317	0.427	0.317	0.47	0.72	0.343	0.34	0.54	0.307	0.193	0.287	1.6
Planctomycetes	0.0467	0.23	0.163	0.0367	0.0767	0.0833	0.473	0.89	0.45	0.183	0.283	0.603	0.24	0.173	0.33	0.207	0.153	0.163	1.3
Spirochaetes	0.07	0.0433	0.12	0.103	0.153	0.06	0.14	0.117	0.147	0.21	0.157	0.133	0.113	0.2	0.21	0.22	0.0767	0.17	0.4
Nitrospirae	0.0867	0.0867	0.03	0.0533	0.0433	0.0767	0.13	0.0633	0.103	0.0867	0.123	0.107	0.0767	0.0567	0.0733	0.28	0.09	0.117	0.3
Candidatus_Saccharibacteria	0.0367	0.06	0.0267	0.00667	0.12	0.02	0.0267	0.103	0.03	0.0367	0.05	0.0167	0.03	0.00333	0.0567	0.0133	0.01	0.06	0.3
Chlamydiae	0.0367	0.0233	0.05	0.02	0.01	0.04	0.0667	0.07	0.0667	0.0867	0.0133	0.0433	0.0333	0.0433	0.143	0.0467	0.00333	0.107	0.3
Armatimonadetes	0.0133	0.01	0.01	0.01	0.01	0.0167	0.0433	0.0533	0.0467	0.0367	0.0233	0.03	0.0333	0.0333	0.0433	0.04	0.0467	0.04	0.2
Ignavibacteriae	0.01	0.02	0.00333	0.01	0	0.0333	0.00667	0.00667	0.00667	0.1	0.00667	0.0133	0	0	0.0167	0.01	0.00667	0.0167	0.1
Gemmatimonadetes	0.00667	0.00333	0.00333	0.00333	0	0	0	0.00667	0.00333	0.00333	0	0.01	0	0.01	0.00333	0.00333	0	0.00333	0.0
Thaumarchaeota	0.00333	0.00667	0	0	0	0	0.01	0.01	0.00333	0	0.00333	0.02	0.00667	0	0.00333	0.00333	0.00333	0.00333	0.0
