	a1	a2	a3	b1	b2	b3
OTU_88	0	0	0	0	0	0
OTU_142	0	0	0	0	0	0
OTU_18	0	0	0	0	0	0
OTU_96	2	246	819	0	0	0
OTU_403	0	1	0	0	0	0
OTU_50	0	974	0	0	0	0
OTU_189	0	0	0	0	0	0
OTU_20	3452	1443	5	0	5	0
OTU_95	0	158	1	6	0	3
OTU_518	0	0	0	0	0	0
OTU_5	416	0	0	0	2	0
OTU_1327	0	0	0	0	0	32
OTU_406	0	0	0	0	0	0
OTU_57	0	1232	0	0	0	0
OTU_906	0	0	0	0	0	0
OTU_159	0	0	0	0	0	0
OTU_34	1467	1327	2	0	0	0
OTU_373	0	0	0	0	0	0
OTU_14	17	102	4439	2	0	13
OTU_29	356	2834	6	0	1	0
OTU_475	0	0	0	0	0	0
OTU_261	0	1	0	0	1	114
OTU_225	0	0	0	13	0	1
OTU_558	0	0	0	0	0	0
OTU_690	0	1	0	3	5	8
OTU_710	0	0	0	0	0	0
OTU_362	0	0	0	0	0	0
OTU_203	0	0	0	0	0	0
OTU_52	549	117	48	374	74	1211
OTU_1138	0	0	0	1	0	0
OTU_269	0	494	4	0	0	0
OTU_1393	0	0	0	0	0	0
OTU_260	0	368	201	0	0	0
OTU_190	0	0	2	0	0	0
OTU_589	0	1	0	0	14	346
OTU_58	0	3	3	242	107	904
OTU_705	0	3	0	0	0	0
OTU_1315	0	0	0	0	2	4
OTU_27	3066	3	0	1	9	0
OTU_1390	0	0	1	0	4	2
OTU_309	0	0	0	20	0	0
OTU_413	1	98	140	0	0	0
OTU_504	0	36	4	0	0	0
OTU_1524	0	0	0	0	0	0
OTU_496	0	0	0	0	0	0
OTU_155	0	0	0	79	0	438
OTU_4	16	2	39	47	11	62
OTU_1262	0	0	0	0	0	0
OTU_150	0	0	0	0	0	0
OTU_358	7	15	5	42	28	177
OTU_327	0	0	0	0	14	72
OTU_1316	0	0	0	0	0	0
OTU_363	0	0	0	0	0	0
OTU_244	0	0	0	132	6	340
OTU_469	1	3	1	9	2	84
OTU_395	21	78	239	2	0	8
OTU_156	0	0	0	0	0	0
OTU_191	0	0	0	0	0	0
OTU_722	0	0	0	0	0	0
OTU_184	0	0	0	392	2	455
OTU_1157	0	0	0	0	0	0
OTU_404	0	0	0	1	2	0
OTU_129	0	0	0	0	0	167
OTU_445	0	0	0	0	0	116
OTU_168	0	389	0	0	0	0
OTU_1	39411	26195	51541	1960	424	12038
OTU_53	4	3	7	21	3	94
OTU_10	2313	1316	1454	636	265	4616
OTU_76	0	2	0	2	2	44
OTU_1373	4	17	9	298	61	1190
OTU_46	2	9	7	78	114	984
OTU_567	1	14	41	10	2	1
OTU_61	2	2	5	1	0	3
OTU_447	16	14	4	8	14	19
OTU_302	42	82	40	82	47	55
OTU_667	89	414	107	35	50	318
OTU_539	81	45	80	3	0	17
OTU_342	6	2	2	2	0	5
OTU_36	0	0	0	2232	3	7
OTU_1540	1	0	1	4	2	8
OTU_642	12	41	7	9	3	4
OTU_719	85	10	44	21	4	133
OTU_1025	64	36	99	10	15	118
OTU_123	1	4	0	6	8	311
OTU_1078	0	19	14	1	2	8
OTU_111	685	0	0	0	1	0
OTU_165	0	1	403	2	1	0
OTU_151	28	98	51	72	10	67
OTU_997	4	18	11	0	1	23
OTU_382	31	39	23	29	23	22
OTU_314	10	7	7	21	21	128
OTU_1511	16	5	16	15	4	17
OTU_15	1140	513	542	894	344	3879
OTU_544	21	34	19	9	5	35
OTU_1254	12	32	20	147	95	181
OTU_265	0	0	0	387	0	0
OTU_26	1	34	2	0	0	1
OTU_815	9	21	4	36	26	77
OTU_102	1	4	614	97	12	179
OTU_692	0	0	0	39	13	1
OTU_282	17	28	42	0	2	0
OTU_278	57	52	43	49	38	53
OTU_31	1	1257	1	555	3	637
OTU_920	0	0	0	0	0	1
OTU_137	457	96	25	35	20	161
OTU_233	13	24	9	62	42	205
OTU_146	14	39	45	420	243	356
OTU_1130	0	0	0	27	0	0
OTU_1066	3	8	7	13	19	102
OTU_140	2	0	0	283	814	5
OTU_1082	3	3	10	12	1	14
OTU_70	4	6	1090	0	0	62
OTU_345	0	0	0	154	0	0
OTU_430	5	53	29	2	3	21
OTU_400	0	0	0	154	12	123
OTU_807	7	2	5	0	2	55
OTU_582	9	9	45	4	3	10
OTU_959	0	4	2	134	68	40
OTU_553	5	6	1	15	8	47
OTU_1371	2	8	0	5	2	24
OTU_196	29	137	103	5	16	41
OTU_311	11	29	7	47	39	8
OTU_112	0	0	0	129	1	608
OTU_1063	0	4	7	10	1	15
OTU_6	7	19	8	0	0	0
OTU_802	141	93	94	157	64	835
